Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-418.4841	-306.8403	-111.6438	7.887028	3.094539	0.213637	0.053477	0.10799	0.0382655	0.109954	0.063714	0.0405091	0.0155925	0.218893	0.00435859	0.224905	0.485183	0.0988576	0.0692135	0.181065	1.04647	0.0555064	0.17033	0.00769152	0.279116	0.0359897	0.253448	0.00827088	0.251385	0.176499	0.393486	0.0966852	0.00514011	0.0694389	0.114529	0.356	0.00654774	0.097723	0.449941	0.03356	0.0144294	0.110605	0.01452	0.427145	0.0337157	0.0694131	0.0189991	0.0164454	0.00565524	0.1894281	-0.1956028	0.152665	0.0853339	0.0308731	0.0246868	0.0109889	0.000624618	0.210498	0.0204864	0.0646977	0.0324315	0.233193	0.00159279	0.0572893	0.0700512	0.00458891	0.36238	9	51.47253	0.1615683	0.396446	0.736632	1.08294	1.78398	0.211282	0.252229	0.119941	0.0831345	0.141439	0.191974	0.1667772	2.172839
100	-426.1198	-317.1407	-108.9791	7.832621	1.393039	0.0495906	0.478143	0.664186	0.5856	0.585717	0.0434001	0.0967304	0.0300665	0.0147925	0.092687	0.036789	0.0384322	0.127185	0.0865005	0.1191	0.0745398	0.866933	0.0805056	0.0155852	0.0118651	0.124613	0.0607798	1.08349	0.373762	0.218665	0.090845	0.33779	0.0315891	0.0601019	0.0108546	0.137628	0.0960334	0.00237004	0.308518	0.360701	0.125325	0.052879	0.0330542	0.0919529	0.222575	0.113432	0.00206586	0.054162	0.30582	0.1896159	-0.068467	0.278926	0.0336203	0.0357305	0.0323485	0.0549425	0.00489155	0.11356	0.00501334	0.0364492	0.0933785	0.210775	0.0194902	0.0288871	0.0272329	0.0247538	0.2783889	11	50.28221	0.245674	0.208316	0.569727	1.04347	2.17849	0.19942	0.25066	0.155189	0.092097	0.209192	0.0934418	0.2099219	1.326155
200	-413.3479	-319.7883	-93.5596	22.15633	2.772216	0.146026	0.00695893	0.17068	0.0549042	0.0658238	0.0114664	0.026619	0.010617	0.0197972	0.244606	0.000980969	0.0558206	0.0606862	0.0345027	0.00440611	0.0896615	0.295717	0.0335649	0.0534484	0.0498541	0.00982894	0.159506	0.349358	0.0856994	0.105803	0.210204	0.00607013	0.0132874	0.0170455	0.00990576	0.0345131	0.0334356	0.0182339	0.19315	0.123665	0.0155915	0.0530444	0.0458245	0.227215	0.05481	0.203908	0.0897481	0.0263518	0.0195771	0.0748157	-0.1316789	0.123968	0.0332154	0.124663	0.154032	0.0159052	0.0865449	0.0674582	0.040562	0.104621	0.0470889	0.0464656	0.0067565	0.0400792	0.108554	8.57643e-05	0.4164102	11	51.14296	0.136585	0.370835	0.718082	1.08113	1.82995	0.183612	0.278341	0.168061	0.0671772	0.114483	0.188326	0.2847313	1.462467
300	-454.4304	-316.2725	-138.1579	6.724607	5.230966	0.12904	0.232524	0.307411	0.0627222	0.492587	0.0207662	0.0110101	0.0856645	0.211608	0.127318	0.0532678	0.128509	1.72305	1.91713	0.133186	0.949913	0.275906	0.013556	0.0602566	0.0137139	0.0222966	0.11523	0.403038	0.56433	1.43021	0.134657	0.299523	0.276033	0.70627	0.20405	0.0597093	0.00347562	0.00130428	0.234899	0.412605	0.0509442	0.00706036	0.00144671	0.471271	0.388551	0.558913	0.190771	0.0754415	0.0586351	0.2971217	-0.07652855	0.102558	0.0260806	0.0589037	0.0222727	0.00963535	0.0104856	0.197213	0.000778874	0.0646948	0.038329	0.178031	0.0696943	0.121918	0.0812841	0.0181215	0.3276309	12	50.121	0.2336637	0.511396	0.809292	1.08288	1.59643	0.29624	0.244312	0.108352	0.0767303	0.14737	0.126997	0.2511024	1.30477
400	-425.9586	-312.9512	-113.0074	6.997383	3.391871	0.113055	0.18359	0.266735	0.26769	0.0460544	0.0256948	0.00916947	0.0525711	0.0321972	0.114866	0.00961709	0.337788	0.281623	0.0358484	0.0471409	0.421321	0.575976	0.0800046	0.11102	0.0589756	0.127863	0.0480152	0.582893	0.0410375	0.517287	0.134899	0.587996	0.0718937	0.0298175	0.0328203	0.0206859	0.122718	0.00601996	0.256511	0.539622	0.0184003	0.0540918	0.0237074	0.364716	0.246966	0.250574	0.10847	0.00106375	0.352313	0.1517423	-0.1706716	0.133879	0.0359732	0.018155	0.0776943	0.0817899	0.0207076	0.0905206	0.0052012	0.0179353	0.0216417	0.161641	0.099476	0.092415	0.123056	0.0199148	0.4378674	10	51.28505	0.2082719	0.417476	0.75115	1.08387	1.74751	0.228267	0.313035	0.108202	0.0716013	0.156318	0.122577	0.2671958	1.638751
500	-418.4352	-314.9876	-103.4476	6.324493	3.454372	0.166935	0.00866104	0.107503	0.0497487	0.430084	0.0381069	0.0580734	0.168609	0.168243	0.233671	0.241875	0.577066	0.048372	0.0436309	0.081165	0.0151397	0.00263693	0.276888	0.103652	0.0302349	0.0130193	0.446717	0.146302	0.126565	0.0534685	0.0201189	0.0232728	0.170203	0.0398097	0.193825	0.0575098	0.0599694	0.54	0.0158764	0.57467	0.131314	0.0132718	0.00386035	0.384344	0.216139	0.0471375	0.0362237	0.135106	0.370632	0.1435925	-0.05568675	0.124507	0.0353749	0.0295213	0.0453518	0.00528061	0.0189066	0.108408	0.00583426	0.0743834	0.0236613	0.279595	0.0256237	0.138347	0.0673562	0.0178501	0.3409296	10	52.9434	0.2326242	0.421621	0.75394	1.084	1.74044	0.208552	0.325502	0.112929	0.111841	0.0743803	0.166796	0.2852429	1.195226
600	-417.0705	-303.631	-113.4396	5.711058	4.319847	0.175152	0.028852	0.0145193	0.0137327	0.163992	0.0668188	0.211551	0.121207	0.456884	0.171183	0.0834314	1.28193	0.0529922	0.177026	0.0376783	0.0139928	0.0105378	0.110263	0.417493	0.0126594	0.0166572	0.034186	0.169546	0.895554	0.169657	0.0642663	0.00399112	0.171102	0.072931	0.443908	0.15489	0.0196027	0.132597	0.0321749	0.135378	0.0305774	1.45518	0.0650516	0.218826	0.0443706	0.000852163	0.189983	0.221807	0.0275255	0.161461	-0.1361078	0.112088	0.0273377	0.031868	0.0292245	0.0165474	0.0105327	0.118647	0.000256105	0.0191239	0.0356522	0.390909	0.0192603	0.0901107	0.0974506	0.000991493	0.3346248	11	50.40783	0.2369105	0.471114	0.785591	1.08423	1.65907	0.215149	0.371082	0.0748433	0.0701371	0.173303	0.0954866	0.198517	1.685623
700	-412.6627	-311.9195	-100.7433	8.528707	2.158001	0.00902051	0.0184648	0.110581	0.118265	0.170503	0.251813	0.13124	0.00184505	0.32735	0.247284	0.0932006	0.576672	0.00624155	0.0427338	0.136623	0.0100999	0.0443111	0.111592	0.190568	0.0325843	0.0070751	0.127014	0.228098	0.161707	0.135288	0.0458604	0.0109468	0.290197	0.14501	0.0481487	0.14724	0.0472504	0.0807671	0.0163279	0.113632	0.127811	0.0779654	0.122747	0.0409385	0.0234812	0.0128992	0.0863583	0.266546	0.0463569	0.1461197	-0.0305763	0.0999098	0.0494808	0.0192955	0.0230492	0.00595553	0.0070261	0.272386	0.00931256	0.0435177	0.0643135	0.226886	0.00501771	0.0492166	0.121701	0.00293216	0.2931897	10	55.36088	0.1525159	0.311433	0.670828	1.07348	1.94426	0.194726	0.231129	0.148549	0.047262	0.195912	0.182422	0.2626134	1.116431
800	-428.0742	-319.1915	-108.8828	9.088911	3.557192	0.132276	0.0418618	0.262271	0.0318847	0.135819	0.011615	0.242415	0.00437819	0.276881	0.0665723	0.0215378	0.32823	0.00223302	0.348048	0.0168708	0.0574768	0.0259767	0.24806	0.390194	0.111791	0.0559695	0.0577597	0.122061	0.881627	0.0355913	0.145197	0.0133228	0.224965	0.108082	0.26925	0.0274921	0.0860816	0.168923	0.0915729	0.309845	0.0348757	0.0985902	0.0143569	0.0867994	0.0627131	0.0893049	0.127913	0.185652	0.00748794	0.1488986	-0.05668812	0.104524	0.0487895	0.0336157	0.0771638	0.00348929	0.0210745	0.144304	0.00535673	0.113731	0.0653423	0.104472	0.0209887	0.00375323	0.184164	0.069231	0.2737595	10	52.20691	0.2182073	0.428248	0.758355	1.08416	1.72924	0.165205	0.264835	0.126295	0.0678231	0.227476	0.148366	0.2170714	1.26115
900	-426.045	-320.3303	-105.7146	10.42901	2.208639	0.0786743	0.0414201	0.048951	0.0123872	0.314183	0.0189499	0.0226046	0.272905	0.448386	0.0538375	0.324358	0.513069	0.0122414	0.139988	0.00169596	0.0836049	0.120527	0.0412873	0.23243	0.00178565	0.100508	0.00911952	0.102989	0.0885842	0.0121183	0.00548398	0.005405	0.57541	0.138673	0.386758	0.0657359	0.0906192	0.00957659	0.0105877	0.238275	0.0262582	0.0362193	0.0307465	0.0107843	0.107114	0.0207193	0.218026	0.174927	0.375805	0.1296142	-0.1259189	0.0961502	0.00390772	0.00935654	0.0507011	0.0197242	0.0346922	0.135881	0.00270797	0.0488175	0.0445942	0.238321	0.0579409	0.221028	0.0247583	0.0114195	0.3456018	9	58.82083	0.1729405	0.31697	0.675512	1.07443	1.93309	0.125627	0.218344	0.140812	0.0677745	0.22044	0.227003	0.2196829	1.573185
