Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-266.4622	-250.7045	-15.75774	76.87783	3.21393	0.02373849	0.01448072	0.0160564	0.0182678	0.0517135	0.0192348	0.0247722	0.00757336	0.0936302	0.000315054	0.106653	0.207922	0.283709	0.0773753	0.0446594	0.0206323	0.0274851	0.0004545117	76.87783	0.405163	0.742725	1.08339	1.76873	0.253624	0.2272	0.131551	0.0591325	0.202818	0.125675	0.01493523	0.03043219
100	-268.6244	-247.3789	-21.24548	334.7233	1.677472	0.02853017	0.003674779	0.0390484	0.0137373	0.0966894	0.0215479	0.00350218	0.0201793	0.000470251	0.0110122	0.131126	0.104783	0.328163	0.00952973	0.110319	0.0751147	0.0347771	0.007439358	334.7233	0.251483	0.615658	1.05934	2.07352	0.18569	0.251367	0.125673	0.103469	0.246004	0.0877971	0.01111414	0.6693599
200	-263.426	-246.9915	-16.43451	93.80826	1.298523	0.07209706	0.02843157	0.016813	0.0502399	0.165411	0.0112979	0.0197481	0.00153161	0.00933145	0.00319075	0.13555	0.0772128	0.25681	0.00583416	0.172623	0.0729518	0.00145402	0.01574098	93.80826	0.192455	0.551181	1.03602	2.22034	0.333596	0.186398	0.100561	0.111783	0.119683	0.147978	0.04417255	0.3563521
300	-256.5037	-248.6575	-7.846231	24.3779	0.8826454	0.1457929	0.06426192	0.0374841	0.014027	0.0880571	0.0462088	0.0119496	0.0226222	0.0816991	0.00240307	0.0995536	0.0272754	0.138789	0.0454921	0.252673	0.129314	0.00245165	0.03500688	24.3779	0.112986	0.438396	0.977464	2.47115	0.230363	0.251953	0.0915474	0.0529903	0.241424	0.131722	0.09926879	0.3526473
400	-263.08	-251.5131	-11.56691	23.66711	3.162103	0.1564191	0.1176386	0.0165768	0.152158	0.0067436	0.0245272	0.0028141	0.0160218	0.0617822	0.00429925	0.0814392	0.133433	0.293388	0.0603363	0.0856073	0.0186672	0.0422062	0.04449825	23.66711	0.401426	0.740126	1.08321	1.77524	0.1611	0.16462	0.121375	0.147162	0.238388	0.167354	0.1621368	0.2744487
500	-266.8203	-250.9805	-15.83984	90.83258	1.619236	0.03855324	0.01288372	0.0149608	0.0989465	0.0537593	0.00754059	0.00414001	0.0246572	0.100576	0.00120234	0.0597042	0.0182331	0.182053	0.013799	0.108603	0.203644	0.108181	0.04981155	90.83258	0.243168	0.607271	1.05672	2.09284	0.316127	0.265854	0.0898894	0.0795553	0.160318	0.0882566	0.06269527	0.7945025
600	-259.8455	-254.8359	-5.009609	11.65514	0.9329514	0.2359913	0.09637221	0.0920854	0.101766	0.0302087	0.125082	0.0166034	0.00961188	0.0161217	0.022357	0.0758146	0.0596458	0.209757	0.0304828	0.073887	0.0944678	0.0421082	0.06095587	11.65514	0.123389	0.455628	0.987937	2.43305	0.211313	0.175556	0.0967156	0.1515	0.124246	0.24067	0.1573281	0.3874443
700	-260.012	-246.0074	-14.00459	93.82294	2.297742	0.06242915	0.02682412	0.00491511	0.118884	0.133486	0.0826726	0.0233142	0.0067393	0.12662	0.018693	0.273222	0.00853626	0.0148442	0.000177898	0.13607	0.0284341	0.0233921	0.008609432	93.82294	0.326402	0.68335	1.07592	1.91433	0.324445	0.172745	0.0869186	0.0942319	0.19887	0.122789	0.03543355	0.242974
800	-259.7091	-251.8179	-7.891196	23.25878	1.262637	0.1187169	0.1335732	0.0228682	0.0393586	0.0226603	0.0345891	0.106975	0.0041995	0.0348826	0.00301283	0.126049	0.0146725	0.226725	0.042751	0.129777	0.0997224	0.0917564	0.006524917	23.25878	0.186221	0.543605	1.0328	2.23737	0.273266	0.25909	0.0663441	0.102539	0.154177	0.144584	0.1400981	0.04657392
900	-250.4624	-243.9945	-6.467898	14.62076	2.702987	0.3026337	0.1065798	0.0129485	0.206313	0.0314385	0.0412041	0.0144901	0.012429	0.0771852	0.00671583	0.141893	0.0928089	0.0308214	0.0642026	0.154909	0.0904866	0.0221545	0.04473539	14.62076	0.364894	0.713634	1.0806	1.84088	0.309512	0.212093	0.108051	0.081117	0.16599	0.123236	0.1513152	0.2956437
1000	-268.937	-250.8892	-18.04774	77.57722	2.833136	0.02682896	0.02397791	0.01677	0.126619	0.0529931	0.0158804	0.0472303	0.0397567	0.00795524	0.0181587	0.19522	0.086818	0.103146	0.04144	0.127044	0.0558235	0.0651444	0.007816999	77.57722	0.375926	0.72185	1.08156	1.82067	0.284168	0.145295	0.0987126	0.187897	0.173882	0.110044	0.03179491	0.2458569
1100	-256.8147	-247.8833	-8.931401	14.55591	4.809053	0.2027429	0.0946196	0.0276353	0.0708526	0.108626	0.0764825	0.00753754	0.0358248	0.0572433	0.000382103	0.109715	0.0141685	0.0515001	0.00844093	0.340355	0.0569977	0.0342388	0.01245271	14.55591	0.493948	0.799237	1.08362	1.6232	0.27185	0.165106	0.10544	0.141219	0.181862	0.134521	0.1070723	0.1163019
1200	-256.1478	-244.9302	-11.21757	38.03981	2.072171	0.05773224	0.01458785	0.0436031	0.0955117	0.137628	0.0113728	0.00951529	0.00124257	0.0117439	0.0106887	0.0999168	0.00335885	0.0984262	0.00771124	0.300582	0.110597	0.0581012	0.02482265	38.03981	0.30174	0.662475	1.07169	1.96409	0.237595	0.195574	0.16941	0.0814447	0.156946	0.159031	0.0394105	0.6298487
1300	-259.4237	-249.2498	-10.17389	8.425013	6.030325	0.1935531	0.05766496	0.0536733	0.0170517	0.00629687	0.126779	0.00405598	0.032037	0.0240775	0.0037101	0.121701	0.164113	0.184377	0.00568457	0.18435	0.0716535	0.000439547	0.1194658	8.425013	0.539956	0.825098	1.08119	1.55376	0.178235	0.271733	0.0972571	0.109072	0.183868	0.159835	0.1771307	0.6744497
1400	-254.9133	-247.5394	-7.373964	18.98673	2.863018	0.1596395	0.1127522	0.0618807	0.0401262	0.0256539	0.0306672	0.0550515	0.0765944	0.0426048	0.00524751	0.138159	0.123309	0.137034	0.0829653	0.155029	0.0219739	0.00370368	0.03724191	18.98673	0.378379	0.72365	1.08175	1.81622	0.199687	0.233032	0.0846077	0.11049	0.246921	0.125263	0.1499942	0.2482891
1500	-254.3118	-245.6469	-8.664868	33.04194	1.825549	0.06902092	0.04380856	0.0853735	0.0978052	0.00753876	0.0694904	0.000958755	0.0068805	0.0109927	0.000878551	0.154561	0.0159649	0.181075	0.0110654	0.19845	0.0930275	0.0659383	0.01850406	33.04194	0.271522	0.635081	1.06494	2.02846	0.254336	0.254636	0.0757494	0.0974609	0.164636	0.153181	0.06231262	0.2969552
1600	-257.9369	-249.9137	-8.023257	24.564	1.99341	0.2123154	0.09282217	0.0326614	0.0357435	0.140562	0.113882	0.0157377	0.00668508	0.00948942	0.0220521	0.067783	0.150652	0.0836418	0.00179678	0.299178	0.0110965	0.00903994	0.001704307	24.564	0.292487	0.654311	1.06982	1.98338	0.207464	0.195543	0.0649015	0.0947574	0.211903	0.225432	0.09452648	0.01802994
1700	-258.6462	-248.6903	-9.955868	29.60307	1.29788	0.144425	0.08071508	0.0143639	0.0421232	0.0737656	0.0271773	0.00333509	0.0170408	0.0306489	0.00896902	0.122124	0.14458	0.121025	0.0359478	0.256122	0.0820902	0.0206878	0.04021513	29.60307	0.192345	0.551048	1.03596	2.22064	0.303246	0.1136	0.134684	0.0507513	0.258297	0.139421	0.1209302	0.3325482
1800	-264.3297	-255.2772	-9.052468	28.44576	0.6451022	0.4176488	0.04040618	0.086393	0.102976	0.00825584	0.0631119	0.0349317	0.0316812	0.0819435	0.0255761	0.181023	0.00953526	0.267935	0.0132378	0.0332477	0.0531803	0.0069715	0.02309474	28.44576	0.062524	0.336434	0.902693	2.69835	0.179411	0.25537	0.128483	0.108883	0.187873	0.139979	0.06350092	0.3636914
1900	-262.7302	-248.5446	-14.18559	65.2287	3.185231	0.04081013	0.02223383	0.00624577	0.082061	0.120222	0.00994615	0.0232402	4.31995e-05	0.0713642	0.0164151	0.12715	0.0342264	0.107752	0.0432844	0.0992712	0.148919	0.10986	0.02536717	65.2287	0.403103	0.741294	1.08329	1.77231	0.242813	0.283375	0.113542	0.0940586	0.187521	0.0786899	0.047601	0.5329126
