Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-261.5414	-250.38	-11.16143	33.04433	3.932797	0.1097726	0.06594749	0.0234191	0.108083	0.138748	0.00848447	0.0172573	0.0360667	0.0192331	0.0173571	0.109875	0.00687185	0.0713582	0.0839285	0.190138	0.147379	0.0217997	0.02016887	33.04433	0.450632	0.772853	1.08441	1.69211	0.296417	0.205129	0.115274	0.121871	0.132773	0.128536	0.08611636	0.2342049
1	0	-264.0743	-243.324	-20.75033	193.85	3.444137	0.04521597	0.002646146	0.0454358	0.0317482	0.187146	0.0114104	0.0990458	0.0175422	0.00883411	0.00214803	0.0231136	0.00114624	0.0194647	0.00583701	0.347875	0.188179	0.011074	0.0228609	193.85	0.420948	0.753489	1.08398	1.74159	0.281352	0.184641	0.130454	0.0665342	0.248663	0.0883561	0.02550705	0.8962583
2	0	-264.9981	-247.2085	-17.78955	121.9798	2.302832	0.03387575	0.009081486	0.0288004	0.030833	0.141691	0.107351	0.141542	0.00424064	0.115229	0.0117027	0.0332174	0.0301404	0.0763021	0.00591905	0.173632	0.0297378	0.0696614	0.0117903	121.9798	0.326929	0.683783	1.076	1.91329	0.240368	0.195097	0.14055	0.109361	0.190087	0.124538	0.02087179	0.5648919
3	0	-263.407	-250.4847	-12.92228	56.14635	2.478603	0.08891484	0.02685091	0.112975	0.00921607	0.189976	0.0164306	0.0195533	0.0151798	0.0334244	0.0033506	0.127732	0.0850864	0.117373	0.0561886	0.0451073	0.153477	0.0149305	0.007367836	56.14635	0.344419	0.697851	1.07838	1.87935	0.233819	0.211023	0.163208	0.104623	0.142186	0.14514	0.03421875	0.2153158
4	0	-266.3735	-247.9609	-18.41257	110.2684	3.584371	0.04131359	0.01411151	0.0241581	0.0593743	0.115461	0.0556067	0.114336	0.0509681	0.0124342	0.000479634	0.0719029	0.104498	0.129147	0.0212111	0.182433	0.0148462	0.0431439	0.02525245	110.2684	0.429962	0.759487	1.0842	1.72635	0.268573	0.286748	0.101946	0.061244	0.144037	0.137453	0.03936396	0.641512
5	0	-266.1523	-252.0868	-14.06551	58.76076	2.558104	0.05365179	0.008463096	0.0248018	0.057278	0.0142951	0.0410889	0.0192474	0.127278	0.0878512	0.00525552	0.0632912	0.103375	0.0777506	0.0602351	0.262241	0.0439333	0.0120783	0.04304673	58.76076	0.351897	0.703699	1.07926	1.86515	0.336593	0.240442	0.0679071	0.0622591	0.148942	0.143857	0.05150983	0.8356994
6	0	-255.5857	-248.4502	-7.135492	10.15286	2.144039	0.3081924	-0.001251536	0.0310998	0.0691719	0.0802528	0.0260792	0.136218	0.00424565	0.032023	0.0199005	0.0487123	0.00841834	0.0185696	0.0371316	0.331424	0.0055268	0.151226	0.1349288	10.15286	0.309883	0.669506	1.07321	1.9474	0.227821	0.228929	0.07405	0.0839338	0.255473	0.129793	0.1336772	1.009362
7	0	-264.2353	-251.7133	-12.52198	58.7536	2.76739	0.0615299	0.02617972	0.00449769	0.0026883	0.0454235	0.0658575	0.0755171	0.0446434	0.0832628	0.00683379	0.124499	0.101082	0.0170319	0.0368912	0.239635	0.10339	0.0487466	0.006748273	58.7536	0.370426	0.717778	1.0811	1.8307	0.298082	0.200443	0.146837	0.0670153	0.173448	0.114174	0.032928	0.2049403
8	0	-277.9333	-257.2248	-20.70856	249.4392	0.8556219	0.1347998	0.01402361	0.114398	0.000956556	0.102056	0.00132328	0.0445934	0.00032429	0.102914	0.00132017	0.0435449	0.237794	0.160428	0.0130147	0.109003	0.00706441	0.0612651	0.0007192815	249.4392	0.107328	0.4286	0.971251	2.49282	0.206673	0.264819	0.163586	0.0943934	0.176526	0.0940017	0.01474289	0.04878836
9	0	-263.4029	-250.6825	-12.72037	36.94839	3.994688	0.1915945	0.07571222	0.0615217	0.0221309	0.189585	0.0126053	0.214592	0.00071738	0.0400227	0.0147547	0.0188184	0.0784565	0.064786	0.0455172	0.120847	0.0930295	0.0226163	0.00320716	36.94839	0.45407	0.775025	1.0844	1.6865	0.297072	0.147201	0.137362	0.106704	0.211553	0.100107	0.07891938	0.04063844
10	0	-265.2401	-252.0394	-13.20073	38.82661	2.27742	0.09136984	0.02380193	0.0247721	0.0837832	0.162992	0.00357139	0.010221	0.0401821	0.169006	0.00935886	0.013191	0.174533	0.00935554	0.097238	0.174934	0.0134989	0.0133632	0.04585494	38.82661	0.324284	0.681606	1.0756	1.91851	0.246633	0.179718	0.129352	0.0630568	0.242703	0.138537	0.06965688	0.6582974
11	0	-256.1068	-245.0612	-11.04558	40.00384	2.314008	0.1487076	0.05838821	0.0452881	0.00267106	0.232138	0.0612523	0.0955983	0.00785958	0.0158618	0.034084	0.150517	0.0390035	0.00699824	0.0444911	0.172595	0.0667946	0.024848	0.0008111067	40.00384	0.328083	0.684728	1.07617	1.91102	0.294	0.214004	0.107873	0.0845873	0.19871	0.100825	0.05919931	0.01370129
12	0	-262.4123	-248.2439	-14.16839	40.02153	4.448797	0.08015541	0.03904317	0.0183716	0.0958298	0.375049	0.092336	0.0897091	0.0505394	0.0777467	0.00454618	0.0310874	0.0255218	0.0438633	0.0407	0.0161454	0.0303507	0.00820334	0.03214352	40.02153	0.477437	0.789427	1.0841	1.64903	0.266987	0.223312	0.134937	0.0731812	0.127787	0.173796	0.07118669	0.4515383
13	0	-258.2916	-247.5326	-10.75899	39.7211	2.613032	0.2356126	0.01360725	0.058904	0.0638993	0.0196125	0.146704	0.173915	0.0236829	0.0188073	0.00232402	0.0286897	0.0240405	0.0333794	0.077225	0.323121	0.00470186	0.000994263	0.03413161	39.7211	0.356918	0.70757	1.0798	1.85571	0.24626	0.204397	0.15829	0.0937322	0.202375	0.0949461	0.04773886	0.714965
14	0	-267.4519	-258.9565	-8.49545	43.76363	1.492891	0.07437113	0.04080268	0.0290857	0.057964	0.0369534	0.0481638	0.00168784	0.00718261	0.170471	0.00470869	0.0413955	0.096756	0.00491283	0.176557	0.226321	0.00958078	0.0882607	0.004088923	43.76363	0.224222	0.587369	1.05	2.13841	0.286041	0.224182	0.113637	0.0633772	0.150438	0.162326	0.04489161	0.09108436
15	0	-261.5946	-250.4389	-11.15564	40.46484	2.745243	0.1125843	0.04673248	0.113985	0.0506507	0.0994667	0.0566789	0.0828612	0.00316068	0.0793392	0.0123512	0.00956713	0.0836845	0.0151521	0.046573	0.0685282	0.24569	0.0323113	0.01119122	40.46484	0.36854	0.71637	1.08093	1.83416	0.293528	0.126369	0.139001	0.109743	0.141454	0.189904	0.05792371	0.1932063
16	0	-267.5863	-256.4112	-11.17517	39.09392	0.8337197	0.09555516	0.04606142	0.0717342	0.000741995	0.105023	0.0100331	0.026994	0.104545	0.00434978	0.0172489	0.144413	0.10851	0.0403631	0.206406	0.0708052	0.0275559	0.0612771	0.05432807	39.09392	0.102711	0.420364	0.965877	2.51105	0.32739	0.161502	0.108915	0.09536	0.145384	0.161449	0.1003895	0.5411729
17	0	-273.0495	-255.5625	-17.48701	68.82581	5.160671	0.09835915	0.02464312	0.0238977	0.0712688	0.256006	0.0209265	0.0029055	0.00354068	0.119958	0.0170767	0.00914481	0.162644	0.0391017	0.0365142	0.0669443	0.080126	0.0899446	0.06602181	68.82581	0.508617	0.807711	1.08301	1.60066	0.342182	0.185012	0.0851295	0.103208	0.163241	0.121228	0.09066493	0.7281957
18	0	-273.539	-260.1412	-13.3978	40.92833	0.9634507	0.06312551	0.07201705	0.0243576	0.0129685	0.0768299	0.0352288	0.0209176	0.0190384	0.0224265	0.0635926	0.0362192	0.101881	0.109297	0.0600307	0.1079	0.0258376	0.283474	0.01626272	40.92833	0.129605	0.465483	0.99367	2.41124	0.257224	0.226065	0.128205	0.0969866	0.141827	0.149692	0.08827977	0.1842179
