Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-224.5174	-253.0846	28.56716	0.2945812	4.668186	0.0970317	0.106324	0.00605962	0.0275537	0.00332581	0.0128738	0.0140964	0.0381649	0.027453	0.0703517	0.0460962	0.0327262	0.0957834	0.0143985	0.0106553	0.0327773	0.00119923	0.00444227	0.0326923	0.0648193	0.0220921	0.235308	0.00196658	0.0115883	0.0101286	0.0319569	0.00764051	0.112777	0.0965796	0.0599587	0.0090144	0.0645053	0.00796157	0.0274655	0.00529598	0.0176158	0.0118671	0.00653611	0.0130382	0.0263766	0.0398735	0.0574257	0.0523374	0.0198893	0.00414841	0.0676452	0.0206989	0.00470651	0.04619404	0.0436306	0.0305953	0.0454871	0.14064	0.001333	0.241997	0.128717	0.0206767	0.00612726	0.0762484	0.038101	0.0139179	0.156719	0.000107493	0.0711058	0.0282272	0.7012357	9	13.93803	0.2260801	0.487684	0.795549	1.08383	1.63294	0.137684	0.253977	0.0968346	0.0954452	0.347899	0.0681611	0.7448663	0.9414249
100	-216.92	-242.2678	25.34786	2.295301	2.835333	0.00473873	0.0434092	0.0427394	0.0203093	0.0520239	0.0984676	0.00160359	0.00525081	0.0483136	0.0222704	0.110747	0.0434175	0.00448103	0.00221727	0.00887965	0.0081241	0.0224179	0.0122163	0.0237848	0.0164452	0.0229895	0.0151734	0.0330118	0.0305991	0.0190279	0.0430322	0.050067	0.143762	0.203702	0.0893241	0.0163584	0.0265503	0.00217731	0.0279781	0.0292486	0.00271849	0.0189358	0.00360909	0.0560314	0.00126472	0.0288837	0.0105067	0.0452902	0.00346846	0.0345415	0.0360385	0.000578749	0.0200452	0.03293848	-0.107794	0.0706504	0.0552646	0.322197	0.000631631	0.082216	0.0887036	0.0681935	0.0272707	0.0423858	0.0418199	0.00857127	0.0721848	0.00721733	0.107311	0.00538163	0.5749357	10	15.47527	0.1696992	0.376108	0.721983	1.08157	1.82034	0.14998	0.165482	0.141501	0.0996518	0.363892	0.0794939	0.4671417	1.230752
200	-225.6167	-247.4999	21.88312	0.8931213	3.00397	0.0528067	0.00734146	0.0181314	0.00907619	0.0119768	0.0849657	0.0169354	0.0736527	0.0362616	0.164205	0.0507463	0.00923251	0.0202973	0.0580712	0.0202936	0.00646248	0.00438082	0.0558426	0.00724664	0.0977098	0.0123524	0.170384	0.0149571	0.0618771	0.0100547	0.0102655	0.00155871	0.0305836	0.230451	0.0343646	0.144336	0.0586202	0.0170695	0.0121243	0.00404782	0.0500026	0.0170648	0.00259723	0.00370491	0.0448351	0.0324639	0.0677851	0.0402845	0.00303455	0.00344527	0.0896549	0.00214948	0.00844201	0.03335726	-0.0289718	0.100508	0.00985357	0.261868	0.000740944	0.0171297	0.135659	0.0769083	0.0719309	0.0032502	0.080823	0.00331468	0.0872803	0.0392765	0.106062	0.00539413	0.9839573	11	14.44619	0.1659213	0.389569	0.731747	1.08254	1.79615	0.144572	0.245355	0.129958	0.084547	0.328038	0.0675303	0.9549855	1.030337
300	-215.6729	-246.8588	31.18584	4.719412	3.497494	0.092756	0.0141612	0.00396276	0.0621825	0.0037461	0.0436135	0.0130677	0.00179243	0.0159356	0.0229472	0.0148227	0.00864763	0.0638433	0.0138796	0.0084364	0.00712667	0.00392022	0.00856026	0.0151239	0.024878	0.0069807	0.047515	0.00603934	0.013926	0.0359537	0.105479	0.00242675	0.0535333	0.0703383	0.0192474	0.000935555	0.00268439	0.00302386	0.0377439	0.000328918	0.00341994	0.125591	0.013902	0.00366749	0.0689881	0.0146963	0.0381318	0.0205305	0.0053841	0.00119953	0.0240633	0.00502543	0.00265337	0.02731627	-0.2433332	0.0918161	0.0197958	0.182824	0.00091897	0.00905659	0.141287	0.0456392	0.0523237	0.107912	0.0279427	0.00916762	0.103882	0.00164762	0.174743	0.0310435	0.7699982	11	14.35636	0.09274562	0.424429	0.755818	1.08407	1.73568	0.113622	0.157485	0.175312	0.107072	0.377706	0.068803	0.526665	1.462027
400	-232.5717	-253.0214	20.44975	3.596727	3.126037	0.0103002	0.000217067	0.0177015	0.029871	0.0302618	0.0831646	0.0120772	0.0155762	0.0117411	0.0257451	0.00568425	0.15443	0.0291464	0.0462878	0.0153712	0.0503077	0.00271558	0.089297	0.0560115	0.0112306	0.0035417	0.00409096	0.112278	0.00117281	0.0031003	0.0134398	0.00536615	0.0491679	0.0623436	0.0483402	0.00504459	0.0150439	0.00131424	0.000960384	0.0393924	0.116094	0.195062	4.53891e-05	0.0526522	0.0220079	0.00179269	0.0133502	0.00105857	0.0181078	0.00223905	0.000860032	0.0609652	0.00558113	0.0434897	-0.03374326	0.0685454	0.0181606	0.134022	0.0149578	0.0108944	0.0985085	0.0860418	0.144738	0.0787397	0.150685	0.0228644	0.0954675	0.040181	0.0256352	0.010559	0.632579	8	15.37852	0.1066083	0.398783	0.738276	1.08307	1.77987	0.221624	0.216308	0.113365	0.179007	0.228042	0.0416549	0.5988357	1.056348
500	-225.2216	-252.609	27.38734	1.505456	4.746898	0.0376669	0.00934598	0.00320073	0.0461895	0.00790153	0.196234	0.0126731	0.0173285	0.00819329	0.00865782	0.00437221	0.0282828	0.0359961	0.00261264	0.0222482	0.013344	0.0405534	0.0214352	0.0297098	0.00620382	9.91898e-06	0.0661649	0.0240618	0.00215982	0.0143839	0.0141226	0.00766189	0.00238705	0.0111319	0.0342281	0.0141719	0.0624829	0.00985143	0.0101261	0.0253756	0.0212364	0.0937467	0.00404743	0.0228439	0.020795	0.0525893	0.00286269	0.116026	0.0342315	0.0057858	0.00815075	0.0951908	0.0430156	0.02512557	0.01238718	0.0647075	0.0312092	0.104175	0.00513235	0.0826507	0.110502	0.0535671	0.0267645	0.234633	0.0266098	0.00576282	0.0619287	0.0902356	0.0644538	0.0376677	0.6037859	10	19.19227	0.1345172	0.491213	0.797632	1.08371	1.62744	0.195727	0.192373	0.10834	0.12215	0.332971	0.0484386	0.6161731	0.9798966
600	-277.2475	-253.0853	-24.16216	1.566421	1.504156	0.0130844	0.280835	0.157442	0.041232	0.0144978	0.161255	0.0316551	0.0374699	0.187476	0.0357624	0.023059	0.159825	0.0222666	0.0330626	0.00901483	0.000634938	0.0263416	0.15627	0.046535	0.0464702	0.0274962	0.0144196	0.0160252	0.0242712	0.038883	0.0692793	0.067164	0.0844032	0.214722	0.272004	0.131718	0.30232	0.0135955	0.0018698	0.157262	0.224516	0.301231	0.0655216	0.0265155	0.0196831	0.041948	0.0113996	0.0129931	0.00216884	0.00401177	0.00799622	0.0344535	0.0470726	0.0535759	-0.1617159	0.0109117	0.0507025	0.28751	0.0162701	0.00365276	0.0918205	0.142597	0.00433841	0.0141545	0.0231761	0.042115	0.171865	0.0490655	0.06547	0.0263508	0.5846693	8	19.04971	0.1558892	0.225964	0.589247	1.05066	2.13412	0.164831	0.215892	0.176266	0.0988612	0.268962	0.0751869	0.4229535	1.382349
700	-245.4828	-249.458	3.975133	0.9812407	3.480966	0.0679812	0.0182739	0.0569825	0.0358768	0.133845	0.252325	0.031191	0.0472697	0.0478827	0.0232012	0.0334689	0.0711926	0.0344217	0.188828	0.0168118	0.00248554	0.0668251	0.0846274	0.0299372	0.0441444	0.0940157	0.0407364	0.0134574	0.0688216	0.0700164	0.213785	0.0313577	0.00948456	0.00355131	0.0179212	0.0233844	0.00382423	0.0141221	0.001429	0.246308	0.00584509	0.00313616	0.165002	0.024226	0.235921	0.0123987	0.0833419	0.023683	0.00393395	0.0328508	0.0890428	0.0312261	0.0387595	0.05444234	0.05205448	0.0319646	0.0255425	0.158555	0.00699301	0.0684273	0.0767055	0.0157051	0.0281364	0.153869	0.0800918	0.0113514	0.0746592	0.0120132	0.218635	0.0373514	0.8458937	9	12.16851	0.1351056	0.423357	0.755103	1.08404	1.7375	0.19022	0.18455	0.117219	0.0993042	0.373433	0.035274	0.8979482	0.9420295
800	-246.5238	-245.5518	-0.9719998	4.098233	5.603618	0.00162531	0.0102218	0.00346325	0.064148	0.0257513	0.0693197	0.00651518	0.0164089	0.0351382	0.0169792	0.0538096	0.0723746	0.0204381	0.00304803	0.0402762	0.0191439	0.0617882	0.113895	0.0920199	0.0315698	0.00731114	0.0367319	0.0148748	0.00291832	0.0346095	0.180752	0.0182878	0.112908	0.00410526	0.0395467	0.0349205	0.0370727	0.0133356	0.0166119	0.156245	0.0559651	0.0615184	0.0732728	0.0178165	0.0463991	0.0212364	0.0165648	0.00761452	0.0336164	0.148068	0.216991	0.0889842	0.00595486	0.06006346	0.1748483	0.0611303	0.0187434	0.173218	0.0024945	0.0789457	0.101892	0.0134051	0.0250803	0.0734875	0.120851	0.0388477	0.0837832	0.00358864	0.196421	0.00811149	0.410623	8	15.50273	0.1246338	0.525368	0.817123	1.08212	1.57539	0.113955	0.190834	0.147766	0.128277	0.362355	0.056813	0.5854712	0.7013546
900	-212.4699	-242.8638	30.39386	1.974835	3.366217	0.00848384	0.0577381	0.0273491	0.0164567	0.0199271	0.0738084	0.00986852	0.0106577	0.0225728	0.00246068	0.140568	0.0844334	0.00418517	0.00925137	0.0130888	0.0101221	0.000831468	0.00410795	0.00530177	0.0290784	0.00278379	0.0456435	0.01157	0.00603101	0.00359805	0.0553202	0.0304828	0.00819816	0.00850009	0.00597801	0.0379962	0.00522095	0.00568064	0.006638	0.145518	0.000832095	0.230313	0.000503387	0.0163771	0.0189058	0.0147638	0.0253593	0.0693893	0.0446045	0.00249009	0.0471899	0.00488238	0.00542071	0.02653544	0.03098979	0.0548453	0.0136183	0.180765	0.000511268	0.0740077	0.0482033	0.0923659	0.0287706	0.0623253	0.0286685	0.00333953	0.158607	0.00900464	0.239684	0.00528343	0.4555302	7	14.18737	0.1266409	0.415748	0.749981	1.08381	1.75046	0.206449	0.12041	0.194329	0.0753845	0.34224	0.0611868	0.4865199	0.9363032
