Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-698.4058	-562.449	-135.9568	4.27555	6.221992	0.03450089	-0.02132816	0.0815189	0.123828	0.288679	0.00767768	0.0563972	0.0178691	0.015306	0.0374481	0.0953425	0.0124267	0.080873	0.0854068	0.0578585	0.0132067	0.0261616	0.2195546	4	90.84996	0.01883657	0.546077	0.828385	1.08076	1.54478	0.174705	0.201287	0.193723	0.191313	0.162774	0.0761976	0.1982264	1.107595
100	-675.0429	-556.7603	-118.2826	6.09899	4.010866	0.0417491	0.008687699	0.0672375	0.0633076	0.178042	0.0128588	0.0285686	0.0108294	0.076274	0.0707621	0.0397791	0.0955242	0.0167859	0.0863124	0.0470032	0.190478	0.0162371	0.1198592	7	67.69987	0.02061141	0.454958	0.775584	1.0844	1.68506	0.189924	0.18623	0.173142	0.161411	0.204851	0.0844416	0.1285469	0.9324161
200	-700.5901	-554.5783	-146.0118	61.66057	4.339407	0.01955086	-0.01552584	0.101183	0.0744812	0.0816001	0.0662864	0.00455934	0.015789	0.0292638	0.0569609	0.114371	0.0238844	0.0246887	0.162219	0.0437485	0.119976	0.0809893	0.186877	3	86.43993	0.01956651	0.472088	0.786185	1.08421	1.65751	0.128494	0.238029	0.157295	0.176976	0.221542	0.0776636	0.1713511	1.090608
300	-683.4692	-553.7898	-129.6793	12.03109	2.411298	0.02803422	-0.02072395	0.0946036	0.0196091	0.206375	0.022285	0.0599682	0.0313265	0.0124077	0.0350007	0.101838	0.0612964	0.00812211	0.102997	0.0188045	0.0955526	0.129815	0.1421603	5	100.8509	0.02041552	0.337882	0.69266	1.07755	1.89191	0.176556	0.232344	0.210525	0.166014	0.153288	0.0612729	0.1214363	1.170657
400	-689.5026	-546.8654	-142.6372	19.44357	1.90373	0.01462063	0.004146058	0.0363919	0.0954906	0.211064	0.0310275	0.0324063	0.00985632	0.064965	0.0346073	0.0785297	0.00770623	0.0213464	0.0757142	0.0134517	0.241021	0.046422	0.08353403	4	95.6077	0.01865896	0.281506	0.64437	1.06738	2.00674	0.137233	0.276134	0.208687	0.117334	0.182111	0.0785024	0.08768009	0.9527138
500	-693.6219	-554.4817	-139.1402	3.16579	3.356245	0.04188193	0.01120077	0.0185198	0.069333	0.119359	0.0757483	0.026547	0.00841323	0.0675648	0.0215011	0.0281311	0.0806328	0.0100346	0.0790265	0.0268955	0.347742	0.020552	0.08221897	5	93.23471	0.02517913	0.415073	0.749522	1.08379	1.75162	0.134649	0.228378	0.208981	0.135836	0.180362	0.111794	0.09341974	0.8801027
600	-688.4789	-557.419	-131.0599	11.28354	5.50598	0.02313529	0.0140663	0.114303	0.0462603	0.250399	0.0247589	0.0153716	0.0128769	0.0413553	0.0540111	0.0677329	0.00852079	0.0531937	0.0629946	0.0979315	0.0370102	0.113281	0.09318516	6	78.47135	0.03130329	0.521826	0.815155	1.08233	1.58069	0.093486	0.217382	0.269041	0.126922	0.162188	0.130981	0.1072515	0.8688475
700	-687.2006	-558.6765	-128.5241	7.842221	6.093298	0.02695255	-0.008456134	0.109623	0.0699202	0.195385	0.0186977	0.0367523	0.0190776	0.0188886	0.0629303	0.0437227	0.102387	0.0483601	0.0799122	0.0484278	0.116579	0.029336	0.2039683	7	83.64181	0.02307478	0.541995	0.826197	1.08105	1.55076	0.129874	0.204766	0.199211	0.152431	0.210636	0.103081	0.1955121	1.043251
800	-687.4964	-560.1402	-127.3563	48.85267	1.110623	0.03527853	-0.006964934	0.047952	0.0531942	0.344657	0.0164703	0.00578366	0.0315115	0.0435202	0.0367037	0.0154996	0.0602866	0.0279149	0.136872	0.0380435	0.0268584	0.114733	0.1318269	6	91.26568	0.02191838	0.158483	0.507651	1.01616	2.31771	0.184351	0.169876	0.213998	0.157954	0.170604	0.103216	0.124862	1.055781
900	-686.5908	-563.995	-122.5958	30.25798	1.921504	0.03979532	-0.01734928	0.0859857	0.150387	0.183798	0.0115953	0.00760316	0.0100513	0.0612875	0.0483606	0.00913891	0.0737686	0.00552834	0.0456635	0.0710777	0.0642035	0.17155	0.1867345	9	85.69824	0.01307869	0.283721	0.646398	1.0679	2.00199	0.111752	0.21381	0.247235	0.130209	0.192402	0.104592	0.1693853	1.102425
