Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-576.3291	-502.7025	-73.62662	33.04961	4.26761	0.00652732	0.141838	0.014925	0.138042	0.0611874	0.0194387	0.0739231	0.0176887	0.0483124	0.241543	0.108372	0.0978902	0.0154032	0.018551	0.0176046	0.0195729	0.075902	0.223098	0.0394696	0.0668767	0.00244228	0.0482489	0.183358	0.0131839	0.0231768	0.193085	0.0427198	0.341675	0.0874873	0.251663	0.169911	0.0310079	0.0545414	0.0715402	0.139765	0.276396	0.0036367	0.0371224	0.131328	-0.03171941	0.0664078	0.166598	0.0579064	0.0545721	0.0533895	0.0140617	0.0117322	0.0214029	0.0327129	0.0466879	0.12398	0.0460783	0.186181	0.0456028	0.0726856	0.3552555	3	54.41677	0.03484977	0.468485	0.783983	1.08427	1.66326	0.0971832	0.118287	0.113863	0.375888	0.100305	0.194473	0.3235361	1.09804
1	0	-559.9558	-495.7608	-64.19496	38.57923	7.87914	0.0670471	0.101127	0.0784749	0.269009	0.0593302	0.0025603	0.0358866	0.110017	0.0681831	0.0582752	0.0223337	0.00020082	0.0380735	0.0697247	0.0711676	0.155059	0.0563536	0.000224839	0.096014	0.0622272	0.0376034	0.139922	0.17236	0.0378568	0.0368826	0.0588414	0.0428644	0.0502302	0.113193	0.074105	0.0724388	0.130977	0.0532692	0.044331	0.0052379	0.115907	0.0716042	0.0214988	0.08548406	-0.03453872	0.104144	0.126297	0.0801548	0.0358883	0.180022	0.0133811	0.00560321	0.0143424	0.00341657	0.000792945	0.172336	0.115421	0.0446545	0.0977847	0.00576154	0.2531068	2	67.15568	0.047098	0.590322	0.851159	1.07692	1.4816	0.0908361	0.110057	0.119592	0.345869	0.183313	0.150333	0.2185681	1.158023
2	0	-575.8289	-500.7813	-75.0476	46.33065	2.775554	0.0146549	0.0637208	0.11695	0.0731778	0.189083	0.137903	0.751531	0.125586	0.0306859	0.135918	0.0204404	0.175689	0.0920318	0.0154352	0.233134	0.0716968	0.137544	0.297911	0.0571104	0.283923	0.0777857	0.0409877	0.261749	0.069142	0.0634883	0.111055	0.0270239	0.0546719	0.051574	0.160073	0.0241051	0.0364168	0.0395135	0.132113	0.244774	0.0486664	0.249173	0.00555398	0.119577	0.0007634838	0.0797707	0.114413	0.0909606	0.0192196	0.040002	0.0730632	0.00403978	0.0131056	0.0574984	0.01005	0.18891	0.139404	0.121012	0.0461694	0.00238198	0.2087116	3	54.09477	0.07283433	0.371117	0.718292	1.08116	1.82943	0.0726436	0.0848884	0.0896223	0.346243	0.181325	0.225277	0.2094751	0.9963553
3	0	-597.1266	-503.5884	-93.53816	26.37702	5.104763	0.1125	0.168193	0.105659	0.332935	0.218485	0.301422	0.112529	0.258455	0.81677	0.136084	0.0286777	0.000829594	0.100978	0.0776001	0.0660438	0.459136	0.0361772	0.285938	0.153935	0.0939919	0.209025	0.184556	0.687576	0.206116	0.310209	0.119069	0.169115	0.306515	0.712845	0.742083	0.465357	0.422678	0.0302437	0.0194828	0.0161038	0.372903	0.0278702	0.447807	0.2036919	0.03521166	0.0794513	0.0658836	0.0570523	0.00726874	0.0169024	0.00200945	0.0174198	0.0457379	0.0501699	0.00076574	0.282733	0.0802417	0.249927	0.0404799	0.00395683	0.3486308	3	51.13118	0.05681363	0.506371	0.806428	1.08311	1.60409	0.0914778	0.128421	0.0698187	0.302148	0.118296	0.289838	0.3838425	0.9082653
4	0	-560.9802	-486.4658	-74.51442	27.00654	3.843573	0.252698	0.433548	0.0825483	0.133502	0.00722931	0.0964229	0.096048	0.0622307	0.20511	0.065251	0.0589151	0.0104297	0.0578573	0.250578	0.0708726	0.423763	0.0410478	0.0690512	0.278378	0.0253081	0.0258818	0.132678	0.227738	0.132869	0.113533	0.315898	0.0402996	0.142337	0.0140399	0.0233626	0.215701	0.157204	0.224448	0.0550634	0.212857	0.0333878	0.00282675	0.0703149	0.1213278	0.01429815	0.0749454	0.155622	0.0336323	0.00212395	0.0716771	0.00591001	0.00359443	0.028578	0.0120994	0.150417	0.262954	0.091637	0.0527776	0.0373349	0.0166968	0.294208	4	56.78675	0.0606606	0.445557	0.76962	1.08439	1.70043	0.136736	0.110398	0.0676588	0.331287	0.155457	0.198463	0.3085061	0.9536536
5	0	-568.7795	-501.6541	-67.12538	30.84989	2.993053	0.0188209	0.0513697	0.108322	0.312715	0.022902	0.0481384	0.0785262	0.00199389	0.156754	0.0655618	0.00458598	0.00124277	0.0607766	0.365038	0.0552998	0.209497	0.209071	0.0927599	0.365263	0.0462638	0.410683	0.163666	0.212445	0.0037474	0.135729	0.174103	0.106007	0.0877105	0.06894	0.00766352	0.224202	0.026539	0.247805	0.0569467	0.343976	0.0385663	0.0385765	0.115128	0.1177607	0.007638356	0.0293749	0.128924	0.0312154	0.0106661	0.265273	0.0386383	0.00466421	0.00616411	0.0188037	0.0262693	0.207541	0.144713	0.0130285	0.0490263	0.0256977	0.3555474	5	50.51877	0.05276616	0.388724	0.731143	1.08248	1.79765	0.0980242	0.174836	0.0511917	0.429566	0.123584	0.122798	0.3631857	0.9789685
6	0	-566.9227	-491.2539	-75.66885	30.61538	5.318982	0.00852305	0.0860871	0.0327107	0.329759	0.0183519	0.00245302	0.0306153	0.00644731	0.0492777	0.0676126	0.0163347	0.126899	0.12719	0.0171966	0.116108	0.0198334	0.00457841	0.315055	0.000453706	0.073846	0.115415	0.0337177	0.24199	0.0968318	0.0147973	0.0754433	0.391805	0.133674	0.0870257	0.0273214	0.0141819	0.107942	0.000156349	0.27306	0.110312	0.0236621	0.00276558	0.252173	0.1366899	-0.01893367	0.119971	0.017051	0.0822534	0.122039	0.0706574	0.00928783	0.018254	0.0493201	0.037045	0.0255941	0.167355	0.128971	0.121855	0.0223406	0.00800483	0.3233236	3	51.87061	0.0525525	0.51481	0.811223	1.08271	1.59126	0.120887	0.104349	0.117945	0.295362	0.110306	0.251151	0.3043899	1.062202
7	0	-559.9265	-495.9343	-63.99223	34.66473	4.317718	0.0112439	0.0204935	0.0367705	0.00604256	0.0832511	0.008623	0.144524	0.0327661	0.0159226	0.00961509	0.0566308	0.113124	0.000635291	0.0126555	0.0653718	0.0673545	0.11221	0.17652	0.0909667	0.0729281	0.107824	0.0294643	0.114541	0.120467	0.061828	0.0479595	0.150469	0.0679646	0.17057	0.0186697	0.0159722	0.000822502	0.138702	0.0332543	0.116262	0.0594192	0.0655414	0.101785	0.07877809	-0.00136261	0.0618701	0.115167	0.045045	0.0383758	0.0721404	0.094882	0.0127524	0.0160966	0.0244118	0.0294655	0.195508	0.0862908	0.10452	0.0147161	0.0887584	0.2245449	2	61.42205	0.05447537	0.471008	0.785526	1.08423	1.65923	0.104317	0.119012	0.0758723	0.368043	0.143942	0.188814	0.2231823	1.006105
8	0	-581.3728	-491.4218	-89.95106	39.17677	4.928456	0.0134302	0.161593	0.0578588	0.0228563	0.0469409	0.210964	0.156144	0.336073	0.054776	0.168478	0.499991	0.799509	0.0489061	0.0187878	0.278314	0.082341	0.0459087	0.144034	0.210456	0.111785	0.0342315	0.206072	0.120303	0.143026	0.216233	0.0507284	0.0831519	0.0771134	0.29906	0.0613675	0.102502	0.0169321	0.00544082	0.111054	0.0531547	0.0134877	0.437503	0.0247482	0.09639415	-0.02109914	0.0876674	0.0842692	0.0759296	0.0305601	0.108656	0.0247384	0.00734329	0.0167221	0.0179269	0.0522243	0.269704	0.0663897	0.117219	0.0260536	0.0145962	0.1402819	4	53.11608	0.06176723	0.499079	0.802226	1.08342	1.61527	0.115367	0.146629	0.104855	0.329369	0.14265	0.16113	0.1191827	1.177032
9	0	-578.001	-493.2776	-84.72336	30.12686	3.295317	0.00132787	0.230417	0.242645	0.301808	0.0586044	0.0787807	0.0736159	0.0569508	0.0365547	0.790184	0.097604	0.578357	0.136698	0.0393522	0.068449	0.0768892	0.196653	0.545405	0.0795869	0.0229064	0.031251	0.0167815	0.178117	0.157124	0.00519643	0.0316389	0.523674	0.449161	0.110354	0.106815	0.377177	0.137507	0.123586	0.103822	0.319101	0.124303	0.156229	0.019842	0.1295704	-0.06489196	0.0898181	0.132261	0.0537682	0.00323604	0.107651	0.0572641	0.00268587	0.0319602	0.0373569	0.0176747	0.300035	0.0791593	0.0557979	0.027326	0.00400671	0.2265447	5	58.98652	0.05567379	0.410892	0.746671	1.08363	1.75881	0.0783225	0.0890434	0.0737586	0.391239	0.189132	0.178504	0.1616527	1.401428
10	0	-598.5374	-513.2247	-85.31271	36.72216	2.905851	0.208678	0.0040143	0.0859391	0.201026	0.110553	0.138549	0.01522	0.787431	0.0930534	0.262709	0.0135239	0.00347095	0.0766231	0.162067	0.0905967	0.190709	0.132301	0.0630571	0.0761509	0.10993	0.626607	0.378499	0.136303	0.0259778	0.0380191	0.0414911	0.0316526	0.0175124	0.43654	0.736955	0.0198833	0.0187462	0.0962569	0.0159654	0.0714037	0.700001	0.076783	0.186622	0.1600919	0.04297177	0.132687	0.0705331	0.121467	0.0270884	0.220513	0.0159409	0.0214277	0.00345195	0.0783262	0.0346814	0.119705	0.0118512	0.0717455	0.0682181	0.00236328	0.1594032	3	61.44203	0.05422006	0.381845	0.726178	1.08201	1.80997	0.067613	0.110088	0.0838851	0.339144	0.193459	0.20581	0.202375	0.7876626
11	0	-587.1678	-506.4634	-80.70438	23.361	2.440739	0.00619061	0.24049	0.0180687	0.744021	0.278926	0.0402203	0.171757	0.0746868	0.112844	0.0177735	0.114471	0.037399	0.00550856	0.00285454	0.277074	0.198361	0.252847	0.324173	0.101773	0.0239792	0.538217	0.113622	0.00993324	0.174367	0.253609	0.0559837	0.125036	0.108793	0.216985	0.348022	0.356547	0.43038	0.000515322	0.0119195	0.0855864	0.0308508	0.212959	0.0347984	0.1419691	-0.01089735	0.051326	0.0843752	0.0417708	0.110745	0.254679	0.0259533	0.0201344	0.00981844	0.0120946	0.025595	0.160532	0.101526	0.0621878	0.0165593	0.0227035	0.2344347	5	53.26752	0.05552794	0.340765	0.694959	1.07792	1.88635	0.0820727	0.0988149	0.116908	0.422332	0.142116	0.137756	0.2235374	1.04875
