Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates[61]	branch_rates[62]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-439.8119	-358.9435	-80.86844	20.67231	9.063288	0.030639	0.00822959	0.271306	0.00247769	0.0100482	0.00602	0.0646631	0.04104	0.101941	0.316833	0.261303	0.00299721	0.177589	0.029886	0.0340254	0.0392511	0.00852034	0.0216795	0.043072	0.0895827	0.0360096	0.0233742	0.0571327	0.0100093	0.0138551	0.0544868	0.100003	0.0371525	0.00635053	0.00312019	0.0159678	0.301944	0.00666041	0.00937924	0.169952	0.178791	0.0443128	0.101208	0.0402493	0.0343272	0.0288172	0.0406676	0.115917	0.0115255	0.446458	0.0108337	0.242928	0.178803	0.0980606	0.257493	0.0139764	0.0659448	0.0410512	0.0185892	0.0503179	0.290173	0.100406	0.0225316	0.139359	0.193669	0.0202894	0.0192109	0.08569509	0.005455555	0.0393441	0.0560274	0.128199	0.119757	0.0756142	0.0370982	0.0715169	0.000514763	0.142637	0.0984294	0.129433	0.0217893	0.011245	0.0179851	0.0504091	0.3768362	12	50.48537	0.078519	0.61492	0.863112	1.07429	1.44768	0.101923	0.171715	0.188857	0.153647	0.226673	0.157186	0.3822917	0.9857293
100	-439.2098	-371.4374	-67.77237	13.74968	3.189069	0.00372627	0.0115265	0.0509768	0.0134649	0.0346198	0.00676191	0.0498421	0.0395339	0.127477	0.343937	0.00491333	0.0886298	0.146044	0.0541129	0.0196239	0.0807229	0.0252744	0.0987594	0.0417322	0.00985798	0.00413269	0.0704572	0.166691	0.154652	0.0051995	0.00252531	0.290333	0.0166424	0.0226028	0.014595	0.0121179	0.201498	0.0033578	0.173557	0.0655184	0.00486726	0.012772	0.0243376	0.108905	0.358877	0.0606935	0.0627041	0.00652084	0.11096	0.034031	0.286091	0.0343502	0.0100035	0.240897	0.0837207	0.16832	0.0423101	0.0255838	0.235795	0.0186411	0.19014	0.00748208	0.00304834	0.0626264	0.196861	0.0966694	0.0393343	0.08113941	-0.04701388	0.0783886	0.126757	0.101496	0.0202431	0.0728831	0.259847	0.00551119	0.0128721	0.10667	0.0354952	0.0801621	0.00758808	0.0184409	0.0164108	0.0572348	0.5396151	12	50.9875	0.08387627	0.40338	0.741487	1.0833	1.77183	0.138636	0.100125	0.156928	0.102121	0.331856	0.170334	0.4926012	1.09544
200	-435.459	-364.4238	-71.03521	23.23711	2.200352	0.152023	0.00911652	0.293717	0.0539377	0.061492	0.00252659	0.178821	0.0143476	0.00851872	0.12242	0.0966067	0.102679	0.0569664	0.0400451	0.0675282	0.0187863	0.0500659	0.0259563	0.132576	0.00228457	0.00259974	0.00191243	0.00238202	0.258284	0.00166579	0.00710608	0.0696404	0.0548586	0.110285	0.0023995	0.094722	0.0218019	0.152079	0.199219	0.0569083	0.0136276	0.000725666	0.100529	0.0233164	0.206827	0.00188811	0.00812608	0.0109143	0.216052	0.102221	0.0988231	0.0258919	0.00076223	0.19224	0.0150355	0.0538496	0.0171384	0.103141	0.0159751	0.056816	0.32667	0.179493	0.0414328	0.0238546	0.157737	0.131818	0.0118737	0.07107956	-0.03085676	0.0793529	0.0645226	0.0407398	0.151636	0.0280115	0.198932	0.00689711	0.0146746	0.0339519	0.00351825	0.246994	0.00450545	0.0249632	0.0545551	0.0467456	0.5192735	11	54.45922	0.07054286	0.316072	0.674757	1.07428	1.93489	0.149477	0.126257	0.141358	0.180037	0.227154	0.175718	0.4884168	1.063177
300	-438.7586	-362.1047	-76.65391	27.13573	6.802122	0.283755	0.0696552	0.116769	0.0165432	0.0774325	0.0343295	0.175618	0.0236917	0.0362974	0.0527643	0.00113977	0.0175264	0.0106584	0.103224	0.127455	0.0192868	0.0183112	0.102312	0.00460161	0.0144657	0.0087389	0.219717	0.0745834	0.153061	0.0329028	0.00101346	0.0081823	0.0169532	0.0932748	0.00217704	0.0122568	0.0960119	0.0652035	0.00366219	0.176654	0.393966	0.0864676	0.0111043	0.0430075	0.0873365	0.0196425	0.270329	0.0829355	0.0604158	0.0695297	0.0223598	0.155166	0.000829616	0.0206066	0.0331899	0.00560556	0.246689	0.0686892	0.0197131	0.0794653	0.154355	0.0155945	0.0334506	0.00511803	0.136553	0.0496805	0.0290464	0.06375607	0.116642	0.0830274	0.074036	0.201706	0.0887122	0.0621552	0.0386287	0.00835179	0.0355331	0.125267	0.0366304	0.114418	0.00669668	0.0517951	0.0518003	0.0212421	0.4198654	10	55.14652	0.06317221	0.563186	0.837393	1.07942	1.52001	0.140163	0.190488	0.219481	0.100989	0.248915	0.0999644	0.5365074	0.7825901
400	-431.2116	-366.833	-64.37856	31.90547	3.374932	0.0587337	0.0114362	0.361605	0.00677796	0.0221647	0.044893	0.100728	0.0258061	0.00528828	0.0935993	0.0228855	0.00333036	0.0668789	0.0455667	0.0211105	0.113128	0.0086827	0.0126198	0.0161015	0.0208635	0.00465486	0.134385	0.0173719	0.00418871	0.0153095	0.0226198	0.0454376	0.0712315	0.000782405	0.0138681	0.0560429	0.0183113	0.089506	0.450523	0.0893815	0.0233278	0.0161836	0.020526	0.155539	0.101739	0.000519675	0.0259026	0.0860919	0.055152	0.0448624	0.0560647	0.0805471	0.153977	0.0381745	0.0112986	0.0303129	0.00800664	0.0246579	0.00574302	0.000458343	0.104723	0.00101539	0.0454488	0.097832	0.216773	0.0458368	0.0232862	0.06628811	0.06867399	0.0572341	0.09025	0.0473318	0.0277867	0.0148659	0.0257231	0.0182616	0.0282151	0.132769	0.00569791	0.159331	0.0380396	0.124131	0.148981	0.0813816	0.3196401	8	54.40807	0.05719321	0.416337	0.75038	1.08383	1.74945	0.139153	0.200631	0.211515	0.0744552	0.26411	0.110135	0.3883141	0.8231483
500	-453.7969	-363.962	-89.83493	13.93445	5.746346	0.205231	0.0301379	0.436773	0.0574597	0.0666967	0.0112503	0.147552	0.00558161	0.0237287	0.176111	0.180911	0.0649449	0.00414327	0.0371551	0.54076	0.182771	0.0125778	0.00935986	0.0533496	0.0114678	0.0310791	0.111999	0.0484839	0.0107552	0.0503218	0.0364138	0.201205	0.0492703	0.445248	0.0403791	0.096188	0.0408436	0.0811492	0.207943	0.105838	0.0147272	0.0102524	0.006617	0.357228	0.282567	0.00659405	0.00369076	0.144308	0.0896368	0.284832	0.116794	0.123744	0.019009	0.00407609	0.153626	0.180953	0.017062	0.0155909	0.250445	0.00820774	0.281417	0.028338	0.0053978	0.247879	0.0162085	0.923578	0.00871664	0.1292298	-0.004683577	0.0808086	0.109943	0.00256963	0.046933	0.0799119	0.163075	0.00370771	0.0815658	0.0699731	0.110033	0.161164	0.00303548	0.00352656	0.0547763	0.0289772	0.4390568	16	50.763	0.1099958	0.530404	0.819899	1.08182	1.56788	0.172412	0.0947398	0.161776	0.162321	0.270749	0.138003	0.4343732	1.010782
600	-425.4414	-358.8952	-66.54626	21.02838	3.547626	0.0185065	0.00214313	0.366566	0.0249502	0.0227199	0.0111506	0.0902256	0.0157138	0.0541141	0.230613	0.0803263	0.0108289	0.00239823	0.0827948	0.0143426	0.051257	0.00786489	0.201422	0.00091708	0.0120533	0.0126294	0.0351452	0.066401	0.176494	0.0431532	0.0122629	0.0695691	0.0105675	0.15146	0.0110744	0.0149748	0.0218192	0.0947252	0.0107385	0.0754115	0.0300488	0.0672556	0.213497	0.0280913	0.048642	0.175417	0.0147472	0.0624973	0.0608695	0.137455	0.0166862	0.250198	0.0302171	0.00843637	0.0571683	0.0045418	0.0370063	0.479357	0.0196134	0.074285	0.255572	0.00204949	0.00546331	0.0265255	0.249126	6.64268e-06	0.0766716	0.06910718	0.04735008	0.130558	0.0535157	0.0231783	0.0726303	0.104557	0.0715304	0.0494658	0.00149907	0.165766	0.0385462	0.0604374	0.050041	0.0433968	0.107761	0.0271177	0.4116704	9	53.2803	0.05586548	0.427641	0.757953	1.08415	1.73026	0.186408	0.12505	0.198427	0.114715	0.248125	0.127276	0.4590205	0.8968454
700	-429.0768	-355.3171	-73.75975	29.8959	5.630723	0.0984739	0.00882547	0.353098	0.0743203	0.00932667	0.0158366	0.086754	0.0426395	0.0144644	0.126909	0.0347799	0.00607007	0.302686	0.0654243	0.0649215	0.0152799	0.00441756	0.0902918	0.0409693	0.0609882	0.000405728	0.015251	0.0507835	0.0325475	0.0850894	0.0479263	0.220494	0.016217	0.0375609	0.00387648	0.0892898	0.0230322	0.0584719	0.0487634	0.183824	0.026638	0.0137369	0.0594873	0.0393439	0.0403503	0.0255674	0.0284731	0.122668	0.215929	0.0806502	0.157179	0.0215972	0.0883315	0.0655997	0.381392	0.196074	0.00628368	0.0516633	0.149705	0.0245789	0.248317	0.0330022	0.0571658	0.030601	0.0109396	0.0749175	0.013832	0.07965914	0.02023996	0.134975	0.0245745	0.0850144	0.0709049	0.111278	0.0524736	0.083184	0.015218	0.154355	0.0421936	0.0858053	0.00636952	0.0212293	0.082516	0.0299088	0.4968231	12	52.54052	0.06582824	0.526337	0.817659	1.08207	1.57394	0.150263	0.0971545	0.308043	0.0922869	0.259444	0.092808	0.5170631	0.9608559
800	-419.6181	-359.8598	-59.75833	18.12505	7.556453	0.0473682	0.0141737	0.290069	0.0189393	0.00250137	0.00212796	0.0177944	0.0374064	0.00748633	0.20944	0.00211155	0.0836168	0.0729222	0.063112	0.181842	0.00354342	0.0329755	0.00909002	0.0213443	0.00489295	0.0188489	0.0483354	0.0245514	0.0393019	0.0149939	0.00175611	0.00112616	0.0242571	0.146741	0.00559739	0.0137769	0.0172917	0.250969	0.455537	0.009464	0.00709259	0.0906249	0.278085	0.142409	0.14166	0.0303286	0.00194443	0.00304781	0.0754601	0.0359395	0.0554243	0.0240493	0.0547662	0.0264073	0.107862	0.0508623	0.00781628	0.0111481	0.0155718	0.00575527	0.0742469	0.0742291	0.0368392	0.0175678	0.0194763	0.246543	0.0834974	0.05778588	0.04548101	0.0891118	0.0723871	0.0577516	0.0349818	0.0863286	0.0749845	0.000924762	0.107852	0.119614	0.051689	0.101771	0.00526895	0.0233796	0.147111	0.026844	0.4504617	10	50.58576	0.07208836	0.582738	0.847374	1.07766	1.49223	0.0978756	0.170852	0.234793	0.121899	0.22746	0.147121	0.4959427	0.9082938
900	-429.9752	-369.4771	-60.49809	32.66164	4.185678	0.13052	0.0298102	0.112429	0.0111786	0.0714492	0.0295419	0.041363	0.00297845	0.0204305	0.102338	0.00885926	0.0102883	0.0104337	0.0642573	0.0854962	0.0247218	0.0502094	0.0074256	0.0449299	0.0151833	0.00762907	0.0602283	0.153613	0.0125773	0.0280766	0.0216393	0.0537058	0.123091	0.0612108	0.0315865	0.0112267	0.00823255	0.0241545	0.244983	0.0815539	0.0205322	0.00189891	0.0283272	0.360917	0.118404	0.0289816	5.20015e-06	0.00886177	0.10114	0.0387813	0.089728	0.0193655	0.00616192	0.0751309	0.0473834	0.0478863	0.00132511	0.102411	0.0157374	0.00957397	0.225915	0.194947	0.0279333	0.049871	0.0202504	0.0385341	0.00187396	0.04981835	0.001940127	0.00848513	0.062965	0.130383	0.0694135	0.100981	0.0975044	0.00719937	0.107669	0.198919	0.0428418	0.0650374	0.0119576	0.0229215	0.0634468	0.0102753	0.4811532	6	50.40424	0.05833106	0.46428	0.781395	1.08433	1.67	0.174411	0.100136	0.256119	0.0813108	0.300542	0.0874809	0.4830933	0.995984
