Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-448.3421	-332.8034	-115.5386	18.90339	3.065193	0.04383819	0.1121811	0.125985	0.0493599	0.0312068	0.057306	0.00158278	0.0371185	0.115077	0.054431	0.0361528	0.0862111	0.117193	0.0567894	0.127787	0.0925994	0.0112007	0.4408772	6	20.05233	0.04195485	0.394243	0.735075	1.08282	1.78786	0.160312	0.234703	0.193353	0.0669188	0.11849	0.226222	0.5530583	0.7971622
100	-431.7837	-332.2132	-99.57047	8.956235	4.732024	0.07138337	0.0003480585	0.110112	0.0506544	0.0626429	0.0631565	0.00930922	0.05862	0.0726051	0.0580317	0.0624322	0.0228715	0.149774	0.129144	0.0894927	0.0426564	0.0184977	0.4043438	9	9.248381	0.07425887	0.490552	0.797243	1.08374	1.62847	0.181218	0.247014	0.162442	0.0961738	0.157312	0.155841	0.4046919	0.9991399
200	-447.7317	-345.4722	-102.2595	9.753391	1.918265	0.06799441	-0.02004035	0.124837	0.0576565	0.062004	0.0300101	0.0391993	0.0965169	0.113086	0.0587513	0.0441774	0.0307565	0.0260106	0.132436	0.0353478	0.0262144	0.122996	0.571886	6	10.1071	0.1133297	0.283319	0.646031	1.0678	2.00285	0.161734	0.225021	0.126141	0.142711	0.217211	0.127181	0.5518456	1.036315
300	-442.9711	-339.3909	-103.5802	10.00781	3.56554	0.0474675	0.239824	0.0621242	0.0361828	0.0686522	0.01067	0.00682479	0.0870386	0.118054	0.0963237	0.0246883	0.018857	0.0591258	0.0704546	0.116181	0.190898	0.0339247	0.4725743	4	12.15619	0.1059912	0.428776	0.758704	1.08417	1.72835	0.235739	0.200873	0.0947667	0.112296	0.187939	0.168386	0.7123983	0.6633569
400	-435.7021	-332.9995	-102.7026	9.755765	2.869047	0.06632276	0.03441585	0.0679332	0.0517814	0.0215986	0.0355577	0.00299637	0.0598427	0.107133	0.0298896	0.0290711	0.0938084	0.0793101	0.201471	0.0549027	0.0952258	0.0694783	0.5590245	9	12.55675	0.06965974	0.37887	0.72401	1.08179	1.81533	0.210462	0.229036	0.163571	0.0762447	0.168021	0.152665	0.5934404	0.9420062
500	-440.8268	-337.6518	-103.175	13.48352	2.16841	0.06261861	0.08742779	0.150105	0.0340003	0.0648322	0.0164016	0.0257487	0.0672262	0.0760477	0.0303707	0.019835	0.0679079	0.0748913	0.0303413	0.165628	0.169441	0.00722306	0.2922299	7	13.59326	0.07905525	0.312582	0.671805	1.07368	1.94193	0.126149	0.270567	0.127613	0.143308	0.228001	0.104362	0.3796577	0.7697194
600	-431.4076	-334.5219	-96.88566	11.37665	2.017892	0.05130983	0.01746088	0.0926711	0.0400472	0.080248	0.0766096	0.00986251	0.0282685	0.069972	0.0369214	0.0120156	0.36955	0.105354	0.0320883	0.00301	0.0427805	0.000601486	0.5132466	6	11.44914	0.09130202	0.295401	0.656903	1.07043	1.97726	0.155169	0.229068	0.136798	0.105256	0.147675	0.226034	0.5307075	0.9670989
700	-440.3016	-335.7137	-104.5878	12.33901	2.443558	0.04584786	0.217995	0.105904	0.0507232	0.0306542	0.0235794	0.0408013	0.0541636	0.0283713	0.0672639	0.0231409	0.16318	0.114187	0.0757558	0.0337226	0.16343	0.0251227	0.2374828	6	15.06458	0.1397236	0.341039	0.695177	1.07796	1.88583	0.181924	0.286568	0.119962	0.113006	0.155234	0.143307	0.4554779	0.5213927
800	-441.3743	-334.8089	-106.5653	12.53275	4.091337	0.03811388	0.02296244	0.0547378	0.0309093	0.0694216	0.0616567	0.00563428	0.109298	0.0930605	0.0547186	0.0392735	0.150769	0.0568679	0.0605561	0.0332167	0.13643	0.0434503	0.6753178	6	14.51435	0.09613831	0.45931	0.77831	1.08438	1.678	0.224847	0.276923	0.0838028	0.0907157	0.147214	0.176497	0.6982802	0.9671157
900	-443.3469	-338.1576	-105.1893	10.76832	4.362331	0.07105011	-0.008543638	0.121451	0.0146796	0.0215808	0.0393097	0.0229579	0.0185568	0.0941338	0.0348709	0.0145148	0.0193483	0.0709066	0.210071	0.015093	0.178188	0.124337	0.3609836	6	12.33632	0.07918415	0.473223	0.786875	1.08419	1.65571	0.228942	0.267804	0.124847	0.11614	0.185221	0.0770463	0.3524399	1.024241
1000	-438.7438	-330.1969	-108.5469	13.5794	2.784142	0.04222309	0.07831379	0.116696	0.0655842	0.062948	0.0348924	0.0256766	0.0159724	0.0289794	0.0533751	0.0230258	0.139312	0.0881358	0.0614406	0.133824	0.134673	0.0154635	0.3248539	9	15.15835	0.05191764	0.371841	0.71883	1.08122	1.82811	0.169288	0.287637	0.108866	0.092202	0.166411	0.175595	0.4031677	0.8057538
1100	-427.3081	-331.9986	-95.30957	9.287967	2.611661	0.08165553	0.115254	0.0694367	0.0243347	0.0846527	0.056556	0.00682696	7.16224e-05	0.108622	0.0890063	0.00537041	0.0202418	0.141113	0.0605706	0.118159	0.214488	0.000549873	0.2971536	8	11.30506	0.1778567	0.356794	0.707475	1.07979	1.85594	0.166836	0.276047	0.150298	0.0724042	0.123862	0.210554	0.4124076	0.7205338
1200	-434.7888	-334.5956	-100.1932	10.59937	4.45722	0.08520044	0.02740547	0.0734169	0.0248042	0.10267	0.0156264	0.00857134	0.0381814	0.122332	0.0122909	0.013409	0.0164631	0.0786352	0.218012	0.100868	0.142615	0.0321047	0.7155351	8	11.90594	0.06570301	0.477842	0.789671	1.08409	1.64839	0.162281	0.250845	0.136107	0.100149	0.157547	0.193071	0.7429406	0.9631122
1300	-447.608	-348.513	-99.09498	10.2455	2.142286	0.05328689	0.1381223	0.115113	0.0494524	0.0375359	0.119698	0.0117351	0.10662	0.0378245	0.165297	0.01676	0.0359403	0.0812325	0.0260117	0.111952	0.0651781	0.0196484	0.4152034	9	12.75983	0.1417258	0.309688	0.669339	1.07317	1.9478	0.20697	0.152143	0.0851012	0.184894	0.166867	0.204026	0.5533257	0.7503779
1400	-456.9919	-348.4346	-108.5573	14.72923	1.296455	0.05193438	0.0225225	0.0722824	0.0608176	0.0204863	0.0643106	0.0591546	0.0400219	0.0630542	0.0390954	0.0785761	0.151052	0.0310679	0.183397	0.0592198	0.0662795	0.0111847	0.2575128	5	20.05108	0.1184168	0.192099	0.550753	1.03584	2.22131	0.167388	0.280896	0.0964158	0.192849	0.120525	0.141926	0.2800353	0.9195727
1500	-438.8116	-339.2328	-99.57879	13.20372	3.903874	0.08182423	0.06497758	0.148206	0.02053	0.041927	0.0564313	0.00128944	0.0119031	0.105819	0.0512343	0.038759	0.00964912	0.101766	0.067537	0.208509	0.0631389	0.0733011	0.4969831	7	13.30589	0.1133828	0.449002	0.771818	1.0844	1.69478	0.174886	0.249631	0.113887	0.0585692	0.208672	0.194354	0.5619607	0.8843734
1600	-431.1212	-332.8254	-98.29581	8.828215	2.914163	0.07752061	0.2096716	0.0505566	0.0290416	0.0214748	0.0188155	0.0127707	0.0394	0.0444856	0.0134955	0.0388168	0.219376	0.094669	0.111308	0.0431036	0.241578	0.0211078	0.6009561	9	11.5687	0.1290256	0.38251	0.726662	1.08206	1.80877	0.218784	0.247809	0.115655	0.101974	0.194517	0.121262	0.8106278	0.7413466
1700	-427.1432	-333.6248	-93.51839	9.459851	2.509752	0.05719994	-0.02575322	0.0706125	0.0310082	0.0407478	0.059072	0.00201772	0.0678347	0.129612	0.0392884	0.0458289	0.325883	0.0533632	0.0331367	0.0603651	0.0250039	0.0162263	0.3366127	7	12.20754	0.1257592	0.347379	0.700178	1.07874	1.87371	0.130249	0.316011	0.136687	0.0713819	0.182591	0.163081	0.3108595	1.082845
1800	-434.4918	-337.5243	-96.96753	10.78615	3.159644	0.07202885	0.03904948	0.0627628	0.0573232	0.0131123	0.0126253	0.0131163	0.00268878	0.0974539	0.0709358	0.0785058	0.11217	0.118278	0.208431	0.0570555	0.0348838	0.0606579	0.5714911	10	10.87753	0.1316454	0.401247	0.740001	1.0832	1.77555	0.249177	0.218018	0.164901	0.092757	0.124686	0.150461	0.6105405	0.9360411
1900	-434.8899	-335.5676	-99.32234	11.47678	2.792053	0.05803284	0.1107827	0.0679303	0.0369579	0.156437	0.100468	0.0130053	0.102202	0.0719175	0.0521263	0.0060585	0.113299	0.113047	0.0440807	0.0126201	0.0560462	0.0538053	0.7286055	9	13.41741	0.153936	0.372506	0.719323	1.08128	1.82689	0.187861	0.316622	0.13824	0.117979	0.102003	0.137295	0.8393882	0.8680197
2000	-436.4997	-330.2888	-106.2109	11.33334	4.659215	0.06282161	-0.02390767	0.0660921	0.0387029	0.140312	0.0507795	0.0243736	0.0162906	0.120688	0.0373354	0.0307662	0.192292	0.0470635	0.00417069	0.0161341	0.199274	0.0157249	0.485151	6	16.94684	0.1070015	0.487277	0.795308	1.08384	1.63357	0.167771	0.359256	0.10415	0.0753174	0.15391	0.139595	0.4612434	1.051833
2100	-432.2168	-336.5872	-95.62956	10.61485	3.292924	0.07718482	0.0476222	0.074962	0.0776474	0.0325794	0.0245756	0.0844717	0.00437585	0.0407387	0.103184	0.0115644	0.0179891	0.116396	0.118434	0.118105	0.0637316	0.111245	0.376008	8	10.74385	0.08995298	0.410726	0.746557	1.08362	1.75909	0.177247	0.367829	0.126606	0.100075	0.123416	0.104827	0.4236302	0.8875855
2200	-442.8545	-336.8771	-105.9774	10.89275	1.707452	0.08112018	-0.03878344	0.0745781	0.017679	0.0151485	0.0477612	0.0162424	0.0327668	0.0806195	0.140817	0.0453284	0.0383813	0.0633193	0.077307	0.0293432	0.241018	0.0796904	0.5301711	6	18.39018	0.09536095	0.255665	0.619801	1.06059	2.06394	0.214704	0.244391	0.151963	0.158277	0.101693	0.128972	0.4913877	1.078926
2300	-442.7745	-336.4027	-106.3718	12.41228	2.321365	0.07065168	0.2479084	0.0600801	0.0336025	0.097722	0.111515	0.0333353	0.0635565	0.0459489	0.0435063	0.00972885	0.206646	0.167027	0.0178335	0.0223433	0.0556193	0.031535	0.3296611	5	16.67243	0.07938964	0.328839	0.685347	1.07628	1.90953	0.224964	0.290902	0.14545	0.0799748	0.136351	0.122358	0.5775695	0.5707731
2400	-449.6692	-340.6354	-109.0338	8.892021	4.897026	0.08277778	0.1270131	0.0891853	0.0144409	0.00352113	0.0501177	0.0234096	0.0843672	0.0275396	0.058414	0.00100912	0.0359356	0.000870742	0.208776	0.0880597	0.22277	0.0915826	0.7403049	5	11.41968	0.05223079	0.497744	0.801451	1.08348	1.61733	0.144356	0.30509	0.125875	0.12984	0.156522	0.138318	0.867318	0.8535565
2500	-436.56	-334.6655	-101.8945	12.87045	2.937964	0.06214364	0.07275792	0.0673057	0.065785	0.155824	0.0186198	0.0214893	0.0426239	0.0974636	0.0687543	0.0803984	0.0854336	0.0383932	0.0895777	0.0631206	0.0792936	0.0259177	0.422957	8	13.76546	0.1106737	0.384405	0.728034	1.08219	1.80537	0.189395	0.330176	0.101254	0.0828902	0.163215	0.133069	0.495715	0.8532263
2600	-446.238	-339.8827	-106.3552	12.63496	2.718159	0.04264948	-0.02790288	0.0469517	0.021517	0.0556444	0.037325	0.0308069	0.0260305	0.0439145	0.094368	0.0685536	0.253405	0.00341709	0.0994319	0.08451	0.0997099	0.0344141	0.4161832	6	15.4366	0.08072735	0.36621	0.714624	1.08072	1.83845	0.208039	0.383971	0.0703374	0.140426	0.111603	0.0856243	0.3882803	1.071863
2700	-442.6129	-338.5078	-104.1051	12.80286	1.582717	0.04675629	0.09443054	0.0683462	0.016673	0.106786	0.0656621	0.00431779	0.019567	0.0209452	0.0626178	0.0706653	0.0296394	0.0857971	0.227057	0.130519	0.0798539	0.0115532	0.3058646	5	14.00037	0.0654334	0.237822	0.60177	1.05493	2.10548	0.165372	0.312813	0.194011	0.0695857	0.119721	0.138497	0.4002951	0.7640977
