Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-406.2594	-295.5374	-110.722	17.41998	1.894931	0.0501366	0.06866786	0.0703157	0.18103	0.00194734	0.0442769	0.00536862	0.0082082	0.195021	0.00477207	0.0865528	0.00348857	0.106156	0.0172853	0.0347292	0.224489	0.0163591	0.3091027	4	21.59384	0.1105524	0.280402	0.643355	1.06712	2.00912	0.197806	0.29605	0.136015	0.0828448	0.180068	0.107216	0.3777706	0.8182287
100	-396.3519	-305.4562	-90.89563	8.233255	2.48912	0.0640712	0.08560488	0.0510506	0.0779424	0.0168301	0.0254824	0.061438	0.0022748	0.13866	0.000848242	0.142775	0.0402427	0.0819988	0.000368236	0.1279	0.204749	0.0274389	0.3765098	6	11.35656	0.1565173	0.345423	0.698642	1.0785	1.87743	0.207017	0.271274	0.165113	0.0929451	0.184349	0.0793014	0.4621147	0.814754
200	-404.4827	-305.1336	-99.34905	15.20857	2.642522	0.03559507	0.01657184	0.0225101	0.0910158	0.0314227	0.0397803	0.0171036	0.00770691	0.107636	0.00454131	0.216062	4.73789e-05	0.131817	0.0729218	0.101428	0.15284	0.00316708	0.567354	6	15.70531	0.08937657	0.359566	0.709595	1.08008	1.85076	0.240519	0.366794	0.084083	0.0909158	0.130317	0.0873712	0.5839258	0.97162
300	-406.2376	-309.9208	-96.31683	11.49721	1.624797	0.07438397	-0.03580605	0.0348106	0.12666	0.036037	0.0187354	0.00776077	0.00371003	0.121437	0.0224322	0.254944	0.0243815	0.175041	0.0613803	0.0402124	0.0542171	0.0182394	0.52275	8	11.52567	0.1177705	0.243973	0.608092	1.05698	2.09095	0.190512	0.252266	0.140198	0.144703	0.18487	0.0874519	0.486944	1.073532
400	-407.727	-305.2772	-102.4498	13.08485	4.211949	0.0380384	-0.01364689	0.0396118	0.204805	0.0157727	0.0106683	0.0135699	0.00665338	0.0699766	0.0173409	0.109482	0.0511169	0.290075	0.025263	0.0897014	0.0244097	0.0315533	0.3622471	5	15.43675	0.1022342	0.46564	0.782234	1.08431	1.66781	0.191201	0.321597	0.103809	0.0701526	0.174303	0.138937	0.3486002	1.039148
500	-396.8028	-298.1112	-98.69158	13.54673	4.885286	0.06367564	0.07301721	0.0404566	0.189642	0.00621249	0.00523684	0.00720523	0.0115774	0.219908	0.0219794	0.148567	0.0586828	0.135871	0.0262683	0.0700401	0.0221042	0.0362488	0.4283955	6	13.64474	0.1425172	0.497242	0.801159	1.0835	1.6181	0.22795	0.275795	0.115866	0.0606455	0.220044	0.0996987	0.5014127	0.854377
600	-400.8337	-305.2441	-95.58956	8.982098	3.173317	0.0599114	-0.04281207	0.0709374	0.152155	0.0086736	0.0356286	0.0589707	0.0148338	0.242976	0.00443116	0.1252	0.0175014	0.098804	0.0155085	0.0546412	0.049883	0.049855	0.4503588	7	17.15052	0.1293846	0.402241	0.740694	1.08325	1.77382	0.193452	0.299146	0.134418	0.071151	0.20804	0.093792	0.4075467	1.105048
700	-402.5904	-316.477	-86.11344	9.310348	1.885861	0.1025357	0.04800623	0.00977943	0.170724	0.047507	0.0311987	0.00730428	0.000736125	0.142211	0.00658818	0.0706262	0.00644446	0.116639	0.0288125	0.0172946	0.251791	0.0923433	0.55286	9	9.686985	0.1919383	0.279258	0.6423	1.06685	2.01159	0.153454	0.361966	0.0700005	0.120173	0.211481	0.0829257	0.6008662	0.920105
800	-408.1177	-308.0975	-100.0201	10.60238	1.972653	0.05594702	-0.01254087	0.0472409	0.184854	0.0157754	0.100086	0.0523486	0.00537868	0.0704095	0.0146329	0.177051	0.0174614	0.10012	0.00600883	0.0453432	0.158909	0.00438109	0.4598726	9	15.61548	0.09691046	0.289988	0.652074	1.06929	1.98865	0.167293	0.357061	0.152977	0.0871217	0.159363	0.0761843	0.4473318	1.028035
900	-400.9055	-307.4437	-93.46183	7.750496	2.194162	0.09189338	0.2082375	0.0443616	0.131388	0.00707628	0.0417529	0.0192925	0.0175277	0.197409	0.00861679	0.14062	0.0211323	0.181323	0.00745846	0.0794732	0.0893726	0.0131945	0.4103047	8	12.10087	0.1958351	0.3154	0.67419	1.07417	1.93624	0.222254	0.313618	0.0846139	0.127921	0.136594	0.114999	0.6185422	0.6633415
