Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-436.7991	-336.1372	-100.6618	11.44863	3.608894	0.07636521	0.1657321	0.0761316	0.064196	0.0165663	0.0275756	0.0808009	0.0184664	0.0928885	0.00313588	0.0697794	0.0993482	0.200032	0.0229845	0.0334562	0.125862	0.0687764	0.4365053	10	16.18948	0.1168231	0.431495	0.760497	1.08423	1.72378	0.19771	0.341382	0.103037	0.104232	0.19162	0.0620183	0.6022374	0.7248061
1	0	-449.2034	-338.3843	-110.8191	16.06009	2.88766	0.05617886	0.03001135	0.142764	0.0607656	0.0781177	0.0461816	0.102383	0.0924027	0.110445	0.00388882	0.0262972	0.0338964	0.170591	0.0286441	0.0325724	0.0372181	0.0338327	0.3288019	7	17.21408	0.1076087	0.38038	0.725112	1.0819	1.81261	0.192672	0.208002	0.0945528	0.109503	0.235312	0.159959	0.3588133	0.9163594
2	0	-444.7499	-342.0007	-102.7493	12.53883	3.461297	0.0807252	-0.02041631	0.065034	0.0102983	0.0672837	0.084947	0.0426656	0.0415489	0.0980526	0.00816338	0.100919	0.074045	0.126138	0.0407503	0.129133	0.0284402	0.0825819	0.6013135	8	14.87756	0.111464	0.422074	0.754244	1.08401	1.73967	0.225489	0.358826	0.0843321	0.0832141	0.130599	0.11754	0.5808972	1.035146
3	0	-440.2872	-338.4263	-101.8609	12.51349	2.068126	0.1074171	0.2055574	0.0906889	0.00214215	0.00535594	0.0195389	0.0611416	0.0224797	0.0672217	0.00597582	0.076254	0.00472549	0.266113	0.0695033	0.0785331	0.225907	0.00441969	0.4287577	9	14.09916	0.07170799	0.301274	0.662068	1.0716	1.96505	0.279675	0.31107	0.0833642	0.111682	0.111936	0.102273	0.6343151	0.675938
4	0	-454.9933	-333.9829	-121.0104	19.76465	2.987466	0.09317518	0.01253096	0.112372	0.0885552	0.00117567	0.00823655	0.0880378	0.00889531	0.108608	0.00545693	0.0221461	0.0865537	0.216861	0.0371151	0.0911684	0.116785	0.00803357	0.5290987	6	21.11598	0.05462638	0.38829	0.730832	1.08245	1.79843	0.23158	0.308509	0.108867	0.0560757	0.189901	0.105067	0.5416297	0.9768643
5	0	-450.5246	-334.7745	-115.7501	17.81186	3.113362	0.07603367	-0.02140438	0.0975838	0.0393238	0.0408038	0.0821876	0.0031561	0.00330082	0.178468	0.00373198	0.136938	0.0118637	0.172224	0.0198432	0.0862599	0.0531486	0.0711673	0.4908835	6	18.18268	0.04178002	0.397846	0.737617	1.08302	1.78152	0.191918	0.262976	0.141392	0.0567935	0.233786	0.113135	0.4694791	1.045592
6	0	-449.8443	-343.6668	-106.1776	11.07034	2.464331	0.08994693	0.04370068	0.100302	0.0424153	0.00238037	0.0542359	0.0521852	0.000340943	0.113865	0.0144706	0.0556195	0.0815739	0.2487	0.029504	0.137546	0.065514	0.00134704	0.5146422	6	18.86444	0.1005836	0.343049	0.69677	1.07821	1.88197	0.251503	0.247397	0.139459	0.106785	0.112106	0.14275	0.5583429	0.9217315
7	0	-452.5369	-345.6094	-106.9275	11.11747	4.747927	0.1137779	-0.04681056	0.0364611	0.0431879	0.0266662	0.030007	0.0844307	0.0858883	0.0779355	0.0121188	0.0520967	0.111342	0.251818	0.00659113	0.0303086	0.132803	0.0183449	0.4994598	9	13.60069	0.1456727	0.491259	0.797659	1.08371	1.62737	0.195418	0.332714	0.0852384	0.0817011	0.160874	0.144054	0.4526492	1.103415
8	0	-450.9014	-345.3753	-105.5261	13.26158	3.245672	0.07968813	0.07748659	0.044344	0.0524093	0.0115867	0.0164156	0.105398	0.0197037	0.0739184	0.00681933	0.0121503	0.0132271	0.0489943	0.308003	0.0141528	0.111334	0.161544	0.3571025	7	19.94879	0.05199081	0.407418	0.744283	1.08349	1.76481	0.251922	0.331971	0.0848184	0.0905895	0.137708	0.102991	0.4345891	0.8217015
9	0	-453.8343	-337.2586	-116.5756	17.44873	4.557303	0.07692545	0.122472	0.128196	0.00549194	0.0045105	0.0833074	0.0536244	0.00876917	0.0744959	0.0091005	0.085066	0.00292313	0.180561	0.00782828	0.254221	0.0838181	0.0180867	0.3722718	8	19.33147	0.09536162	0.482583	0.792515	1.08398	1.64093	0.218784	0.30853	0.139546	0.0551289	0.146294	0.131717	0.4947439	0.7524536
