Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-360.4403	-308.2834	-52.15691	14.58247	2.714095	0.2419457	0.07491726	0.133922	0.0693556	0.175589	0.00403313	0.0365148	0.00221797	0.108633	0.00205955	0.0247439	0.0464036	0.160353	0.00491354	0.0347087	0.180795	0.0157568	0.2655736	3	17.00069	0.1114655	0.365859	0.71436	1.08069	1.83909	0.20468	0.22252	0.111028	0.093626	0.194513	0.173632	0.3404909	0.7799728
1	0	-351.43	-306.1399	-45.29009	9.065604	6.699982	0.2551807	0.1344404	0.146261	0.0442873	0.00737746	0.0276043	0.0144782	0.00848423	0.239341	0.000489654	0.0637356	0.143834	0.158029	0.0287053	0.00925693	0.0705018	0.0376148	0.25604	3	9.316479	0.1121974	0.560316	0.835901	1.07965	1.52413	0.245948	0.247359	0.109028	0.0566473	0.195939	0.145079	0.3904804	0.6557051
2	0	-353.2479	-312.8875	-40.36034	9.190182	2.550098	0.1998161	0.01763058	0.109891	0.119093	0.0116552	0.0301792	0.0317609	0.0123866	0.0849656	0.0116155	0.143896	0.110914	0.208977	0.00219144	0.0994048	0.017492	0.00557779	0.2073527	2	9.619153	0.09378705	0.351155	0.703123	1.07917	1.86655	0.220928	0.251724	0.0863366	0.0853589	0.195428	0.160224	0.2249833	0.9216361
3	0	-364.6583	-319.7016	-44.9567	9.995158	3.747963	0.1574515	0.05544668	0.0791894	0.0315648	0.0306764	0.0849592	0.036872	0.0186949	0.0887376	0.0247708	0.0819052	0.00651842	0.191736	0.104404	0.0654301	0.105494	0.0490475	0.4015835	1	11.8741	0.07494377	0.439957	0.766016	1.08435	1.70968	0.295353	0.358154	0.0898976	0.0472366	0.125768	0.0835906	0.4570302	0.8786805
4	0	-359.585	-314.1557	-45.42926	9.028928	2.083493	0.3761251	-0.009821772	0.0978504	0.101221	0.0838977	0.0242906	0.0933095	0.0247958	0.0642462	0.0105972	0.125029	0.0717574	0.268954	0.0229355	0.00568199	0.00491199	0.000522011	0.1905355	2	14.33902	0.1388031	0.303042	0.663608	1.07195	1.96141	0.245504	0.296419	0.114312	0.108854	0.105373	0.129538	0.1807138	1.05435
5	0	-363.6355	-317.5047	-46.13086	8.112303	3.350229	0.427945	0.0990297	0.0250495	0.00943819	0.00558067	0.00266215	0.0447595	0.00243445	0.0665123	0.00231948	0.0556053	0.137619	0.33341	0.0697275	0.081091	0.0697475	0.0940435	0.1647649	4	13.7146	0.1782564	0.414664	0.749244	1.08377	1.75232	0.207101	0.327823	0.114843	0.0999021	0.175091	0.0752404	0.2637946	0.6245955
6	0	-366.8098	-319.5571	-47.25269	13.50829	1.724282	0.23774	0.08038777	0.0986661	0.0457106	0.00395841	0.00177877	0.0170542	0.0267626	0.129951	0.0113086	0.186569	0.0463626	0.279653	0.0563016	0.0609113	0.0199001	0.0151125	0.1384044	2	14.28652	0.1046035	0.257984	0.622078	1.06127	2.05867	0.300867	0.315054	0.104225	0.0432108	0.115175	0.121468	0.2187922	0.6325839
7	0	-351.0313	-306.6707	-44.36065	8.512731	3.525093	0.331604	0.14273	0.10165	0.0684279	0.018992	0.0267979	0.0524737	0.00859932	0.0687082	0.0103672	0.107474	0.0306725	0.345698	0.0535242	0.0295161	0.0557628	0.0213355	0.2636842	4	11.15151	0.1694962	0.426204	0.757	1.08411	1.73268	0.233688	0.290832	0.12079	0.0879505	0.187643	0.0790965	0.4064141	0.6488066
8	0	-360.6475	-310.5495	-50.09794	9.0025	7.933565	0.1969418	-0.05457861	0.0903403	0.00720654	0.00667383	0.0151678	0.0189991	0.063374	0.0456179	5.97753e-05	0.177814	0.102616	0.19608	0.0526547	0.0338057	0.181222	0.00836874	0.2046198	1	16.52492	0.1138951	0.59156	0.851772	1.07679	1.47987	0.227766	0.284356	0.103304	0.0874661	0.23104	0.0660684	0.1500412	1.363757
9	0	-354.7644	-311.6198	-43.14461	8.442728	3.727589	0.2015494	0.1189566	0.121407	0.0813838	0.0147858	0.0709019	0.0370848	0.0275655	0.0779564	0.00304981	0.106766	0.0387179	0.19383	0.0819546	0.0370569	0.0780817	0.0294577	0.1613202	2	12.15962	0.1865506	0.438741	0.765229	1.08433	1.7117	0.232914	0.286518	0.105481	0.0767368	0.187104	0.111246	0.2802768	0.5755746
