Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-391.2885	-256.855	-134.4335	2.074394	4.715506	0.0178229	0.08684364	0.0554568	0.0775844	0.131587	0.00118125	0.18064	0.0384676	0.0354031	0.0127546	0.121966	0.042255	0.00501809	0.0628981	0.00384808	0.228405	0.0025353	0.2233657	8	54.66198	0.05066333	0.489815	0.796808	1.08376	1.62962	0.140609	0.205717	0.13083	0.0627069	0.402124	0.0580135	0.3102093	0.7200483
100	-392.7175	-264.4032	-128.3143	3.189139	2.686442	0.0340802	-0.004027493	0.0379493	0.0398811	0.0452903	0.00738915	0.170984	0.107127	0.0550889	0.0505636	0.168679	0.0520704	0.010921	0.0771432	0.00257665	0.0625579	0.111779	0.3687306	7	50.42349	0.0277945	0.363449	0.712543	1.08046	1.84355	0.204393	0.265259	0.121674	0.073325	0.282505	0.0528445	0.3647031	1.011043
200	-393.7014	-263.2199	-130.4815	5.094606	4.434712	0.02074729	0.04080678	0.0116286	0.0407463	0.105527	0.00254141	0.0286744	0.111022	0.0434678	0.0645371	0.0991205	0.0229315	0.00130943	0.277192	0.0384831	0.121374	0.031444	0.2422851	8	50.65966	0.06006762	0.476758	0.789017	1.08412	1.65011	0.212697	0.31958	0.149395	0.079108	0.169633	0.0695871	0.2830919	0.8558532
300	-371.501	-251.3577	-120.1433	5.380268	4.730929	0.02205781	-0.008736837	0.075206	0.0307822	0.139034	0.00402012	0.0391031	0.223001	0.0703455	0.0429915	0.0977622	0.00148326	0.000573107	0.13114	0.00824974	0.117846	0.0184628	0.368094	9	52.07547	0.05054814	0.490503	0.797214	1.08374	1.62855	0.191839	0.195561	0.128254	0.0726149	0.333567	0.0781639	0.3593572	1.024312
400	-384.2066	-259.6691	-124.5375	3.160993	5.981901	0.02303668	-0.0347557	0.055191	0.0554453	0.161777	0.000115189	0.0290172	0.0861017	0.109068	0.0291678	0.0637126	0.097816	0.00991549	0.211642	0.0572579	0.0130209	0.0207516	0.4508207	8	51.38366	0.06605068	0.538369	0.82424	1.0813	1.55609	0.179875	0.236895	0.129248	0.107727	0.293532	0.0527226	0.416065	1.083534
500	-383.9689	-262.4978	-121.4711	5.484217	5.219394	0.03610301	-0.04797259	0.0243937	0.0351791	0.158416	0.0523768	0.0243807	0.0379124	0.112168	0.0292471	0.0064925	0.121785	0.0147299	0.135212	0.0321815	0.213564	0.00196165	0.4268716	9	54.06299	0.08381916	0.510942	0.809034	1.0829	1.59712	0.172108	0.279123	0.153702	0.0937575	0.196536	0.104773	0.378899	1.12661
600	-390.0631	-263.2085	-126.8546	6.780516	1.623731	0.01921834	-0.03650203	0.0301234	0.0230302	0.169753	0.0100604	0.104703	0.113242	0.0230821	0.0126199	0.0584745	0.158208	0.0388025	0.134403	0.0466948	0.0664093	0.010395	0.4576936	4	53.0261	0.0505476	0.243819	0.607935	1.05693	2.09132	0.149182	0.241491	0.19577	0.068441	0.306577	0.0385373	0.4211915	1.086664
700	-387.1217	-257.291	-129.8307	10.75057	4.724171	0.01414032	0.02360292	0.043687	0.06301	0.121947	0.00499345	0.0075391	0.0664271	0.0831816	0.046249	0.137848	0.00316013	9.21391e-05	0.130308	0.0117736	0.235678	0.0441046	0.4456544	7	57.84121	0.07140181	0.490202	0.797036	1.08375	1.62901	0.152696	0.186343	0.154331	0.0753315	0.383804	0.0474944	0.4692573	0.9497015
800	-373.6712	-251.9904	-121.6808	6.26734	1.591259	0.01665189	0.01612413	0.0390063	0.0121609	0.129745	0.000988095	0.0490714	0.104079	0.0488835	0.0267909	0.0324361	0.0159339	0.000296516	0.406054	0.000404433	0.128274	0.00587472	0.4138323	7	51.60251	0.05675897	0.239082	0.603074	1.05536	2.10248	0.176219	0.183729	0.122501	0.0729733	0.409449	0.0351295	0.4299565	0.9624982
900	-378.3141	-253.4671	-124.8469	3.084378	2.936921	0.02351815	-0.03057468	0.0586969	0.0319599	0.10379	0.00225004	0.0409702	0.0934503	0.156295	0.016645	0.0815411	0.170643	0.0146381	0.103781	0.0276031	0.082549	0.0151866	0.3324879	10	54.21302	0.07157863	0.384322	0.727975	1.08219	1.80552	0.227531	0.164016	0.0864961	0.0984461	0.393656	0.0298541	0.3019132	1.10127
1000	-383.7813	-261.2208	-122.5605	7.040804	4.436483	0.02630835	0.02426632	0.0460278	0.0348396	0.111676	0.0111986	0.00280902	0.0772363	0.00644417	0.0822657	0.0229103	0.019764	0.0270744	0.182638	0.0288225	0.33263	0.0136643	0.3883471	10	50.66771	0.06163194	0.476843	0.789068	1.08412	1.64997	0.142353	0.2567	0.102544	0.0886243	0.355369	0.0544097	0.4126135	0.9411887
1100	-382.744	-258.6975	-124.0466	4.552093	4.316889	0.01434069	0.01537143	0.0676155	0.0549925	0.111496	0.00541071	0.0531659	0.0732581	0.163339	0.00350599	0.0393021	0.181404	0.0158881	0.0435386	0.00522518	0.165459	0.0163994	0.3601231	9	50.29023	0.09919012	0.470966	0.785501	1.08423	1.6593	0.0930999	0.246902	0.119939	0.0740985	0.41823	0.0477299	0.3754945	0.9590635
1200	-386.4086	-265.228	-121.1806	2.99884	4.473596	0.01733241	-0.01510301	0.0429937	0.0498638	0.185563	0.00736755	0.155718	0.0888935	0.0507467	0.0877799	0.0837856	0.0669577	0.000851788	0.0191411	0.0130697	0.0958904	0.0513779	0.4090594	6	51.1668	0.07595757	0.478627	0.790143	1.08408	1.64715	0.149377	0.236859	0.101608	0.0862449	0.353343	0.0725684	0.3939564	1.038337
1300	-378.6412	-258.4407	-120.2005	3.477304	5.258312	0.02919448	0.09065852	0.0204718	0.0221971	0.143891	0.00472323	0.0931859	0.0625014	0.0959243	0.0398334	0.105505	0.0907037	0.0139771	0.211044	0.00426344	0.0878436	0.00393562	0.4495824	5	52.64315	0.04585735	0.512465	0.809897	1.08282	1.59481	0.248527	0.211474	0.135438	0.0899598	0.277633	0.0369683	0.5402409	0.8321887
1400	-389.5625	-260.6495	-128.9129	4.122763	4.977043	0.02392816	-0.0002015872	0.0614591	0.0196492	0.100318	0.0117454	0.129824	0.0433567	0.163286	0.0221793	0.180238	0.0838961	0.015765	0.140374	0.01244	0.0051163	0.0103522	0.4969676	6	52.44599	0.04125905	0.501121	0.803408	1.08334	1.61213	0.249882	0.163107	0.160741	0.0974083	0.284109	0.044753	0.496766	1.000406
1500	-379.8938	-257.6351	-122.2587	6.927831	2.323705	0.0385183	0.006062795	0.0555396	0.00502059	0.139718	0.0024875	0.0568663	0.117375	0.068399	0.0725396	0.134267	0.126247	0.0310288	0.105989	0.0239546	0.0538769	0.0066911	0.4144375	11	54.75455	0.04974454	0.329079	0.685543	1.07632	1.90906	0.182245	0.182773	0.179177	0.0753501	0.319921	0.0605344	0.4205003	0.9855819
1600	-377.6029	-263.0517	-114.5512	5.331666	2.231814	0.02440382	0.06505057	0.0583039	0.0680966	0.205693	0.00352632	0.0725613	0.0974124	0.0225258	0.0360024	0.0153801	0.0790694	0.0370194	0.184218	0.00362768	0.106503	0.0100609	0.3414302	9	51.81573	0.08614321	0.31946	0.677599	1.07484	1.9281	0.185589	0.192719	0.174297	0.144265	0.256595	0.0465346	0.4064808	0.8399664
1700	-389.9039	-268.7857	-121.1183	2.72287	2.569356	0.02085648	0.02298332	0.0540691	0.0992292	0.106549	0.00111823	0.105444	0.151413	0.0786047	0.0201292	0.034845	0.0439224	0.0311714	0.0721061	0.0150764	0.180125	0.0061966	0.402304	8	51.78503	0.04080257	0.352935	0.704503	1.07937	1.86319	0.145874	0.224157	0.0861682	0.17404	0.328839	0.0409213	0.4252873	0.9459581
1800	-394.1826	-262.3481	-131.8346	3.437994	3.413766	0.01764354	-0.0305142	0.0623955	0.0544039	0.232773	0.00672726	0.150712	0.0752756	0.0371669	0.0333534	0.0377311	0.020681	0.00958624	0.142477	0.0106363	0.125382	0.000698043	0.3714189	4	53.03048	0.05015337	0.418938	0.752137	1.08392	1.74501	0.153563	0.265494	0.0631065	0.104778	0.349168	0.0638922	0.3409047	1.089509
1900	-390.5512	-258.107	-132.4441	7.129092	4.779109	0.0242759	-0.03521848	0.0218864	0.0762074	0.0602634	0.0101712	0.0609655	0.0393171	0.0485874	0.0066431	0.0571574	0.0707175	0.0114766	0.233681	0.0479668	0.224416	0.0305423	0.4981324	11	55.9041	0.0275351	0.492636	0.798468	1.08366	1.62523	0.211854	0.192087	0.0874072	0.149678	0.32098	0.0379931	0.4629139	1.07608
2000	-378.3139	-254.8074	-123.5065	2.971824	2.01192	0.01581849	0.07298201	0.0414546	0.000574971	0.0994018	0.00242733	0.0671797	0.10898	0.0512315	0.0183191	0.0129506	0.126684	0.0115642	0.322679	0.0193101	0.0924658	0.0247763	0.3375057	9	50.7957	0.04909378	0.294694	0.656275	1.07029	1.97875	0.21505	0.186238	0.110013	0.0763468	0.389425	0.0229271	0.4104877	0.8222066
2100	-390.3754	-260.1138	-130.2616	8.577039	3.082375	0.02162389	-0.09790667	0.0953527	0.0484352	0.0756093	0.00237915	0.0791163	0.102495	0.0977753	0.0129765	0.0433713	0.103372	0.00319184	0.204179	0.0375739	0.0875393	0.00663349	0.3556273	7	63.6318	0.06995057	0.395536	0.735989	1.08289	1.78558	0.101286	0.224455	0.110176	0.116996	0.361066	0.0860216	0.2577206	1.379895
