Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-297.7966	-258.6203	-39.17632	0.8275867	4.428869	0.0131105	0.066102	0.0175301	0.0172915	0.0913192	0.240853	0.0712627	0.37273	0.00947658	0.325476	0.0315509	0.0673954	0.0156426	0.218844	0.00807538	0.133941	0.0127562	0.0213383	0.00472328	0.0213272	0.558947	0.000578377	0.0187602	0.0215909	0.0346865	0.490836	0.0435097	0.0138018	0.46556	0.0871847	0.386905	0.153364	0.0172247	0.0217145	0.650058	0.0359769	0.03002	0.061762	0.03218	0.127696	0.0348955	0.427758	0.0674138	0.0922028	0.00185912	0.158091	0.00674876	0.123748	0.1234841	-0.02417439	0.0338597	0.0315151	0.0822372	0.00496717	0.067093	0.0506874	0.0466374	0.0388388	0.00587953	0.00298452	0.00195982	0.275493	0.00592751	0.246826	0.105094	0.6703383	11	17.02136	0.1313061	0.476475	0.788846	1.08412	1.65055	0.149651	0.269183	0.134027	0.105572	0.251162	0.0904046	0.6461639	1.037412
100	-294.886	-256.8502	-38.03572	1.054128	3.250759	0.260753	0.0208744	0.0460248	0.0369704	0.00535486	0.0865393	0.140983	0.243576	0.0495294	0.136682	0.0941234	0.0952914	0.0401893	0.310308	0.0276308	0.0574613	0.0698153	0.0102068	0.0792356	0.00533519	0.0222587	0.204381	0.0045645	0.383597	0.0141917	0.24838	0.0210455	0.0767308	0.112079	0.0110268	0.461111	0.0714174	0.0769102	0.00548058	0.346386	0.0580249	0.0733307	0.111407	0.0783145	0.0178237	0.47602	0.476238	0.00761051	0.0492206	0.0198982	0.129638	0.100568	0.0234709	0.1096831	-0.01465412	0.021346	0.0231243	0.118988	1.32846e-05	0.0309011	0.0167015	0.0977642	0.0228648	0.0699399	0.0894527	0.0233399	0.369962	0.0279617	0.0502614	0.0373789	0.4860873	6	18.95593	0.1273648	0.407777	0.74453	1.0835	1.76419	0.150608	0.187853	0.172747	0.0618292	0.333593	0.0933699	0.4714331	1.031084
200	-290.2183	-253.2475	-36.97082	2.039553	4.880186	0.473522	0.00823111	0.120243	0.0257449	0.00543567	0.0257444	0.581056	0.113113	0.202899	0.296122	0.211976	0.153545	0.0596548	0.11821	0.0108513	0.00280475	0.0144156	0.0103968	0.120739	0.0157522	0.00772801	0.0174805	0.386523	0.417888	0.0104717	0.0288289	0.0279724	0.00732062	0.383829	0.152984	0.192114	0.143585	0.0153168	0.0308303	0.0930469	0.0114473	0.670863	0.051659	0.000776835	0.0100188	0.00150126	0.215425	0.108417	0.0753523	0.000993858	0.1121	0.0515704	0.0271664	0.1163398	-0.07368613	0.135447	0.00943628	0.193474	0.0324414	0.0572553	0.0332603	0.0271767	0.0396786	0.0446677	0.108586	0.0146962	0.0820887	0.0293005	0.0968963	0.0955948	0.6124663	10	17.34176	0.1446579	0.497024	0.801032	1.0835	1.61844	0.193401	0.157685	0.22158	0.130705	0.233547	0.0630821	0.5387801	1.136765
300	-285.3917	-260.5479	-24.8438	2.134718	5.570031	0.0837972	0.0831821	0.216	0.145184	0.0906739	0.00775806	0.0230774	0.00761845	0.275021	0.0173144	0.0204896	0.000337664	0.0638271	0.0282116	0.0759974	0.0315035	0.0164672	0.0289609	0.00737982	0.00229524	0.150844	0.0208517	0.0180735	0.0361838	0.00198527	0.0197135	0.0841001	0.229817	0.114588	0.246394	0.0473616	4.51144e-05	0.0173976	0.00712245	0.103339	0.376189	0.0574535	0.0244714	0.0797855	0.24931	0.0242632	0.0441764	0.0818094	0.0250978	0.0211207	0.0460816	0.00414067	0.51099	0.09363092	0.0115775	0.0216587	0.00488615	0.122743	0.0219529	0.0671293	0.0533424	0.0131175	0.0283589	0.104967	0.207364	0.0352023	0.0805859	0.140249	0.0467261	0.0517182	0.4717631	9	20.51763	0.1274121	0.524158	0.816452	1.08219	1.5772	0.153182	0.243822	0.131609	0.169458	0.228796	0.0731321	0.4833406	0.9760469
400	-279.4958	-252.6483	-26.84755	2.100699	2.765696	0.00741717	0.249244	0.18983	0.0154894	0.0165141	0.0378998	0.0329081	0.202467	0.130741	0.168649	0.222139	0.0809486	0.0366094	0.0339922	0.115918	0.0138052	0.0922302	0.0257912	0.0754284	0.0118487	0.0111825	0.0197929	0.11561	0.233717	0.0095764	0.179771	0.139258	0.0407753	0.00627694	0.0823673	0.0476221	0.00741027	0.162792	0.157185	0.0243465	0.0400334	0.00777607	0.658491	0.00623644	0.117938	0.130345	0.333366	0.270455	0.0158716	0.00326463	0.194829	0.053157	0.0108087	0.09688245	0.04616496	0.0460633	0.000463491	0.138764	0.0328146	0.0677977	0.0408355	0.0285912	0.094464	0.140901	0.117211	0.0109768	0.0603457	0.0161813	0.144738	0.059852	0.4926705	11	15.54512	0.1917091	0.370282	0.717671	1.08109	1.83096	0.188737	0.200929	0.182325	0.13895	0.224292	0.0647666	0.5388355	0.9143246
500	-273.1911	-257.9873	-15.20384	1.299466	3.716393	0.0273484	0.146025	0.0343885	0.0337914	0.0746625	0.0104564	0.0252665	0.0307864	0.232345	0.00628851	0.0359355	0.0017012	0.0795753	0.151681	0.0646292	0.00470476	0.0226587	0.0465949	0.0120413	0.108727	0.00521868	0.0312349	0.0240506	0.0229777	0.0178086	0.00602104	0.0766888	0.19229	0.0370754	0.0387701	0.0417402	0.00796962	0.00271105	0.0334302	0.111805	0.301335	0.00262904	0.0393592	0.0141134	0.0795512	0.0510077	0.110611	0.0117627	0.0769377	0.0126549	0.016663	0.191878	0.0810828	0.03862428	-0.002761842	0.0934007	0.0836371	0.132747	0.00332299	0.0860461	0.0384881	0.0621408	0.0203423	0.0627383	0.0411013	0.00934798	0.16398	0.0794322	0.0857393	0.0375358	0.6954127	8	22.93934	0.1540063	0.43807	0.764793	1.08433	1.71281	0.121006	0.210119	0.113364	0.124373	0.340452	0.0906862	0.6926508	1.003987
600	-295.2796	-268.3763	-26.90332	1.919948	1.750071	0.0118456	0.070587	0.0537737	0.0112977	7.7218e-05	0.00973948	0.000914994	0.273167	0.0568754	0.129031	0.221991	0.145705	0.137104	0.043395	0.0378456	0.0749187	0.000400349	0.110415	0.255646	0.0168449	0.094016	0.0508742	0.0080117	0.0861602	0.0488415	0.0639806	0.0285421	0.0410838	0.0569427	0.120868	0.0608072	0.00834533	0.309097	0.0446803	0.0202475	0.0561822	0.00571576	0.446304	0.154605	0.0250113	0.304972	0.247868	0.0265372	0.0959872	0.0161707	0.153874	0.0664597	0.0994886	0.08451933	0.249186	0.0380803	0.00547296	0.144161	0.0385473	0.0200862	0.0382714	0.0788646	0.0529843	0.0832002	0.164613	0.0285675	0.0558764	0.0872432	0.0662473	0.0977841	0.5819213	10	19.56636	0.08929035	0.261499	0.625501	1.06226	2.05074	0.13042	0.335375	0.130528	0.0967321	0.234315	0.0726301	0.8311072	0.7001759
700	-299.5533	-258.3515	-41.20181	0.761664	4.195518	0.146057	0.0451391	0.242921	0.0898332	0.169174	0.0258631	0.00664386	0.0314281	0.461649	0.0454406	0.0941446	0.613448	0.166518	0.149493	0.0307221	0.0864456	0.0180101	0.300028	0.0804155	0.00974703	0.270549	0.357304	0.0576661	0.0155171	0.0286117	0.000847767	0.0874267	0.170489	0.122447	0.0398427	0.1051	0.0263804	0.0253947	0.0476562	0.000169343	0.381421	0.0170803	0.170801	0.026458	0.0259854	0.023093	0.38282	0.0403731	0.0154934	0.0521358	0.00771943	0.157859	0.917904	0.121622	-0.02126114	0.0228963	0.00567299	0.101673	0.0526273	0.12041	0.00239648	0.0468302	0.043308	0.0769731	0.102672	0.00314613	0.131277	0.138514	0.0326815	0.118921	0.5826115	9	15.73864	0.1432386	0.464791	0.78171	1.08432	1.66918	0.230413	0.227359	0.246116	0.0860829	0.136893	0.0731362	0.5613504	1.037875
800	-284.4587	-257.6167	-26.842	1.217602	3.615883	0.0145444	0.0620705	0.0593634	0.00538563	0.0067841	0.0850333	0.0331496	0.148192	0.00418071	0.184037	0.0206149	0.17696	0.235054	0.728421	0.0644287	0.032893	0.0382299	0.0721643	0.0830758	0.0392899	0.00167048	0.304915	0.0114344	0.122371	0.0232946	0.00863817	0.00308222	0.0877046	0.115206	0.141798	0.289857	0.104065	0.000227816	0.0503576	0.100934	0.0171165	0.203487	0.0837731	0.0104411	0.010044	0.0923477	0.714919	0.00199174	0.0148688	0.0209707	0.13654	0.0600291	0.00218596	0.1103894	0.1614061	0.0550991	0.0180347	0.188959	0.0314266	0.133784	0.0325366	0.18015	0.0589529	0.00565137	0.0888357	0.0517516	0.0489873	0.0016419	0.103632	0.000558345	0.4581568	9	14.26601	0.1397389	0.43193	0.760782	1.08423	1.72305	0.214481	0.226978	0.171495	0.0817916	0.205672	0.0995831	0.6195629	0.7394839
900	-269.9395	-250.7461	-19.19343	1.572498	3.135527	0.0597705	0.14674	0.0926101	0.0149472	0.0115956	0.164269	0.00918288	0.219539	0.0215138	0.161204	0.0564274	0.023206	0.0595194	0.184554	0.00993905	0.0197517	0.0260356	0.0123356	0.043993	4.98935e-05	0.00677799	0.106409	0.0903714	0.0742834	0.0997182	0.004853	0.00177722	0.0348063	0.11979	0.0274369	0.183253	0.0476368	0.0609846	0.0454114	0.230431	0.0800115	0.138281	0.071019	0.0877827	0.0215727	0.00126522	0.274861	0.0296576	0.00444775	0.044151	0.00144441	0.000545296	0.0527988	0.09385617	-0.02028586	0.0336688	0.000437089	0.258807	0.0168361	0.0449039	0.0970577	0.13449	0.0580635	0.0466929	0.0691681	0.0327111	0.10016	0.0107195	0.0942298	0.00205361	0.4493822	9	20.62977	0.122797	0.399482	0.738766	1.08311	1.77864	0.191585	0.235617	0.147422	0.0901107	0.278169	0.057097	0.4290963	1.047276
