Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-270.5752	-241.2714	-29.3038	6.140641	2.531078	0.187007	0.00518973	0.136138	0.0653806	0.480664	0.0895166	0.00961634	0.0324389	0.920706	0.346061	0.44895	0.153733	0.00631547	0.104328	0.328251	0.0933785	0.2087452	0.003176601	0.199574	0.00349343	0.173184	0.00701429	0.0361363	0.0268593	0.0172284	0.0510876	0.0849564	0.0685056	0.0262352	0.0972664	0.0901277	0.0711478	0.0471837	0.09008164	1	51.20691	0.03723687	0.349383	0.701744	1.07897	1.8699	0.201665	0.307651	0.152543	0.107847	0.180764	0.0495297	0.09325824	0.9659376
100	-259.5284	-239.6902	-19.83815	4.160785	3.018116	0.0681798	0.0010721	0.0899862	0.28786	0.0618889	0.102402	0.032688	0.450154	0.586902	0.197569	0.0297048	0.0457875	0.096964	0.142409	0.00240566	0.0897619	0.1604783	-0.01000904	0.0271609	0.0111421	0.346759	0.00907823	0.156425	0.0423634	0.0797158	0.014614	0.0190053	0.0926791	0.0476781	0.102064	0.0164689	0.0323277	0.0025185	0.1524632	1	50.74028	0.04828362	0.390659	0.732526	1.0826	1.79421	0.247735	0.256293	0.127829	0.104188	0.207747	0.0562076	0.1424542	1.070261
200	-268.2302	-248.3612	-19.86903	6.796892	2.778741	0.0356845	0.00733255	0.355325	0.0490588	0.017125	0.0865768	0.0475149	0.00954045	0.0814354	0.0210497	0.00875701	0.11609	0.0569431	0.00855403	0.467615	0.199127	0.1239172	0.009765784	0.0358625	0.00620187	0.20853	0.00670677	0.118425	0.00501145	0.0937174	0.134303	0.132363	0.062851	0.0177954	0.0524409	0.0002857	0.117174	0.00833185	0.123348	2	59.76213	0.01508057	0.371386	0.718492	1.08118	1.82894	0.175451	0.213417	0.278595	0.0844626	0.209917	0.0381569	0.1331138	0.9266358
300	-265.4182	-242.289	-23.12922	0.8583857	3.260129	0.176264	0.0543648	0.320883	0.119564	0.145957	0.410263	0.255885	0.246442	0.0761948	0.0444024	0.227698	0.050179	0.372445	0.292144	0.0207884	0.0259668	0.1252063	-0.03715805	0.0859203	0.00444158	0.151087	0.0196615	0.0168869	0.0604039	0.0530449	0.0188562	0.0892107	0.200969	0.00810687	0.0576345	0.0500181	0.127468	0.056291	0.2074609	2	55.86054	0.02097992	0.408436	0.744984	1.08353	1.76305	0.223681	0.247727	0.120364	0.0587089	0.277859	0.0716609	0.1703029	1.218188
400	-268.8883	-244.1455	-24.74275	1.219503	1.768598	0.651696	0.0293203	0.124807	0.220545	0.0551649	0.323512	0.0705896	0.155616	0.0740092	0.0461054	0.385678	0.0360285	0.156091	0.170717	0.27908	0.311247	0.1211376	-0.0429123	0.12785	0.0110924	0.117735	0.0197664	0.0574507	0.0313831	0.0430691	0.0334693	0.0171589	0.0277133	0.0208914	0.238641	0.114318	0.042876	0.0965854	0.2711967	2	51.28088	0.02544048	0.263996	0.627912	1.06295	2.04514	0.17555	0.175799	0.175743	0.137478	0.23114	0.10429	0.2282844	1.187977
500	-263.454	-243.242	-20.21208	3.961824	3.048581	0.0219588	0.0121286	0.0351279	0.142845	0.0326135	0.206138	0.0536131	0.0447398	0.229203	0.043543	0.0705703	0.125838	0.00987467	0.00835456	0.120097	0.0320888	0.09778291	-0.008803513	0.0497325	0.0256021	0.136558	0.00874103	0.158361	0.0180689	0.0485076	0.0527289	0.0550734	0.0800787	0.0189883	0.181583	0.0717547	0.0627187	0.0315034	0.1808662	1	59.18391	0.0562017	0.392986	0.734183	1.08275	1.79009	0.177744	0.239295	0.171697	0.10447	0.248882	0.0579119	0.1720627	1.051165
600	-265.5358	-241.2285	-24.30722	1.345933	7.17581	0.0842981	0.00927211	0.334396	0.162471	0.034327	0.260192	0.0981093	0.0611284	0.0710137	0.0454449	0.521399	0.153169	0.137765	0.050292	0.141917	0.0728352	0.1222971	0.03626387	0.0737153	0.0330706	0.0980848	0.0418061	0.0154452	0.0222903	0.0211421	0.0564397	0.078375	0.0380273	0.0197078	0.221546	0.0477761	0.16266	0.0699131	0.2217342	1	55.61714	0.04907633	0.573215	0.842554	1.07854	1.50569	0.253033	0.263088	0.133281	0.109035	0.184843	0.0567215	0.257998	0.8594413
700	-273.8243	-240.6619	-33.16233	0.9602613	7.140735	0.178026	0.0460768	0.218204	0.137004	0.297619	0.592876	0.0283326	0.318106	0.0770664	0.218097	0.322452	0.0597224	0.160089	0.456601	0.339192	0.0583222	0.2801515	0.001080238	0.0701322	0.00237817	0.0879527	0.00780676	0.0489599	0.0183138	0.0322101	0.0127529	0.21951	0.0845641	0.0149977	0.336782	0.0459757	0.00759481	0.0100687	0.1551047	2	58.7438	0.03461927	0.572303	0.842088	1.07863	1.50698	0.18526	0.190443	0.14905	0.161688	0.285714	0.0278444	0.1561849	0.9930836
800	-273.855	-252.144	-21.71093	2.182634	1.288766	0.0639904	0.0395659	0.298713	0.0243897	0.0693387	0.350131	0.139207	0.260252	0.00539504	0.163925	0.121932	0.210774	0.176441	0.171319	0.105786	0.101909	0.0951757	0.03480929	0.0238631	0.0259316	0.039208	0.200698	0.00153664	0.00515569	0.011783	0.10274	0.00838328	0.179479	0.0350939	0.0139586	0.00498113	0.231294	0.115894	0.09933964	1	73.37418	0.03458517	0.190772	0.549153	1.03517	2.22491	0.235276	0.235204	0.184427	0.0605386	0.158001	0.126554	0.1341489	0.7405176
900	-262.4845	-247.7645	-14.72006	1.615449	2.023094	0.00505154	0.0174373	0.264902	0.229039	0.0543707	0.29813	0.0932236	0.0117755	0.00379897	0.0119686	0.0734614	0.0661132	0.0275892	0.0912215	0.0350365	0.0057119	0.07566712	0.009467843	0.0600048	0.0338499	0.164642	0.00986758	0.078685	0.0555549	0.030168	0.0513077	0.162001	0.0535456	0.022515	0.0734965	0.167708	0.00266147	0.0339928	0.09964872	2	62.30565	0.03207074	0.296016	0.657447	1.07056	1.97598	0.235554	0.230512	0.0730005	0.156088	0.261514	0.0433304	0.1091166	0.9132318
1000	-267.1786	-241.4672	-25.71137	6.537555	1.751808	0.0409419	0.0360601	0.245561	0.110473	0.105936	0.0221143	0.0165899	0.0490042	0.42559	0.0854398	0.619678	0.550926	0.0128051	0.112849	0.232102	0.228471	0.1820166	-0.03303427	0.0337228	0.0220226	0.0850201	0.000451724	0.24805	0.0550871	0.118733	0.015656	0.0935131	0.064972	0.00699827	0.120622	0.0159132	0.0869219	0.0323156	0.1820282	2	67.5303	0.02118399	0.261734	0.625729	1.06233	2.05021	0.144248	0.209485	0.160487	0.08841	0.345158	0.0522115	0.1489939	1.221716
1100	-269.6773	-246.7432	-22.93412	2.493477	4.218372	0.00450374	0.0521064	0.0653883	0.0596112	0.000941267	0.269741	0.188699	0.0828347	0.0236214	0.120546	0.102721	0.184092	0.181469	0.204786	0.160463	0.0914289	0.1672531	0.0419301	0.0612315	0.0177868	0.181946	0.0271788	0.181662	0.0339333	0.0415694	0.0734482	0.0453736	0.140955	0.0245759	0.0409515	0.0225612	0.0822719	0.0245541	0.2246428	2	51.03667	0.02253861	0.46597	0.782437	1.08431	1.66728	0.125701	0.31901	0.243611	0.0906532	0.155885	0.06514	0.2665729	0.8427068
1200	-273.5005	-244.8506	-28.64993	1.268406	1.948018	0.343496	0.0493111	0.140542	0.28601	0.228662	0.230679	0.0178039	0.447582	0.330941	0.870294	0.338902	0.139668	0.712245	0.147536	0.114057	0.00738597	0.2710026	0.005501709	0.0522537	0.0197477	0.1044	0.0192616	0.0796724	0.0469074	0.0801128	0.0940803	0.0449173	0.158319	0.0516779	0.116171	0.0616938	0.0173384	0.0534469	0.1042204	2	50.90949	0.02601455	0.28699	0.64937	1.06863	1.99501	0.280948	0.210324	0.125851	0.132119	0.161173	0.0895843	0.1097221	0.9498578
1300	-269.3204	-235.9851	-33.33527	0.3053606	2.469453	0.166757	0.0865183	0.0156972	0.324993	0.120378	0.854734	0.0366828	0.671666	0.646363	1.02209	0.010652	0.0493311	0.244827	0.209686	0.75449	0.188992	0.3154934	0.04111849	0.0494547	0.0145626	0.0753564	0.0270307	0.015266	0.0173301	0.150101	0.0226408	0.0492213	0.243026	0.0072857	0.230403	0.0273192	0.0340066	0.0369962	0.3094393	2	50.10377	0.02958875	0.343541	0.697159	1.07827	1.88103	0.248715	0.191626	0.11366	0.100549	0.276135	0.0693151	0.3505578	0.8827056
1400	-271.5098	-240.655	-30.85481	0.4635949	2.859745	0.595043	0.222134	0.329013	0.518701	0.300661	0.626981	0.0300184	0.771649	0.705888	0.154347	0.119239	0.0457331	0.0631022	0.0807571	0.260874	0.062046	0.2766568	-0.006154782	0.0460044	0.0131387	0.057021	0.00362876	0.00762119	0.0180202	0.0534113	0.0526965	0.121184	0.188444	0.00994766	0.273322	0.0196431	0.132006	0.00391114	0.1843322	3	52.3304	0.06133922	0.378112	0.723454	1.08173	1.8167	0.225106	0.25512	0.147989	0.0931662	0.195492	0.0831269	0.1781774	1.034543
1500	-284.0692	-245.025	-39.04421	1.970279	4.673796	0.489848	0.124818	0.131333	0.223844	0.502248	0.18583	0.0162711	0.204204	0.37644	0.0225663	0.370851	0.0288313	0.0340302	0.552456	0.0588953	0.077766	0.2084981	-0.01616699	0.0908754	0.0691664	0.164324	0.0807518	0.113742	0.00585198	0.0504699	0.0271622	0.0148721	0.0907144	0.00450342	0.101054	0.00766327	0.0750221	0.103827	0.0845156	0	86.01535	0.06205332	0.487938	0.7957	1.08382	1.63254	0.229029	0.2234	0.183259	0.0642922	0.2404	0.0596199	0.06834861	1.236537
1600	-272.3905	-243.7671	-28.62334	2.171054	1.18021	0.0736124	0.0383811	0.933829	0.15977	0.0957465	0.368247	0.172666	0.0522775	0.111258	0.0925808	0.10131	0.566701	0.639696	0.041858	0.059429	0.0312773	0.3147663	0.0189038	0.0902457	0.0041999	0.084183	0.059798	0.038212	0.00552788	0.0336187	0.0142293	0.0461163	0.203716	0.0159489	0.0363485	0.0522729	0.272826	0.0427571	0.2878315	2	50.5969	0.0393842	0.171448	0.524942	1.02445	2.27916	0.223147	0.165184	0.196129	0.065313	0.261352	0.0888741	0.3067353	0.938371
1700	-264.7989	-244.8787	-19.9202	1.852937	4.086149	0.113884	0.0452052	0.0271135	0.260115	2.45435e-06	0.277032	0.0429565	0.0585945	0.0508331	0.139236	0.188096	0.0685341	0.161272	0.0995514	0.0317608	0.0535929	0.1110904	0.03993496	0.0271675	0.00764646	0.0617408	0.0397204	0.185663	0.0813906	0.074966	0.00119827	0.0931074	0.136271	0.0355778	0.0861956	0.0437433	0.100808	0.0248031	0.1791544	2	55.70411	0.02179574	0.459033	0.778136	1.08438	1.67845	0.254847	0.196293	0.166778	0.102722	0.216046	0.0633138	0.2190894	0.817723
1800	-265.6983	-239.7878	-25.91045	2.739961	1.602175	0.262149	0.0100117	0.100068	0.392682	0.147723	0.251951	0.00619264	0.0598244	0.327857	0.00940547	0.411148	0.0663602	0.134932	0.836682	0.00607584	0.321391	0.2717632	0.001716954	0.0678794	0.0268543	0.077407	0.0182188	0.175979	0.00201568	0.0889602	0.102302	0.00694718	0.120043	0.00437815	0.0664446	0.0036943	0.175401	0.0634759	0.1256606	3	55.9921	0.03000369	0.240684	0.604725	1.0559	2.09869	0.193804	0.314168	0.149525	0.133266	0.16985	0.0393876	0.1273775	0.9865207
1900	-263.811	-238.4345	-25.37654	1.923248	4.203212	0.063342	0.0344208	0.0283861	0.0265908	0.000579314	0.210574	0.00673191	0.0902697	0.26355	0.189784	0.106877	0.0634712	0.502675	0.219199	0.0481474	0.181648	0.1601315	-0.001435346	0.0912195	0.0158667	0.076215	0.0130573	0.0744846	0.024138	0.061285	0.0927403	0.0289225	0.13532	0.00160328	0.0294517	0.0922551	0.112735	0.150706	0.156972	1	50.41629	0.03313165	0.465189	0.781956	1.08432	1.66854	0.215179	0.247897	0.154615	0.0882586	0.196447	0.0976046	0.1555366	1.009228
2000	-269.092	-243.6287	-25.46327	1.891933	3.445434	0.0360397	0.0337599	0.420824	0.0069446	0.138393	0.160398	0.0282752	0.102761	0.0564187	0.00707604	0.294627	0.019472	0.0329216	0.665265	0.321903	0.0494781	0.1007274	0.0212939	0.0464471	0.0211585	0.130536	0.00478668	0.208414	0.00571084	0.0712834	0.0164013	0.106872	0.050874	0.0425834	0.142121	0.00892271	0.115326	0.0285633	0.1599992	1	55.13207	0.044269	0.421033	0.753546	1.08398	1.74144	0.0931631	0.259399	0.135102	0.157706	0.332941	0.0216892	0.1812931	0.8825444
2100	-279.7788	-242.5689	-37.20997	2.346445	6.214195	0.107114	0.0632765	1.01804	1.13364	0.0134391	0.182973	0.21165	0.105919	0.031976	0.0502717	0.180472	0.224218	0.192837	0.0376468	0.0880342	0.406697	0.2278498	0.03154942	0.0140031	0.0114422	0.209686	0.0137437	0.0336027	0.0062848	0.13728	0.014491	0.0767257	0.0944883	0.0286889	0.306309	0.0116254	0.00113312	0.0404963	0.149581	1	62.5551	0.02563448	0.545832	0.828255	1.08077	1.54514	0.248443	0.224952	0.120269	0.109211	0.242042	0.0550829	0.1811304	0.8258193
2200	-268.9519	-236.9723	-31.97951	0.4529765	2.956146	0.272862	0.0544501	0.111456	0.170771	0.160973	0.802339	0.033018	0.548585	0.276694	0.176427	0.267239	0.0594565	0.270104	0.00266602	0.0781471	0.00833547	0.1365023	0.00264712	0.0464285	0.0102356	0.0699789	0.00360566	0.0481116	0.0274559	0.0155518	0.0130702	0.179702	0.210806	8.2448e-05	0.0711846	0.0374042	0.0932193	0.173164	0.1847502	2	75.95953	0.02146511	0.385841	0.729071	1.08229	1.8028	0.18301	0.174346	0.189556	0.135029	0.24536	0.0726992	0.1873973	0.9858743
2300	-266.5784	-237.023	-29.55535	1.545798	4.812862	0.00331939	0.0520719	0.18013	0.151046	0.271872	0.199946	0.0117352	0.175821	0.61009	0.0106901	0.0117969	0.00778136	0.373272	0.198927	0.0600697	0.348518	0.1264001	0.02153817	0.0760476	0.00768724	0.0883007	0.00601782	0.13141	0.0489766	0.222146	0.0342765	0.126888	0.135701	0.008995	0.0504124	0.0107591	0.0203124	0.0320694	0.1508126	2	55.68902	0.05551189	0.494115	0.799334	1.08361	1.62294	0.1558	0.224102	0.0953111	0.0722332	0.387813	0.0647415	0.1723507	0.8750329
2400	-258.5488	-239.5941	-18.95471	7.379166	2.95691	0.0886403	0.0205132	0.0157249	0.115763	0.0168102	0.0551688	0.00750265	0.0287347	0.124775	0.00182575	0.037163	0.0163475	0.111151	0.0801083	0.098523	0.0152415	0.07727637	-0.04717434	0.112418	0.000749784	0.0709022	0.00521845	0.11312	0.0266393	0.0585955	0.0918064	0.114354	0.116548	0.00966757	0.220473	0.00931741	0.0345912	0.0155996	0.1516446	0	70.85317	0.01749466	0.385901	0.729114	1.08229	1.80269	0.213558	0.24498	0.22729	0.126116	0.14775	0.0403056	0.1044702	1.451558
2500	-275.9665	-239.9856	-35.98086	5.019235	2.39104	0.0727757	0.0189223	0.89453	0.466754	0.382201	0.191324	0.0256129	0.131032	0.997965	1.1971	0.379493	0.27203	0.317809	0.138342	1.33975	0.585096	0.366923	0.03782517	0.0685547	0.000500215	0.136318	0.00614723	0.0201932	0.00564349	0.1059	0.0991884	0.0580104	0.163716	0.0183134	0.0554924	0.0937302	0.0701534	0.0981387	0.1390607	3	50.64966	0.06410134	0.335877	0.691051	1.07728	1.89579	0.131609	0.288473	0.145896	0.104291	0.229537	0.100195	0.1768859	0.7861606
