Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-170.9257	-134.2266	-36.69907	8.959964	0.8369399	0.03765328	-0.09659414	0.0131968	0.0686551	0.0360374	0.0318233	0.0756408	0.111582	0.0922439	0.0688261	0.0433281	0.256721	0.0416834	0.00660588	0.0785845	0.0150853	0.0599862	0.4047161	2	9.74677	0.1303406	0.103391	0.421592	0.966687	2.50833	0.0908163	0.0719635	0.0700298	0.607288	0.0397893	0.120113	0.308122	1.313493
100	-174.1034	-127.1948	-46.90858	9.554327	1.501361	0.02009129	-0.1122136	0.0500545	0.15358	0.14483	0.0435742	0.0267499	0.109757	0.100536	0.107944	0.0473453	0.0233813	0.0276826	0.00912201	0.0540778	0.0103029	0.0910626	0.5633017	4	13.29649	0.1803581	0.225533	0.588783	1.0505	2.13518	0.072837	0.206681	0.0820941	0.362736	0.0351981	0.240453	0.4510881	1.248762
200	-158.2725	-123.1075	-35.16499	7.722925	3.294514	0.02819982	0.1562308	0.0639444	0.0677455	0.139476	0.115506	0.00810718	0.150907	0.0287509	0.00668411	0.00434628	0.195495	0.0284234	0.0277404	0.0273798	0.00750982	0.127984	0.3692768	2	8.57235	0.1675215	0.410836	0.746633	1.08363	1.7589	0.0501537	0.278226	0.036271	0.400103	0.103661	0.131585	0.5255076	0.702705
300	-166.8556	-128.9631	-37.89253	8.08531	2.532322	0.02935095	-0.0302995	0.0825109	0.106099	0.166219	0.104228	0.083792	0.0368668	0.048382	0.0323282	0.0226679	0.137272	0.122784	0.0198909	0.0249438	0.000594543	0.0114214	0.265967	3	15.20159	0.1650728	0.3495	0.701835	1.07899	1.86968	0.0830404	0.154666	0.0939252	0.377027	0.0533801	0.237962	0.2356675	1.128569
400	-166.2252	-125.9962	-40.22903	10.08733	1.645408	0.02692656	0.06751356	0.0378817	0.00697578	0.117861	0.124573	0.0642417	0.0479281	0.0765134	0.104565	0.0282839	0.257971	0.00894248	0.0123372	0.0365443	0.0161218	0.05926	0.4070149	2	12.99682	0.1524696	0.246936	0.611097	1.05793	2.08404	0.101461	0.178179	0.0571387	0.457247	0.0849795	0.120995	0.4745284	0.8577249
500	-172.1811	-140.8761	-31.30499	5.097124	1.978845	0.04476286	-0.03462173	0.138095	0.136483	0.211166	0.0142488	0.0185416	0.0922715	0.0659446	0.0362022	0.0267515	0.16722	0.00467765	0.000955341	0.0404622	0.0141954	0.0327863	0.482489	3	5.852239	0.3114694	0.290736	0.652745	1.06945	1.98707	0.0867172	0.200655	0.0471593	0.483029	0.117407	0.0650328	0.4478673	1.077304
600	-168.6822	-133.6154	-35.0668	6.084628	0.602464	0.04167216	0.03351616	0.021464	0.00598319	0.145508	0.0806433	0.0756728	0.24971	0.0426732	0.0203637	0.0171432	0.162898	0.0382987	0.0504816	0.0428689	0.0451519	0.00113954	0.3508129	4	10.69126	0.2170638	0.0536167	0.313639	0.882571	2.75017	0.0433811	0.141856	0.0787557	0.550125	0.0794634	0.106419	0.3843291	0.9127931
700	-165.1752	-129.9392	-35.23599	7.243877	2.615027	0.05364034	-0.09779991	0.0598811	0.12475	0.178932	0.125481	0.00812271	0.113539	0.0413984	0.0332366	0.0562973	0.0112772	0.0829811	0.00332104	0.114651	0.0140871	0.0320452	0.4087854	3	7.328628	0.2489721	0.357098	0.707708	1.07982	1.85537	0.0315425	0.219598	0.104577	0.514205	0.0252747	0.104803	0.3109854	1.314484
800	-163.4326	-125.9679	-37.46478	6.469586	1.693984	0.0410509	0.2728715	0.0103975	0.10207	0.067484	0.0144616	0.031525	0.130503	0.0758768	0.00227031	0.0572287	0.131843	0.143363	0.139672	0.0244509	0.00454032	0.0643136	0.3598321	3	11.99737	0.1559493	0.253794	0.617954	1.06004	2.06821	0.14037	0.227215	0.0628146	0.412512	0.0622007	0.0948874	0.6327036	0.5687214
900	-159.2454	-121.5448	-37.70063	9.16645	2.672986	0.03849303	-0.03366622	0.0356782	0.124217	0.221219	0.0185477	0.0146912	0.147865	0.0314585	0.0134905	0.00224433	0.129756	0.227185	0.0153214	0.00365996	0.00532234	0.00934458	0.3754538	2	9.333863	0.1482267	0.362267	0.711648	1.08034	1.84574	0.0631702	0.344758	0.050401	0.402582	0.0393647	0.0997243	0.3417876	1.0985
