Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-128.1554	-129.3513	1.195912	11.29474	0.7239211	0.0404885	0.00659687	0.00794522	0.00768629	0.00969934	0.0393213	0.00346682	0.0160789	0.0238959	0.00444557	0.025105	0.0319847	0.0503225	0.00148692	0.0389377	0.00910394	0.00873582	0.0308491	0.0383716	0.0207536	0.175861	0.0450747	0.03157396	0.03644409	0.00429678	0.137089	0.037327	0.0767889	0.179516	0.0498158	0.0975046	0.0649515	0.036745	0.117265	0.0520244	0.00819849	0.0626364	0.0679396	0.00790123	0.1678805	4	54.77732	0.05436546	0.0793034	0.374601	0.93342	2.61267	0.129959	0.175601	0.094138	0.389567	0.0239389	0.186796	0.2043246	0.8216363
1	0	-112.5663	-128.1163	15.54996	23.07325	0.8776826	0.0629784	0.0040211	0.00445923	0.0111321	0.00937152	0.0139293	0.010188	0.0130258	0.00327099	0.00188857	0.000124209	0.0151555	0.0108485	0.00630511	0.0160943	0.0152209	0.00647711	0.0057214	0.00271375	0.0114663	0.0292504	0.000726925	0.01406307	-0.03005139	0.0191905	0.0638327	0.0180974	0.0302668	0.144058	0.0868955	0.0334196	0.166123	0.0752353	0.201852	0.0059723	0.00745224	0.0612355	0.0153732	0.0709958	0.1954521	1	53.13048	0.06011333	0.11195	0.436626	0.976356	2.47507	0.151684	0.235722	0.0555688	0.438369	0.0290487	0.0896085	0.1654007	1.181688
2	0	-141.3426	-128.2016	-13.14101	16.16519	0.845257	0.0190938	0.020177	0.00568237	0.0240298	0.0278003	0.0311873	0.0324565	0.0350698	0.112072	0.087395	0.050324	0.00684549	0.0159299	0.11584	0.0131683	0.0487137	0.0572222	0.224662	0.00818743	0.00279799	0.0680955	0.00438388	0.0580573	0.07424646	0.0987539	0.0460483	0.0458746	0.0981685	0.0362978	0.0315786	0.0250173	0.00484803	0.130984	0.166097	0.230016	0.00817964	0.0101854	0.027356	0.0405959	0.2305575	0	52.60376	0.03579509	0.105146	0.424736	0.968747	2.50137	0.0698359	0.230495	0.0396754	0.540984	0.0682436	0.0507665	0.304804	0.7564125
3	0	-124.7999	-125.4494	0.6495439	13.75553	0.5714112	0.013661	0.0275136	0.0119026	0.0329164	0.0496755	0.0217413	0.0147911	0.00412289	0.0391201	0.0663471	0.000208746	0.0121501	0.00189379	0.0137667	0.00136112	0.0593233	0.00988738	0.117645	0.0069873	0.0507947	0.0139397	0.0310171	0.02474029	-0.03740228	0.00775096	0.0248445	0.17341	0.0390248	0.0748894	0.00770038	0.0384409	0.123154	0.03312	0.127589	0.0461655	0.0160408	0.025891	0.0589405	0.203038	0.1703091	2	50.51567	0.07252967	0.0472704	0.296002	0.866002	2.79073	0.190148	0.156043	0.0514997	0.472565	0.0400244	0.08972	0.1329069	1.281417
4	0	-134.0869	-124.5627	-9.524182	11.25552	1.701361	0.0185152	0.0253351	0.0197101	0.0579996	0.00710045	0.032796	0.169325	0.0223225	0.132387	0.0578685	0.00854634	0.0639259	0.0192885	0.0518702	0.00236357	0.046091	0.00101754	0.0501587	0.0105855	0.0347217	0.200411	0.0680225	0.05707917	0.04393633	0.0332531	0.161687	0.0985287	0.0285173	0.0544705	0.0342442	0.133742	0.0216652	0.00956185	0.123395	0.0253177	0.0867989	0.0616652	0.0622308	0.064923	0.3536396	2	53.94721	0.04089078	0.254821	0.618969	1.06034	2.06587	0.0644419	0.240154	0.0903149	0.372283	0.0647274	0.168079	0.3975759	0.8894895
5	0	-140.0888	-133.1438	-6.944938	11.30379	2.550209	0.0896365	0.00580043	0.0269189	0.029274	0.0237671	0.04052	0.0200498	0.0202282	0.00502685	0.060339	0.0043365	0.00483946	0.0577073	0.00285882	0.00420636	0.0405848	0.00363956	0.0182365	0.0164827	0.00974586	0.0507348	0.0278669	0.0224599	0.007488061	0.026374	0.042283	0.102217	0.0509117	0.0469186	0.0639422	0.263752	0.0124804	0.0497783	0.129996	0.0532103	0.066788	0.00266237	0.0372528	0.0514336	0.3230477	2	57.24907	0.009751673	0.351166	0.703131	1.07918	1.86653	0.123463	0.133716	0.0439708	0.456128	0.119998	0.122725	0.3305357	0.9773457
6	0	-130.9386	-127.5349	-3.40372	17.08504	2.82486	0.0285278	0.016876	0.00136589	0.00193602	0.0609804	0.0191049	0.0727781	0.000579205	0.00231572	0.0047308	0.04229	0.000932729	0.0172512	0.00131006	0.012661	0.0176396	0.00952535	0.0401028	0.0286155	0.0510942	0.0875797	0.000812127	0.02252258	0.03075011	0.0309228	0.0718291	0.162941	0.027952	0.0508887	0.137277	0.0554742	0.0317164	0.038125	0.0206359	0.210148	0.0548699	0.00240883	0.000520353	0.10429	0.2066481	2	55.25127	0.02708894	0.375242	0.721346	1.0815	1.82191	0.0431932	0.171184	0.130522	0.544654	0.0291623	0.081285	0.2373982	0.8704703
7	0	-124.5253	-128.0905	3.565198	21.04871	0.9948384	0.00723223	0.0231604	0.0111314	0.0286997	0.0231558	0.0104557	0.0140171	0.00426324	0.00778546	0.00814675	0.0240698	0.0256169	0.00186856	0.0330582	0.00248909	0.0183586	0.0057962	0.0334393	0.00702668	0.00388529	0.0370522	0.0312741	0.009898623	0.05082059	0.0163772	0.190754	0.07023	0.0827005	0.0309093	0.255753	0.0364392	0.0673263	0.0068963	0.0706147	0.0343385	0.0432755	0.0421409	0.011864	0.0403801	0.4282668	3	55.43385	0.02672626	0.135923	0.475195	0.999139	2.38974	0.0496911	0.184288	0.106773	0.552512	0.0570656	0.0496707	0.4790874	0.8939221
8	0	-130.6664	-124.976	-5.690451	21.65622	0.3617025	0.0446969	0.00255178	0.00797453	0.0222125	0.061641	0.0154917	0.126336	0.00435032	0.013485	0.018739	0.014395	0.0177918	0.0844909	0.00581763	0.0338162	0.127716	0.00972597	0.0161799	0.0282859	0.0354412	0.0133549	0.000546158	0.02330172	0.04873634	0.0153475	0.000379381	0.0823675	0.173236	0.0558488	0.0351177	0.137802	0.0406771	0.0228404	0.0796742	0.151376	0.1511	0.00263961	0.0390319	0.012562	0.1380591	2	52.15642	0.05839683	0.0115991	0.152626	0.686275	3.1495	0.0928453	0.108144	0.0801937	0.508605	0.145211	0.065001	0.1867955	0.7390925
9	0	-146.9213	-125.2183	-21.703	7.259245	1.367428	0.147495	0.0229157	0.0383217	0.0305795	3.18085e-05	0.0408293	0.20095	0.0132993	0.0631871	0.0638246	0.00393769	0.0528913	0.00696635	0.0129158	0.0461925	0.00467474	0.044131	0.0415828	0.00409506	0.112627	0.289357	0.128799	0.1146414	0.04624181	0.0500823	0.367005	0.0322081	0.0432565	0.0735931	0.000167158	0.0728527	0.00680405	0.0324638	0.0525037	0.039106	0.0375783	0.0482192	0.112185	0.0319745	0.1776707	4	50.16359	0.1677835	0.204097	0.564892	1.04158	2.18943	0.14352	0.151043	0.0865256	0.514901	0.0262679	0.0777423	0.2239125	0.7934827
