Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-133.137	-119.3412	-13.79574	15.8594	1.081924	0.0534103	0.16901	0.0942675	0.338478	0.13346	0.125213	0.140733	0.0241277	0.0198606	0.102204	0.1116438	0.0274619	0.0248421	0.122635	0.0369345	0.189401	0.0194839	0.00288772	0.0296531	0.00657402	0.0799732	0.158647	0.00254353	0.0809154	0.085364	0.0170122	0.143133	0.08248396	0	50.6415	0.05337667	0.153004	0.500063	1.01235	2.33458	0.0853315	0.193718	0.0492371	0.531565	0.0321888	0.107959	0.1099459	0.7502234
100	-140.6071	-120.2255	-20.38161	24.76182	0.1534954	0.249886	0.0427242	0.126272	0.270459	0.0459673	0.220237	0.0612314	0.363837	0.304577	0.100963	0.2028361	-0.02258485	0.0225604	0.0441324	0.173084	0.12328	0.145856	0.0235306	0.0553513	0.0348196	0.00299705	0.0370353	0.0782998	0.177154	0.0166476	0.0220181	0.0432344	0.2078394	0	56.74081	0.03619006	6.54777e-05	0.0119481	0.252343	3.73564	0.0713961	0.218164	0.0908712	0.567122	0.0124508	0.039995	0.1852545	1.121913
200	-128.9366	-123.6921	-5.244557	20.64195	0.3888466	0.0524435	0.0240869	0.0239881	0.0462263	0.0394446	0.00334178	0.075665	0.179728	0.01973	0.00566422	0.05356525	0.02966925	0.0183596	0.0824909	0.240197	0.0907325	0.083064	0.0240156	0.0567608	0.01128	0.0853845	0.0100475	0.009246	0.15126	0.000679511	0.0581111	0.0783712	0.1079128	0	55.09325	0.02902424	0.0151388	0.173376	0.718924	3.09256	0.0385166	0.159555	0.0864932	0.52266	0.091819	0.100956	0.137582	0.7843523
300	-132.8358	-120.1712	-12.66464	7.840729	1.06106	0.186174	0.0730127	0.00341978	0.0247292	0.0236138	0.353539	0.227151	0.0733249	0.0821864	0.173353	0.1458359	0.009232169	0.0592124	0.0587064	0.0275227	0.233768	0.051346	0.00296889	0.0341174	0.0265079	0.272687	0.0572577	0.03328	0.011872	0.0904616	0.0364814	0.00381036	0.1613788	0	50.88474	0.09279934	0.148974	0.494366	1.00942	2.34724	0.0432918	0.235577	0.0594702	0.562767	0.0417451	0.0571487	0.170611	0.9458876
400	-131.9803	-121.8044	-10.17588	18.22874	0.8845767	0.0326953	0.0220167	0.203601	0.0432889	0.185881	0.0486517	0.0276237	0.126846	0.0798728	0.00981206	0.09477381	0.005568303	0.224983	0.0470565	0.125806	0.0159126	0.00545698	0.0173369	0.00169306	0.0314003	0.0737656	0.0657642	0.0384724	0.186555	0.0734623	0.0424388	0.0498961	0.08614936	0	66.30895	0.03843836	0.113388	0.439081	0.977892	2.46964	0.0538184	0.216319	0.0926683	0.548184	0.0194934	0.069517	0.09171766	0.9392887
500	-139.8313	-122.781	-17.0503	7.821119	0.7113279	0.0959239	0.0251293	0.0164485	0.118048	0.0514406	0.126763	0.203781	0.277342	0.480626	0.0810845	0.1162025	-0.09678233	0.0316362	0.0911729	0.0227107	0.0534128	0.0127689	0.0869335	0.0325343	0.0182135	0.0491576	0.275512	0.0151008	0.0539877	0.0501996	0.0227097	0.183949	0.1731468	0	59.86718	0.08311834	0.0766094	0.368826	0.928995	2.62557	0.0442263	0.098523	0.0797775	0.56507	0.0376016	0.174802	0.07636443	2.267375
600	-133.6478	-118.0021	-15.64567	7.552113	4.359986	0.00621769	0.0250989	0.04074	0.0975694	0.0707161	0.199424	0.043818	0.154196	0.354518	0.0968684	0.1830729	-0.04178908	0.0759064	0.35572	0.0836734	0.013848	0.050186	0.00364057	0.0346498	0.0133944	0.00588087	0.116366	0.00941978	0.0314781	0.0244325	0.0700675	0.111337	0.1065503	0	53.41262	0.1200916	0.473107	0.786805	1.08419	1.65589	0.13487	0.181976	0.053967	0.507287	0.0495041	0.0723958	0.06476121	1.64528
700	-129.0945	-117.6288	-11.46571	10.97003	0.2576325	0.0684762	0.142655	0.0957039	0.0586083	0.0192321	0.103543	0.0429725	0.0841462	0.0342115	0.684387	0.1349015	0.005760086	0.0508445	0.0984816	0.108035	0.0757905	0.0148959	0.0259404	0.0881262	0.0574337	0.0616064	0.0531164	0.0222513	0.270234	0.000573312	0.0559717	0.0166995	0.1342442	0	50.83166	0.04052617	0.00248672	0.0722547	0.517307	3.40795	0.0596912	0.173337	0.110417	0.475805	0.0895963	0.0911541	0.1400043	0.9588578
800	-137.3529	-116.9457	-20.40712	16.74736	0.7611381	0.214712	0.0177904	0.00230178	0.321595	0.28467	0.0386455	0.324513	0.312151	0.00968632	0.0450214	0.1534399	-0.0080963	0.0227962	0.0801616	0.307741	0.0303658	0.0279612	0.0623772	0.0533926	0.124982	0.0142346	0.0319532	0.0291684	0.0035835	0.12952	0.00092305	0.0808399	0.1284099	0	50.56382	0.1478217	0.0872669	0.391004	0.945576	2.57615	0.0551742	0.165469	0.0642499	0.552346	0.0396794	0.123082	0.1203136	1.067293
900	-136.7701	-118.5542	-18.21592	29.83181	0.2979722	0.00160462	0.188525	0.0449877	0.0160956	0.0226147	0.19258	0.667352	0.0813181	0.0681205	0.00917223	0.117183	-0.01682781	0.0102324	0.0217848	0.196533	0.00763762	0.152978	0.134296	0.0125699	0.000236444	0.0151212	0.178497	0.145494	0.0194279	0.0395233	0.00423241	0.0614364	0.1214569	0	66.48302	0.01885243	0.00513226	0.102919	0.592382	3.29957	0.0878417	0.233754	0.0832376	0.451934	0.0796574	0.0635762	0.1046291	1.160833
