Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-646.3465	-527.4969	-118.8496	25.13023	4.645201	0.07185738	-0.01777984	0.116	0.0787572	0.027589	0.0779077	0.0414947	0.0386775	0.0581934	0.0131753	0.00884224	0.0229209	0.284643	0.0470028	0.120335	0.0595071	0.00495465	0.2597633	4	46.53815	0.05318821	0.486639	0.79493	1.08386	1.63457	0.125262	0.0970759	0.103953	0.34225	0.0786833	0.252776	0.2419834	1.073475
100	-644.3818	-538.786	-105.5958	25.71801	1.377024	0.08994044	-0.02276511	0.0227224	0.0250383	0.0381316	0.0742291	0.0738804	0.112049	0.00889628	0.0255041	0.038486	0.0471911	0.25128	0.105648	0.142804	0.0307079	0.0034318	0.2460043	4	40.3551	0.04704761	0.205685	0.566719	1.0423	2.18529	0.118491	0.135507	0.0780632	0.281444	0.138551	0.247943	0.2232392	1.101976
200	-634.298	-517.5224	-116.7756	32.49159	2.161252	0.08375578	0.03259438	0.0569754	0.114376	0.0499819	0.04287	0.00761622	0.0287661	0.0323031	0.00448155	0.0377886	0.124466	0.0411747	0.2668	0.106756	0.0317181	0.0539269	0.1918492	4	54.6139	0.03591788	0.311792	0.671134	1.07355	1.94353	0.132935	0.0729658	0.0738867	0.330083	0.137622	0.252508	0.2244436	0.8547769
300	-637.3026	-515.7433	-121.5593	37.11096	3.402615	0.07590476	0.00124374	0.0382274	0.232588	0.0355953	0.0284389	0.0283417	0.110783	0.0110654	0.0096325	0.00199356	0.243983	0.0533421	0.094434	0.0585503	0.0312079	0.021817	0.2156097	3	44.71582	0.03119783	0.418195	0.751636	1.08389	1.74628	0.144692	0.0997049	0.109306	0.257148	0.171937	0.217213	0.2168534	0.9942646
400	-636.3854	-526.9882	-109.3972	34.95535	2.900821	0.08267777	-0.03017194	0.0295517	0.0997602	0.0352399	0.0165951	0.128808	0.0879509	0.0148982	0.00202128	0.0472007	0.167475	0.0904995	0.105412	0.038371	0.0211083	0.115108	0.2781532	5	43.27723	0.04451184	0.381441	0.725885	1.08198	1.81069	0.137071	0.0857301	0.0756037	0.3196	0.115292	0.266703	0.2479812	1.12167
500	-635.7348	-523.7813	-111.9535	26.66966	4.327097	0.08433832	-0.04817339	0.0364628	0.179766	0.0390679	0.0258622	0.0833647	0.0557164	0.00618228	0.0174109	0.0407852	0.0369811	0.228246	0.117324	0.100092	0.0157721	0.0169658	0.2939899	5	45.59776	0.0448678	0.471476	0.785812	1.08422	1.65849	0.122406	0.135081	0.0950565	0.29861	0.103968	0.244879	0.2458165	1.195973
600	-637.2653	-516.1352	-121.13	35.91097	6.406253	0.07100488	-0.02463927	0.0555591	0.060863	0.145365	0.0426841	0.0590308	0.0624786	0.0125849	0.0109999	0.0527151	0.00579963	0.333492	0.0332055	0.0770527	0.0180557	0.0301139	0.3444197	5	43.69686	0.03235356	0.551732	0.831392	1.08033	1.53654	0.128133	0.0982589	0.0705236	0.295862	0.116598	0.290625	0.3197805	1.077051
700	-641.204	-506.7248	-134.4791	36.05574	3.399322	0.04389018	-0.02202939	0.0574132	0.0355209	0.0854974	0.00986947	0.0560576	0.114109	0.0161797	0.0253226	0.0286771	0.064149	0.281975	0.0201909	0.128461	0.0709153	0.00566099	0.180597	4	70.15533	0.02230513	0.417975	0.751487	1.08388	1.74665	0.145162	0.128267	0.0947849	0.224349	0.166101	0.241336	0.1585676	1.138927
800	-644.7101	-523.5754	-121.1347	42.84828	5.223315	0.07308597	-0.001695035	0.0167204	0.151918	0.0782529	0.00428105	0.104855	0.102317	0.0103489	0.0461805	0.0276869	0.125944	0.0537687	0.161949	0.0671	0.0320824	0.0165947	0.2761849	3	45.21309	0.03966245	0.511096	0.809121	1.08289	1.59689	0.0980831	0.124294	0.104272	0.297327	0.142438	0.233586	0.2744899	1.006175
900	-634.0521	-525.2284	-108.8237	28.95519	5.498824	0.09601661	0.05138369	0.0293462	0.252588	0.0328195	0.0136325	0.0274466	0.0840205	0.0157505	0.00982263	0.0528611	0.138664	0.149406	0.12241	0.0444078	0.0199569	0.00686779	0.2390064	6	34.13198	0.05730012	0.521563	0.815009	1.08234	1.58109	0.141019	0.105976	0.0927604	0.285673	0.147337	0.227234	0.2903901	0.8230529
1000	-632.4928	-523.2859	-109.2069	33.86722	2.70454	0.1048614	0.009620628	0.017514	0.162028	0.00246994	0.0129896	0.0328567	0.0663596	0.000792493	0.00184027	0.0312858	0.192897	0.148666	0.269769	0.0526381	0.00584768	0.0020453	0.2151381	5	35.48572	0.03658383	0.365029	0.713735	1.08061	1.84063	0.159688	0.156386	0.0794266	0.233587	0.188843	0.182071	0.2247587	0.9571958
1100	-630.2191	-519.909	-110.3101	25.67908	2.89025	0.1322299	0.003588449	0.0143574	0.323696	0.0812212	0.021322	0.0134035	0.0559025	0.00555222	0.00706164	0.00808474	0.106848	0.00860382	0.207306	0.119395	0.0205837	0.00666175	0.3216482	4	48.76314	0.04618001	0.380589	0.725264	1.08192	1.81223	0.0925312	0.21769	0.11071	0.241547	0.113063	0.224459	0.3252367	0.9889667
