Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Segregating-Sites,Theta,Tajima-D,Tajima-Pi
8,42,2,14,2,34,13,1,0,0,6,7,40,0.2759494,-4.346361,0.01262626
8,38,2,16,6,32,25,4,0,0,6,5,40,0.2759494,-4.059802,0.02998737
8,40,2,15,6,35,11,2,0,0,7,8,40,0.2759494,-4.184846,0.02241162
4,38,1,13,5,35,24,2,0,0,4,9,44,0.3035443,-4.228224,0.02272727
4,39,1,15,5,35,16,3,0,0,4,5,44,0.3035443,-4.309022,0.01736111
7,40,2,16,5,34,17,3,0,1,5,6,41,0.2828481,-4.045089,0.03188131
7,42,3,13,3,33,21,2,0,0,5,6,41,0.2828481,-4.350355,0.01294192
11,44,2,19,3,31,7,2,0,0,9,4,37,0.2552532,-4.282624,0.0145202
11,45,2,22,2,30,9,1,0,0,10,4,37,0.2552532,-4.35001,0.01073232
5,40,1,16,5,35,24,2,0,0,5,8,43,0.2966456,-4.119702,0.0290404
9,43,2,18,4,32,12,3,0,0,6,4,39,0.2690507,-4.187355,0.02146465
8,41,2,16,4,33,11,2,0,0,6,7,40,0.2759494,-4.148375,0.02462121
9,38,2,15,7,31,22,5,0,0,7,7,39,0.2690507,-3.754927,0.04703283
12,46,4,33,2,30,18,1,0,0,7,3,36,0.2483545,-4.489727,0.002525253
8,43,3,15,2,35,19,1,0,0,5,6,40,0.2759494,-4.29947,0.01546717
8,37,2,14,4,35,16,4,0,0,7,6,40,0.2759494,-3.99728,0.03377525
7,43,1,28,5,36,14,2,0,0,7,5,41,0.2828481,-4.340179,0.01357323
11,47,2,29,1,31,9,1,0,0,10,2,37,0.2552532,-4.394934,0.008207071
14,43,2,18,4,27,13,3,0,0,10,4,34,0.234557,-3.995056,0.02746212
15,40,2,17,6,26,7,2,0,0,13,8,33,0.2276583,-3.741921,0.03914141
13,41,4,14,4,29,9,1,0,0,10,8,35,0.2414557,-4.151429,0.02020202
17,45,3,15,2,25,16,1,0,0,8,4,31,0.2138608,-4.233148,0.01294192
12,40,3,13,4,30,11,2,0,0,7,7,36,0.2483545,-3.774863,0.04166667
6,45,1,21,3,36,11,1,0,0,6,4,42,0.2897469,-4.369081,0.01231061
11,41,2,19,4,31,6,2,0,0,10,6,37,0.2552532,-4.321932,0.01231061
9,40,2,22,6,31,13,2,0,0,6,6,39,0.2690507,-3.931101,0.03661616
10,43,2,29,3,34,13,3,0,0,8,4,38,0.2621519,-4.250204,0.01704545
9,41,2,18,5,32,12,2,0,0,8,6,39,0.2690507,-4.027196,0.03093434
13,46,3,23,2,30,9,1,0,0,9,3,35,0.2414557,-4.43572,0.005050505
14,42,2,13,2,26,8,2,0,0,12,6,34,0.234557,-4.293433,0.01199495
6,40,2,17,4,34,31,2,0,0,5,8,42,0.2897469,-4.110591,0.02872475
6,43,1,17,2,36,23,1,0,0,6,6,42,0.2897469,-4.224923,0.02146465
6,41,2,18,4,35,20,2,0,0,5,7,42,0.2897469,-4.145387,0.02651515
4,33,1,15,7,37,18,4,0,0,4,8,44,0.3035443,-3.705417,0.05744949
5,40,2,13,6,35,31,2,0,0,4,6,43,0.2966456,-3.998216,0.03693182
5,41,1,17,4,35,14,2,0,0,5,6,43,0.2966456,-4.362674,0.01325758
8,37,2,14,5,34,10,2,0,0,7,10,40,0.2759494,-4.085853,0.02840909
12,43,3,16,5,31,7,2,0,0,9,4,36,0.2483545,-4.14959,0.02114899
9,43,2,17,2,32,10,1,0,0,7,6,39,0.2690507,-4.310143,0.01420455
6,43,1,16,3,34,12,1,0,0,6,6,42,0.2897469,-4.21001,0.02241162
8,44,2,24,3,34,7,2,0,0,7,4,40,0.2759494,-4.278629,0.0167298
7,37,1,15,5,33,15,2,0,0,7,10,41,0.2828481,-4.009475,0.03409091
8,42,2,13,3,34,20,3,0,0,7,4,40,0.2759494,-4.341151,0.01294192
6,39,1,18,5,35,10,2,0,0,6,8,42,0.2897469,-4.135445,0.02714646
10,38,1,15,5,33,7,2,0,0,10,10,38,0.2621519,-3.861581,0.03945707
9,41,2,26,4,33,9,2,0,0,7,6,39,0.2690507,-4.20337,0.02051768
8,40,2,20,5,34,12,2,0,0,6,7,40,0.2759494,-3.840975,0.04324495
13,42,4,18,3,31,8,1,0,0,9,7,35,0.2414557,-4.115893,0.02209596
11,43,2,14,3,31,10,1,0,0,8,6,37,0.2552532,-4.271393,0.01515152
7,39,2,13,7,31,16,3,0,0,6,8,41,0.2828481,-3.867017,0.04292929
6,40,1,16,5,34,16,2,0,0,6,8,42,0.2897469,-4.031055,0.03377525
12,41,2,18,3,27,15,4,0,0,9,5,36,0.2483545,-4.120765,0.02272727
7,41,2,13,3,33,20,2,0,0,5,6,41,0.2828481,-4.335091,0.01388889
8,39,1,13,5,31,15,2,0,0,8,9,40,0.2759494,-4.236948,0.01925505
8,37,1,13,4,33,19,6,0,0,8,7,40,0.2759494,-3.99728,0.03377525
15,43,4,18,3,26,8,2,0,0,7,5,33,0.2276583,-4.117854,0.02020202
6,45,2,24,2,35,13,1,0,0,5,4,42,0.2897469,-4.428733,0.008522727
17,44,2,18,3,25,7,1,0,0,14,5,31,0.2138608,-4.073534,0.02051768
15,45,3,21,2,25,15,1,0,0,7,4,33,0.2276583,-4.355945,0.008207071
10,46,2,21,2,30,11,1,0,0,8,3,38,0.2621519,-4.41441,0.007575758
8,38,1,14,4,33,8,3,0,0,8,8,40,0.2759494,-3.966019,0.03566919
5,41,2,19,3,35,24,4,0,0,4,5,43,0.2966456,-4.299501,0.01736111
6,41,1,14,6,35,21,1,0,0,6,8,42,0.2897469,-4.045968,0.03282828
6,42,2,20,4,35,13,2,0,0,5,6,42,0.2897469,-4.25972,0.01925505
3,44,1,22,3,39,18,3,0,1,3,3,45,0.3104431,-4.369295,0.01388889
9,38,2,13,7,32,9,2,0,1,8,9,39,0.2690507,-3.81899,0.04324495
13,42,3,19,3,29,9,1,0,0,9,7,35,0.2414557,-4.151429,0.02020202
8,43,2,16,5,32,11,2,0,0,7,5,40,0.2759494,-4.137954,0.02525253
13,42,3,18,4,26,9,2,0,0,10,6,35,0.2414557,-4.222502,0.01641414
8,38,2,15,6,31,22,4,0,0,7,8,40,0.2759494,-3.830555,0.04387626
6,35,1,13,6,34,20,5,0,0,6,7,42,0.2897469,-3.797419,0.04861111
7,46,2,17,2,34,16,1,0,0,6,3,41,0.2828481,-4.447022,0.006944444
7,46,2,31,1,37,21,1,0,0,6,3,41,0.2828481,-4.533514,0.001578283
6,42,2,14,3,34,13,2,0,0,5,6,42,0.2897469,-4.045968,0.03282828
6,42,1,13,3,33,19,2,0,0,6,6,42,0.2897469,-4.239836,0.02051768
10,39,2,15,6,32,18,4,0,1,8,7,38,0.2621519,-3.916316,0.03630051
9,42,1,15,5,32,11,1,0,0,9,7,39,0.2690507,-4.123291,0.02525253
9,40,2,18,4,32,15,4,0,1,7,6,39,0.2690507,-4.123291,0.02525253
4,42,1,18,4,37,13,1,0,0,4,7,44,0.3035443,-4.380314,0.01262626
6,42,1,14,3,33,12,2,0,0,6,5,42,0.2897469,-4.324343,0.01515152
7,38,2,14,7,34,12,2,0,0,6,8,41,0.2828481,-4.136669,0.02619949
14,45,4,17,2,27,8,1,0,0,9,4,34,0.234557,-4.366504,0.008207071
12,46,2,23,2,29,8,1,0,0,10,3,36,0.2483545,-4.374426,0.008838384
12,45,3,28,2,33,7,1,0,0,9,4,36,0.2483545,-4.253361,0.01546717
10,38,1,13,5,32,9,2,0,0,10,9,38,0.2621519,-4.124312,0.02430556
10,40,2,16,6,33,10,2,0,0,8,8,38,0.2621519,-3.84516,0.04040404
19,44,3,15,2,23,7,1,0,0,12,5,29,0.2000633,-4.200603,0.01294192
3,40,1,14,4,37,19,2,0,0,3,7,45,0.3104431,-4.266978,0.02083333
6,42,2,14,3,34,12,2,0,0,5,6,42,0.2897469,-4.180184,0.02430556
11,37,3,14,5,31,10,4,0,0,6,6,37,0.2552532,-3.940078,0.03377525
7,38,2,17,5,32,14,3,0,0,6,7,41,0.2828481,-3.928071,0.03914141
9,36,2,13,6,32,14,4,0,1,6,8,39,0.2690507,-3.776281,0.0457702
18,41,4,20,3,24,5,3,0,0,12,6,30,0.206962,-3.936069,0.02588384
8,45,2,18,3,33,16,1,0,0,7,4,40,0.2759494,-4.231737,0.01957071
6,38,1,14,4,34,8,2,0,0,6,9,42,0.2897469,-4.036026,0.0334596
10,39,2,13,6,32,14,3,0,0,9,7,38,0.2621519,-3.878002,0.0385101
6,41,1,14,5,37,17,3,0,0,6,6,42,0.2897469,-3.976374,0.03724747
7,42,1,14,4,32,20,1,0,0,7,7,41,0.2828481,-4.085791,0.02935606
10,39,2,14,5,30,9,1,0,0,9,9,38,0.2621519,-4.272098,0.01578283
6,39,1,15,5,33,10,3,0,0,6,6,42,0.2897469,-4.021113,0.03440657
11,44,3,14,2,31,7,1,0,0,7,5,37,0.2552532,-4.372472,0.009469697
7,36,2,16,6,33,15,3,0,0,6,9,41,0.2828481,-3.963685,0.03693182
8,41,1,13,5,32,21,3,0,0,8,6,40,0.2759494,-4.164005,0.02367424
11,38,2,16,6,30,8,4,0,0,8,7,37,0.2552532,-3.906385,0.03566919
8,45,2,21,3,34,10,1,0,0,7,4,40,0.2759494,-4.3151,0.0145202
6,39,2,14,6,32,24,2,0,0,5,8,42,0.2897469,-3.966432,0.03787879
8,36,2,13,6,33,11,3,0,0,7,9,40,0.2759494,-3.611728,0.05713384
9,39,2,13,6,30,10,3,0,0,8,8,39,0.2690507,-3.947117,0.03566919
4,41,2,16,5,36,29,2,0,0,2,6,44,0.3035443,-4.147427,0.02809343
9,44,2,18,3,34,11,2,0,0,8,4,39,0.2690507,-4.155323,0.02335859
9,41,2,13,3,33,15,2,0,0,8,7,39,0.2690507,-4.315481,0.01388889
7,44,1,20,3,33,10,1,0,0,7,5,41,0.2828481,-4.284214,0.01704545
6,44,3,16,3,35,27,1,0,0,4,5,42,0.2897469,-4.219952,0.0217803
8,41,1,19,3,31,12,1,0,0,8,8,40,0.2759494,-4.210897,0.02083333
10,40,2,14,4,32,8,2,0,1,9,8,38,0.2621519,-4.135259,0.02367424
11,41,3,14,4,28,19,2,0,0,7,7,37,0.2552532,-4.131005,0.02304293
12,42,3,22,3,29,8,3,0,0,9,4,36,0.2483545,-4.201475,0.01830808
7,41,2,21,4,33,22,2,0,0,5,7,41,0.2828481,-4.106142,0.02809343
8,46,2,22,2,34,12,1,0,0,6,3,40,0.2759494,-4.335941,0.01325758
7,42,3,14,4,34,20,2,0,0,5,6,41,0.2828481,-4.248599,0.01925505
5,41,1,13,4,36,18,3,0,0,5,6,43,0.2966456,-4.382111,0.01199495
14,43,3,16,3,28,9,1,0,0,8,6,34,0.234557,-4.183825,0.01767677
6,40,2,14,3,34,18,2,0,0,5,7,42,0.2897469,-4.205039,0.02272727
10,44,2,15,2,30,14,1,0,0,7,5,38,0.2621519,-4.425357,0.006944444
4,42,2,17,3,35,34,3,0,1,3,5,44,0.3035443,-4.304269,0.01767677
14,41,4,16,4,30,9,2,0,0,8,6,34,0.234557,-4.153378,0.01925505
7,42,1,20,3,35,11,2,0,0,7,6,41,0.2828481,-4.218073,0.02114899
5,37,1,14,6,33,26,2,0,0,5,9,43,0.2966456,-3.920465,0.04198232
13,42,4,21,4,32,12,2,0,0,7,5,35,0.2414557,-4.104047,0.02272727
6,39,1,14,5,36,9,3,0,0,6,7,42,0.2897469,-4.026084,0.03409091
7,44,2,14,2,32,18,1,0,0,5,5,41,0.2828481,-4.370706,0.01167929
7,36,2,15,7,34,18,5,0,0,6,8,41,0.2828481,-3.744911,0.05050505
8,37,1,13,5,34,8,2,0,0,8,11,40,0.2759494,-4.184846,0.02241162
4,42,1,15,5,34,23,2,0,1,4,6,44,0.3035443,-4.247235,0.02146465
