Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Segregating-Sites,Theta,Tajima-D,Tajima-Pi
3,21,1,4,12,33,36,7,0,1,3,11,41,0.3085616,-3.108941,0.0981405
10,26,3,7,9,26,22,4,0,2,8,11,34,0.2558804,-3.07557,0.08195592
10,31,2,8,6,29,11,3,0,0,9,10,34,0.2558804,-3.538358,0.05578512
4,14,1,4,12,30,14,7,0,0,4,9,40,0.3010357,-2.710369,0.1219008
1,24,1,7,7,33,28,3,0,1,1,9,43,0.3236134,-3.745525,0.05819559
4,29,2,8,7,29,23,5,0,2,3,8,40,0.3010357,-3.653409,0.059573
8,15,1,4,11,27,8,5,0,3,8,12,36,0.2709321,-3.10612,0.08539945
6,19,2,4,10,30,19,10,0,4,4,8,38,0.2859839,-2.755922,0.1126033
5,23,2,6,11,27,16,6,0,1,4,10,39,0.2935098,-3.274452,0.08230028
2,19,1,5,10,33,27,6,0,2,2,11,42,0.3160875,-3.524015,0.0719697
4,18,2,3,10,31,16,5,0,4,3,11,40,0.3010357,-3.200124,0.08953168
6,21,2,4,10,29,12,5,0,3,5,13,38,0.2859839,-3.128124,0.08918733
0,14,0,3,11,32,44,10,0,4,0,9,44,0.3311393,-3.097058,0.1067493
0,19,0,4,11,36,44,6,0,4,0,12,44,0.3311393,-3.163598,0.1019284
4,24,1,7,8,30,16,6,0,2,4,10,40,0.3010357,-3.481473,0.07093664
4,23,1,13,11,31,19,8,0,3,4,7,40,0.3010357,-3.038609,0.1002066
2,18,1,4,12,31,23,12,0,2,2,11,42,0.3160875,-2.813166,0.1212121
6,26,2,6,12,28,12,6,0,2,5,9,38,0.2859839,-3.319699,0.07713499
4,23,1,6,12,32,31,9,0,3,4,9,40,0.3010357,-2.970877,0.1046832
5,23,1,5,10,32,17,6,0,3,5,12,39,0.2935098,-3.194373,0.08746556
2,26,1,6,10,32,27,3,0,3,2,11,42,0.3160875,-3.300321,0.08746556
7,23,1,4,10,32,7,5,0,1,7,11,37,0.278458,-3.120213,0.08712121
7,27,3,10,9,26,21,3,0,3,5,12,37,0.278458,-3.384142,0.07093664
4,18,1,3,11,30,17,5,0,0,4,10,40,0.3010357,-3.351219,0.07954545
6,25,1,4,9,31,15,5,0,2,6,11,38,0.2859839,-2.969391,0.09917355
8,20,2,7,13,29,18,7,0,2,7,7,36,0.2709321,-2.794809,0.1039945
5,22,2,5,11,31,13,8,0,1,4,10,39,0.2935098,-2.991505,0.100551
3,18,1,6,15,32,16,12,0,2,3,7,41,0.3085616,-2.422094,0.1446281
9,23,2,6,10,26,10,8,0,0,7,9,35,0.2634062,-3.055724,0.0857438
6,26,2,6,9,32,13,5,1,2,5,11,38,0.2859839,-2.985811,0.0981405
5,16,1,4,11,28,16,8,0,2,5,11,39,0.2935098,-2.884733,0.107438
10,15,5,7,13,25,22,13,0,3,5,6,34,0.2558804,-2.156083,0.1339532
3,24,1,5,9,32,19,4,0,3,3,12,41,0.3085616,-3.632981,0.06267218
6,19,1,4,8,30,15,4,0,1,6,13,38,0.2859839,-3.166439,0.08677686
5,20,2,4,9,29,22,7,0,0,4,9,39,0.2935098,-3.103616,0.09331956
4,25,3,5,9,33,33,4,0,3,2,11,40,0.3010357,-3.340799,0.08023416
7,24,3,8,11,26,20,8,0,3,5,9,37,0.278458,-2.805745,0.106405
7,19,2,4,12,27,12,7,0,4,6,9,37,0.278458,-2.715897,0.1119146
1,18,1,4,14,35,27,11,0,3,1,11,43,0.3236134,-3.074922,0.1057163
3,23,2,4,10,30,22,5,0,1,2,11,41,0.3085616,-3.307364,0.08471074
6,20,2,4,10,31,15,7,0,3,5,12,38,0.2859839,-3.226648,0.08298898
7,22,2,7,9,29,18,6,0,4,6,10,37,0.278458,-3.165138,0.08436639
6,27,2,17,11,30,14,5,0,1,5,6,38,0.2859839,-3.12265,0.08953168
4,15,1,3,11,32,30,8,0,2,4,9,40,0.3010357,-3.085501,0.09710744
9,24,3,6,9,28,9,5,0,1,6,9,35,0.2634062,-3.369629,0.06749311
2,20,1,3,9,30,24,4,0,1,2,12,42,0.3160875,-3.414654,0.07954545
2,15,1,3,12,29,28,8,0,4,2,10,42,0.3160875,-2.669007,0.1311983
5,24,1,7,13,34,19,7,0,0,5,9,39,0.2935098,-2.783299,0.1139807
4,17,2,6,13,33,34,12,0,2,3,8,40,0.3010357,-2.705159,0.1222452
6,24,2,5,10,30,25,5,0,4,5,11,38,0.2859839,-3.270437,0.08023416
2,13,1,2,13,32,26,6,0,2,2,10,42,0.3160875,-2.942411,0.112259
3,23,1,5,9,32,32,5,0,3,3,11,41,0.3085616,-3.42947,0.07644628
3,16,1,2,10,29,15,7,0,1,3,11,41,0.3085616,-2.997011,0.1057163
4,31,2,13,9,32,28,3,0,3,3,10,40,0.3010357,-3.549206,0.06646006
6,23,2,6,10,31,16,7,0,2,5,10,38,0.2859839,-3.117177,0.08987603
