Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Segregating-Sites,Theta,Tajima-D,Tajima-Pi
0,5,0,3,14,34,39,31,1,5,0,3,39,0.3679369,-2.45583,0.1894587
3,12,1,6,14,32,17,9,0,3,3,7,36,0.3396341,-2.677486,0.1595442
2,9,1,2,15,34,15,10,0,8,2,7,37,0.3490684,-2.589424,0.1702279
1,5,1,1,15,33,28,25,1,4,1,5,38,0.3585026,-2.204349,0.2022792
1,5,1,2,17,32,30,29,1,8,1,4,38,0.3585026,-2.224449,0.2008547
2,6,1,2,16,31,21,21,1,10,2,5,37,0.3490684,-2.115042,0.2029915
2,6,1,3,17,32,24,24,1,8,2,4,37,0.3490684,-1.99129,0.2115385
1,4,1,1,15,31,34,26,0,8,1,4,38,0.3585026,-2.375199,0.1901709
0,5,0,1,17,32,39,22,0,11,0,5,39,0.3679369,-2.387226,0.1944444
3,7,1,3,15,31,33,21,0,6,3,5,36,0.3396341,-2.126838,0.1965812
0,6,0,1,18,36,39,26,0,10,0,6,39,0.3679369,-2.112814,0.2143875
1,7,1,3,15,33,35,26,1,10,1,5,38,0.3585026,-2.174199,0.204416
1,6,1,2,16,31,38,28,0,9,1,5,38,0.3585026,-2.4958,0.1816239
0,6,0,2,14,34,39,21,1,6,0,5,39,0.3679369,-2.612637,0.1780627
3,10,1,5,17,31,16,9,1,6,3,6,36,0.3396341,-2.43393,0.1759259
0,6,0,2,17,34,39,22,0,8,0,5,39,0.3679369,-2.524433,0.1844729
3,7,1,2,16,31,19,15,0,7,3,5,36,0.3396341,-2.25391,0.1880342
1,10,1,3,15,30,30,16,0,5,1,7,38,0.3585026,-2.6968,0.1673789
2,8,1,2,15,33,34,21,1,8,2,7,37,0.3490684,-2.352233,0.1866097
0,5,0,2,14,34,39,20,0,5,0,4,39,0.3679369,-2.279421,0.2022792
1,5,1,2,18,33,30,29,1,9,1,3,38,0.3585026,-2.264649,0.1980057
0,4,0,2,16,35,39,31,0,8,0,3,39,0.3679369,-2.014809,0.22151
3,10,1,2,16,32,32,12,1,6,3,8,36,0.3396341,-2.539824,0.1688034
1,7,1,2,16,33,36,14,1,6,1,6,38,0.3585026,-2.5159,0.1801994
3,13,1,8,16,31,34,11,1,8,3,6,36,0.3396341,-2.328036,0.1830484
1,12,1,4,13,35,26,7,0,4,1,8,38,0.3585026,-3.078701,0.1403134
2,6,1,2,16,32,27,22,0,8,2,5,37,0.3490684,-2.228481,0.1951567
1,4,1,1,14,33,36,30,0,7,1,4,38,0.3585026,-2.52595,0.1794872
1,6,1,3,15,32,34,23,1,10,1,4,38,0.3585026,-2.284749,0.1965812
0,3,0,1,17,32,39,21,1,10,0,3,39,0.3679369,-2.406827,0.1930199
1,7,1,2,16,31,31,22,0,10,1,4,38,0.3585026,-2.264649,0.1980057
1,9,1,2,14,34,26,11,0,4,1,8,38,0.3585026,-2.84755,0.1566952
1,6,1,2,16,38,38,25,1,7,1,4,38,0.3585026,-2.304849,0.1951567
2,10,1,4,15,35,23,12,0,8,2,7,37,0.3490684,-2.331608,0.1880342
0,4,0,3,16,32,39,29,1,11,0,2,39,0.3679369,-2.181417,0.2094017
2,3,1,1,15,27,33,33,1,5,2,3,37,0.3490684,-2.280044,0.1915954
2,11,1,5,16,30,28,18,0,8,2,5,37,0.3490684,-2.352233,0.1866097
