Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Segregating-Sites,Theta,Tajima-D,Tajima-Pi
3,16,1,3,14,37,28,14,0,0,3,10,45,0.2346691,-1.821013,0.1187724
3,13,1,2,13,37,20,14,0,0,3,10,45,0.2346691,-2.169473,0.09659498
1,16,1,3,14,39,47,16,0,0,1,9,47,0.2450988,-1.908828,0.1185036
4,11,1,5,16,35,30,22,0,0,4,6,44,0.2294542,-1.926726,0.1094086
2,9,2,4,16,39,46,20,0,0,1,4,46,0.239884,-1.752752,0.1259857
2,14,1,3,14,36,23,6,0,0,2,11,46,0.239884,-2.157465,0.09968638
1,23,1,5,11,40,24,6,0,0,1,12,47,0.2450988,-2.641796,0.06989247
4,21,1,6,14,36,27,12,0,0,4,8,44,0.2294542,-1.982814,0.105914
1,19,1,6,12,38,29,6,0,0,1,11,47,0.2450988,-2.153376,0.1022849
3,29,1,6,9,37,34,4,0,0,3,13,45,0.2346691,-2.641126,0.06657706
1,11,1,3,14,39,36,17,0,0,1,8,47,0.2450988,-1.884508,0.1201165
3,19,1,6,16,35,24,9,0,0,3,8,45,0.2346691,-1.991371,0.1079301
2,14,1,6,15,38,24,10,0,0,2,7,46,0.239884,-2.015437,0.1089158
2,23,1,5,12,38,31,5,0,0,2,13,46,0.239884,-2.476685,0.07894265
2,20,2,5,12,38,40,5,0,0,1,10,46,0.239884,-2.415323,0.08293011
1,8,1,4,15,39,24,23,0,0,1,4,47,0.2450988,-2.206744,0.09874552
1,15,1,5,16,38,33,13,0,0,1,8,47,0.2450988,-1.803443,0.1254928
0,17,0,3,13,38,48,8,0,0,0,10,48,0.2503137,-2.267319,0.0969086
1,14,1,2,12,39,27,7,0,0,1,12,47,0.2450988,-2.297943,0.09269713
3,15,1,6,13,37,22,7,0,0,3,9,45,0.2346691,-2.171585,0.09646057
2,15,1,4,13,38,29,16,0,0,2,8,46,0.239884,-2.299494,0.09045699
5,16,1,4,14,36,13,8,0,0,5,11,43,0.2242394,-1.879821,0.1096326
0,14,0,3,14,37,48,10,0,0,0,8,48,0.2503137,-2.316983,0.09354839
2,12,1,3,14,38,27,13,0,0,2,8,46,0.239884,-1.929254,0.1145161
0,14,0,5,13,38,48,20,0,0,0,8,48,0.2503137,-2.338173,0.0921147
1,18,1,3,13,36,44,8,0,0,1,11,47,0.2450988,-2.13446,0.1035394
2,10,1,2,16,34,41,22,0,0,2,8,46,0.239884,-1.79343,0.1233423
1,14,1,2,14,40,25,8,0,0,1,12,47,0.2450988,-2.024346,0.1108423
3,16,1,5,15,37,24,7,0,0,3,10,45,0.2346691,-2.01249,0.106586
1,13,1,3,13,36,24,13,0,0,1,8,47,0.2450988,-2.156078,0.1021057
2,14,1,5,16,36,33,19,0,0,2,7,46,0.239884,-1.752063,0.1260305
0,11,0,4,18,39,48,16,0,0,0,7,48,0.2503137,-1.690557,0.1359319
1,19,1,5,14,38,42,20,0,0,1,8,47,0.2450988,-2.08447,0.1068548
1,14,1,4,16,40,47,16,0,0,1,7,47,0.2450988,-1.859513,0.1217742
2,13,1,4,15,39,25,13,0,0,2,8,46,0.239884,-1.902365,0.1162634
1,13,1,3,15,38,47,14,0,0,1,8,47,0.2450988,-2.104061,0.1055556
1,16,1,5,15,38,24,16,0,0,1,9,47,0.2450988,-2.285783,0.09350358
5,20,2,4,14,39,22,9,0,0,4,12,43,0.2242394,-2.31854,0.0828853
3,23,1,7,13,36,34,14,0,0,3,9,45,0.2346691,-2.190592,0.0952509
1,17,1,4,14,39,46,6,0,0,1,11,47,0.2450988,-1.993947,0.1128584
1,19,1,4,11,38,37,5,0,0,1,11,47,0.2450988,-2.511415,0.07853943
1,20,1,4,12,40,24,11,0,0,1,12,47,0.2450988,-2.395897,0.08620072
1,12,1,2,14,39,47,15,0,1,1,9,47,0.2450988,-2.033804,0.1102151
1,16,1,5,13,39,24,5,0,0,1,11,47,0.2450988,-2.229037,0.09726703
5,18,1,5,14,36,13,8,0,0,5,9,43,0.2242394,-2.195081,0.09041219
4,15,1,3,15,34,27,13,0,0,4,9,44,0.2294542,-1.905872,0.1107079
0,17,0,5,14,39,48,10,0,0,0,9,48,0.2503137,-2.357376,0.09081541
3,14,2,3,15,35,27,10,0,0,2,8,45,0.2346691,-1.792151,0.1206093
1,9,1,1,15,36,47,11,0,0,1,9,47,0.2450988,-2.016915,0.1113351
1,15,1,4,15,37,42,9,0,0,1,8,47,0.2450988,-2.055422,0.1087814
6,19,1,6,11,34,15,7,0,0,6,11,42,0.2190245,-2.567908,0.06590502
1,14,1,5,16,38,27,18,0,0,1,6,47,0.2450988,-1.821682,0.1242832
