Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Segregating-Sites,Theta,Tajima-D,Tajima-Pi
5,9,2,5,7,15,6,6,0,0,4,4,19,0.2621519,-1.309492,0.1837121
10,16,5,5,5,11,3,2,0,0,6,8,14,0.1931646,-2.216686,0.09280303
7,14,2,4,7,11,6,2,0,0,4,7,17,0.234557,-1.676407,0.1439394
6,15,2,6,6,13,7,5,0,0,3,5,18,0.2483545,-1.522304,0.1616162
8,14,2,4,6,10,4,2,0,0,6,7,16,0.2207595,-1.835829,0.1268939
2,7,1,2,12,16,15,8,0,0,2,5,22,0.3035443,-0.182177,0.2910354
7,14,4,6,6,13,7,3,0,0,4,7,17,0.234557,-1.816557,0.1363636
4,12,2,2,9,13,9,5,1,1,3,7,20,0.2759494,-1.206939,0.2001263
9,16,3,5,5,12,6,2,0,0,4,7,15,0.206962,-1.661044,0.1268939
6,11,2,3,11,14,6,3,0,0,5,8,18,0.2483545,0.2172382,0.2607323
3,8,2,2,11,16,10,4,0,0,2,6,21,0.2897469,-0.8734481,0.2323232
6,11,2,3,8,15,8,4,0,0,4,7,18,0.2483545,-1.533384,0.1609848
4,8,1,2,11,15,6,4,0,0,4,7,20,0.2759494,-0.5939423,0.2386364
4,10,1,3,11,17,7,4,0,0,4,6,20,0.2759494,-0.4231071,0.2493687
11,13,2,3,9,11,3,2,0,0,6,7,13,0.1793671,0.520051,0.2013889
5,12,2,3,7,13,6,4,0,0,4,7,19,0.2621519,-1.952389,0.145202
6,13,2,4,8,15,7,2,0,0,4,8,18,0.2483545,-1.333946,0.1723485
5,13,2,4,6,13,7,5,0,0,4,5,19,0.2621519,-2.194793,0.1306818
8,14,2,4,10,14,3,3,0,0,6,6,16,0.2207595,-0.6134501,0.1893939
6,12,5,5,9,13,13,4,0,0,2,5,18,0.2483545,-2.009819,0.1338384
7,14,2,5,6,14,4,2,0,0,5,6,17,0.234557,-1.746482,0.1401515
9,14,2,5,7,14,6,4,0,0,6,7,15,0.206962,-1.333623,0.1426768
6,13,2,4,8,14,4,3,0,0,5,7,18,0.2483545,-1.400425,0.1685606
4,10,1,4,10,15,8,6,1,1,4,6,20,0.2759494,-0.3929597,0.2512626
7,13,2,5,6,13,4,3,0,0,5,7,17,0.234557,-1.641369,0.1458333
8,12,4,4,9,13,7,4,0,0,4,5,16,0.2207595,-0.7492701,0.1824495
6,11,2,4,9,13,8,4,0,0,5,5,18,0.2483545,-0.8907503,0.197601
7,13,3,5,8,15,8,6,0,0,4,7,17,0.234557,-1.267636,0.1660354
6,13,2,5,9,13,4,4,0,0,5,6,18,0.2483545,-0.9129101,0.1963384
5,10,2,4,10,16,9,4,0,0,4,5,19,0.2621519,-1.183021,0.1912879
6,13,2,4,9,13,6,3,0,0,4,6,18,0.2483545,-0.92399,0.1957071
7,15,2,5,7,12,5,4,0,0,6,7,17,0.234557,-0.8705446,0.1875
