Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Segregating-Sites,Theta,Tajima-D,Tajima-Pi
4,7,1,4,14,18,9,9,0,0,4,4,20,0.2759494,1.154607,0.3484848
2,6,1,2,12,18,12,11,0,0,2,4,22,0.3035443,0.185593,0.3162879
3,7,1,3,12,18,13,12,0,0,3,5,21,0.2897469,-0.2492756,0.2733586
3,7,1,2,12,16,7,5,0,0,3,6,21,0.2897469,-0.2780836,0.2714646
3,8,1,2,11,13,7,6,2,2,3,6,21,0.2897469,-0.460534,0.2594697
0,3,0,2,15,23,24,14,0,0,0,2,24,0.3311393,1.334397,0.4305556
2,6,1,2,13,18,9,6,1,1,2,4,22,0.3035443,0.09365052,0.3099747
1,5,1,2,14,18,17,13,0,0,1,4,23,0.3173418,0.09992711,0.3244949
3,6,1,2,11,19,12,6,0,0,3,5,21,0.2897469,0.4997313,0.322601
8,14,4,6,6,13,5,4,0,0,4,5,16,0.2207595,-1.317244,0.1534091
2,4,2,2,13,16,14,8,0,0,1,3,22,0.3035443,1.049853,0.3756313
4,10,1,2,11,15,10,4,0,0,4,7,20,0.2759494,0.01905471,0.2771465
3,7,1,2,13,19,10,8,0,0,3,5,21,0.2897469,0.2884729,0.3087121
4,9,1,3,12,15,7,6,0,0,4,6,20,0.2759494,-0.6039914,0.2380051
2,8,1,3,13,16,16,7,2,2,2,5,22,0.3035443,0.1396218,0.3131313
3,7,1,3,13,17,13,8,0,0,3,5,21,0.2897469,1.056685,0.3592172
0,3,0,2,13,17,24,13,1,1,0,2,24,0.3311393,0.631081,0.3781566
2,7,1,2,13,17,16,8,0,0,2,4,22,0.3035443,0.5625573,0.3421717
1,6,1,3,12,19,16,8,0,0,1,3,23,0.3173418,-0.4380467,0.2859848
5,6,1,2,11,16,6,6,0,0,5,5,19,0.2621519,0.2819401,0.2790404
6,11,2,5,10,14,7,7,1,1,4,3,18,0.2483545,-0.5140342,0.2190657
4,7,2,3,14,17,7,7,0,0,3,4,20,0.2759494,0.9335256,0.334596
3,8,1,2,13,19,10,8,0,0,3,5,21,0.2897469,0.3748968,0.3143939
3,10,1,2,9,16,15,4,1,1,3,7,21,0.2897469,-0.6045738,0.25
2,5,1,2,14,17,9,8,0,0,2,3,22,0.3035443,1.013076,0.3731061
1,7,1,2,13,16,14,6,0,0,1,5,23,0.3173418,0.1440233,0.3276515
5,8,2,3,10,14,7,7,0,0,4,4,19,0.2621519,-0.7087529,0.219697
3,10,1,2,11,15,10,4,0,0,3,8,21,0.2897469,-0.2492756,0.2733586
3,5,2,2,12,17,10,8,0,0,2,3,21,0.2897469,0.3268835,0.3112374
5,6,2,2,12,17,6,6,0,0,4,4,19,0.2621519,1.104005,0.3282828
3,8,1,3,10,16,11,5,0,0,3,5,21,0.2897469,-0.9406666,0.227904
5,9,2,3,9,17,6,4,1,1,4,4,19,0.2621519,-0.60336,0.2260101
2,7,2,4,13,18,12,7,2,2,1,4,22,0.3035443,0.2407585,0.3200758
4,10,3,3,11,16,11,4,0,0,2,6,20,0.2759494,-1.026055,0.2114899
1,5,1,3,13,19,13,8,0,0,1,2,23,0.3173418,-0.4204082,0.2872475
2,6,1,2,15,18,17,9,1,1,2,4,22,0.3035443,0.05687352,0.3074495
6,10,2,4,9,16,4,3,0,0,5,7,18,0.2483545,-0.7467118,0.2058081
2,4,1,2,14,17,12,7,1,1,2,3,22,0.3035443,-0.06265174,0.2992424
4,6,2,2,12,14,11,10,0,0,3,4,20,0.2759494,0.2401356,0.2910354
4,7,1,3,14,17,6,5,1,1,4,5,20,0.2759494,1.154607,0.3484848
5,8,3,5,9,15,16,14,0,0,2,3,19,0.2621519,-0.8246851,0.2127525
5,8,3,5,10,16,7,6,1,1,3,4,19,0.2621519,0.1343901,0.270202
2,5,1,2,16,18,10,9,1,1,2,4,22,0.3035443,0.516586,0.3390152
4,5,3,3,13,19,14,14,1,1,2,2,20,0.2759494,0.9234765,0.3339646
4,7,1,2,12,15,7,6,0,0,4,5,20,0.2759494,0.501413,0.3074495
2,4,1,3,13,19,13,13,0,0,2,2,22,0.3035443,-0.1637885,0.292298
2,5,1,2,14,20,12,8,0,0,2,4,22,0.3035443,0.8291906,0.3604798
2,5,1,2,15,16,15,10,0,0,2,4,22,0.3035443,0.6453055,0.3478535
3,6,1,4,13,16,13,9,1,1,3,3,21,0.2897469,-0.1244411,0.2815657
2,6,1,2,11,16,13,8,1,1,2,5,22,0.3035443,-0.07184599,0.2986111
3,5,2,2,14,14,14,7,0,0,2,4,21,0.2897469,0.3844995,0.3150253
2,6,2,2,13,18,11,8,0,0,1,4,22,0.3035443,0.3051183,0.3244949
2,6,1,2,11,19,11,6,1,1,2,5,22,0.3035443,-0.2281482,0.2878788
6,9,2,2,10,13,7,5,0,0,5,7,18,0.2483545,-0.536194,0.217803
4,7,2,4,11,18,13,11,0,0,3,3,20,0.2759494,0.88328,0.3314394
6,9,4,5,9,15,7,5,0,0,3,4,18,0.2483545,-0.3810756,0.2266414
6,11,5,7,8,15,8,6,0,0,2,4,18,0.2483545,-0.9129101,0.1963384
3,9,1,3,11,16,13,4,0,0,3,7,21,0.2897469,0.07721457,0.2948232
4,9,1,3,11,16,9,6,0,0,4,5,20,0.2759494,-0.5436966,0.2417929
1,6,1,2,15,18,12,10,0,0,1,4,23,0.3173418,0.3997814,0.3459596
5,10,1,2,9,16,8,3,0,0,5,9,19,0.2621519,-0.60336,0.2260101
3,7,2,2,11,17,11,10,0,0,2,4,21,0.2897469,0.1252278,0.2979798
2,5,1,2,14,20,14,7,1,1,2,3,22,0.3035443,1.049853,0.3756313
4,7,1,3,12,16,6,5,0,0,4,5,20,0.2759494,0.3205286,0.2960859
4,9,1,3,12,16,7,3,0,0,4,6,20,0.2759494,-0.7547284,0.2285354
4,7,1,2,14,17,8,6,0,0,4,6,20,0.2759494,0.7727395,0.3244949
3,6,1,2,12,16,11,10,0,0,3,4,21,0.2897469,-0.03801726,0.2872475
3,10,2,2,7,14,17,4,1,1,2,6,21,0.2897469,-1.862521,0.167298
2,5,1,2,13,17,12,6,0,0,2,4,22,0.3035443,-0.1729827,0.2916667
6,9,2,2,9,13,7,4,0,0,4,6,18,0.2483545,-0.6137532,0.2133838
1,4,1,2,16,20,16,8,0,0,1,3,23,0.3173418,0.8936589,0.3813131
3,5,2,3,16,20,7,7,0,0,2,2,21,0.2897469,0.5189366,0.3238636
2,5,1,2,13,17,10,7,0,0,2,4,22,0.3035443,0.2775355,0.322601
5,9,3,4,12,15,10,6,0,0,3,5,19,0.2621519,0.5665009,0.2960859
5,10,2,4,11,15,9,6,0,0,4,5,19,0.2621519,-0.6244386,0.2247475
3,7,1,2,12,19,7,6,0,0,3,5,21,0.2897469,0.4229101,0.3175505
1,5,1,2,15,19,19,9,1,1,1,4,23,0.3173418,1.061225,0.3933081
2,5,2,2,16,19,17,13,1,1,1,3,22,0.3035443,0.5809458,0.3434343
3,7,1,2,12,18,7,6,1,1,3,5,21,0.2897469,0.3556915,0.3131313
5,9,2,4,10,15,10,7,1,1,3,4,19,0.2621519,-0.002620627,0.2619949
