Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.07461692,1,0.1492338,0.03730846,1.676536
Number Invariant Sites Excluding Ambiguous,0.1392405,0.9573618,0.278481,0.09093937,1.269517
Max Invariant Block Length,0.07461692,1,0.1492338,0.03730846,1.367329
Max Invariant Block Length Excluding Ambiguous,0.5536309,1,1.107262,0.2768155,0
Max Pairwise Difference,0.9953364,0.02798135,0.05596269,0.9836775,1.927874
Max Pairwise Difference Excluding Ambiguous,0.8807462,0.2631579,0.5263158,0.8087941,1.010777
Max Variable Block Length,1,0.07461692,0.1492338,0.9626915,2.555134
Max Variable Block Length Excluding Ambiguous,0.7461692,0.4696869,0.9393738,0.6382412,0.3764344
Min Pairwise Difference,0.8421053,0.3197868,0.6395736,0.7611592,0.5983242
Min Pairwise Difference Excluding Ambiguous,0.5696203,0.5842771,1.139241,0.4926716,0
Number Invariable Block,0.07461692,1,0.1492338,0.03730846,1.484752
Number Invariable Block Excluding Ambiguous,0.2671552,0.9227182,0.5343105,0.1722185,0.6850826
Segregating-Sites,1,0.07461692,0.1492338,0.9626915,1.676536
Theta,1,0.07461692,0.1492338,0.9626915,1.676535
Tajima-D,0.5882745,0.4137242,0.8274484,0.5872751,0.2290575
Tajima-Pi,0.8221186,0.1932045,0.3864091,0.814457,0.8885477
