Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Segregating-Sites,Theta,Tajima-D,Tajima-Pi
1,24,1,4,13,40,32,8,0,0,1,16,60,0.2073417,-2.626299,0.04585435
0,19,0,4,9,40,61,15,0,0,0,10,61,0.2107974,-2.631704,0.04642182
0,27,0,6,9,40,61,8,0,0,0,13,61,0.2107974,-2.826785,0.03423707
0,23,0,6,14,40,61,14,0,0,0,11,61,0.2107974,-2.474604,0.05623424
0,28,0,6,12,40,61,7,0,0,0,14,61,0.2107974,-2.59347,0.0488099
0,20,0,3,12,40,61,7,0,0,0,16,61,0.2107974,-2.424382,0.05937106
0,15,0,2,12,39,61,21,0,0,0,11,61,0.2107974,-2.623502,0.04693411
0,26,0,7,10,40,61,11,0,0,0,14,61,0.2107974,-2.739591,0.03968317
0,27,0,5,8,40,61,9,0,0,0,12,61,0.2107974,-2.951203,0.02646595
0,22,0,3,11,40,61,16,0,0,0,14,61,0.2107974,-2.779718,0.03717686
1,23,1,4,13,40,36,11,0,0,1,14,60,0.2073417,-2.647704,0.04453815
0,26,0,5,13,40,61,18,0,0,0,12,61,0.2107974,-2.482049,0.05576923
0,26,0,5,12,40,61,11,0,0,0,16,61,0.2107974,-2.75486,0.03872951
0,21,0,5,11,40,61,17,0,0,0,8,61,0.2107974,-2.523437,0.05318411
0,20,0,3,13,40,61,16,0,0,0,14,61,0.2107974,-2.184884,0.07433008
0,17,0,3,13,40,61,21,0,0,0,9,61,0.2107974,-2.364949,0.06308323
0,30,0,7,10,40,61,6,0,0,0,16,61,0.2107974,-2.8736,0.03131305
0,28,0,5,13,40,61,9,0,0,0,12,61,0.2107974,-2.587034,0.04921185
1,18,1,4,16,40,58,27,0,0,1,11,60,0.2073417,-2.206389,0.07167402
1,22,1,4,12,40,50,8,0,0,1,14,60,0.2073417,-2.304829,0.06562106
0,29,0,8,15,40,61,9,0,0,0,11,61,0.2107974,-2.334286,0.06499842
1,20,1,3,11,40,58,7,0,0,1,11,60,0.2073417,-2.605021,0.04716267
0,23,0,4,15,40,61,14,0,0,0,12,61,0.2107974,-2.25214,0.07012926
0,22,0,3,14,40,61,10,0,0,0,13,61,0.2107974,-2.31334,0.06630675
1,33,1,8,10,38,34,8,0,0,1,14,60,0.2073417,-2.825102,0.0336302
0,27,0,4,10,40,61,7,0,0,0,18,61,0.2107974,-2.786658,0.03674338
0,22,0,6,13,40,61,12,0,0,0,10,61,0.2107974,-2.396117,0.06113651
0,18,0,4,12,40,61,8,0,0,0,11,61,0.2107974,-2.662493,0.04449874
1,16,1,2,12,40,32,17,0,0,1,13,60,0.2073417,-2.595664,0.04773802
0,33,0,11,10,40,61,5,0,0,0,15,61,0.2107974,-2.581735,0.04954288
0,22,0,4,10,40,61,6,0,0,0,15,61,0.2107974,-2.836754,0.03361444
1,22,1,8,13,40,31,9,0,0,1,11,60,0.2073417,-2.579001,0.04876261
1,30,1,11,12,40,39,6,0,0,1,13,60,0.2073417,-2.476843,0.05504414
0,29,0,10,11,40,61,8,0,0,0,11,61,0.2107974,-2.694291,0.04251261
1,17,1,4,15,40,36,8,0,0,1,13,60,0.2073417,-2.492737,0.05406683
0,26,0,7,15,40,61,12,0,0,0,15,61,0.2107974,-2.231446,0.07142182
0,34,0,6,9,40,61,7,0,0,0,14,61,0.2107974,-2.708424,0.04162989
0,18,0,3,13,40,61,10,0,0,0,12,61,0.2107974,-2.730759,0.04023487
0,34,0,8,9,40,61,5,0,0,0,14,61,0.2107974,-2.859214,0.03221154
0,34,0,10,10,40,61,4,0,0,0,16,61,0.2107974,-2.881549,0.03081652
0,23,0,8,13,40,61,19,0,0,0,9,61,0.2107974,-2.784261,0.03689313
0,17,0,6,12,40,61,9,0,0,0,11,61,0.2107974,-2.825145,0.03433953
1,35,1,9,9,40,59,5,0,0,1,13,60,0.2073417,-2.852148,0.03196721
2,22,1,4,15,39,30,9,0,0,2,15,59,0.203886,-2.893173,0.02879887
1,29,1,7,13,39,32,10,0,0,1,12,60,0.2073417,-2.470306,0.05544609
1,18,1,2,12,38,53,11,0,0,1,13,60,0.2073417,-2.377377,0.06116015
0,27,0,6,13,40,61,7,0,0,0,15,61,0.2107974,-2.656057,0.04490069
2,25,1,3,12,39,26,4,0,0,2,16,59,0.203886,-2.566935,0.04854193
0,23,0,3,13,40,61,7,0,0,0,16,61,0.2107974,-2.611262,0.04769861
2,27,1,5,11,38,35,9,0,0,2,11,59,0.203886,-2.801878,0.03432377
