Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Segregating-Sites,Theta,Tajima-D,Tajima-Pi
2,7,1,3,13,37,23,23,0,0,2,4,42,0.2012157,-1.617319,0.1025677
0,9,0,3,12,39,44,11,0,0,0,6,44,0.2107974,-2.238486,0.06822552
0,5,0,3,16,39,44,14,0,0,0,3,44,0.2107974,-1.837218,0.09378278
1,9,1,4,14,40,27,19,0,0,1,6,43,0.2060066,-1.897548,0.0877076
0,7,0,4,16,40,44,17,0,0,0,4,44,0.2107974,-1.584345,0.1098885
0,8,0,4,13,40,44,26,0,0,0,4,44,0.2107974,-1.921451,0.08841783
0,12,0,3,12,40,44,13,0,0,0,10,44,0.2107974,-1.88817,0.09053759
2,11,1,5,13,38,33,13,0,0,2,6,42,0.2012157,-1.775857,0.09289773
0,12,0,3,14,40,44,11,0,0,0,8,44,0.2107974,-2.008945,0.08284528
3,14,1,4,12,38,27,15,0,0,3,7,41,0.1964249,-2.046192,0.07437719
2,8,1,3,15,35,21,20,0,0,2,5,42,0.2012157,-1.337145,0.1196569
0,12,0,5,16,40,44,19,0,0,0,7,44,0.2107974,-1.712325,0.1017373
0,11,0,3,11,38,44,14,0,0,0,7,44,0.2107974,-2.243461,0.06790865
1,13,1,4,12,40,28,8,0,0,1,9,43,0.2060066,-2.162374,0.07119755
0,11,0,3,15,40,44,20,0,0,0,6,44,0.2107974,-1.816459,0.0951049
1,10,1,4,14,40,29,18,0,0,1,6,43,0.2060066,-1.7831,0.09484266
0,8,0,4,16,40,44,17,0,0,0,4,44,0.2107974,-1.85849,0.09242788
0,10,0,3,13,40,44,11,0,0,0,8,44,0.2107974,-1.896061,0.09003497
0,8,0,3,16,38,44,22,0,0,0,6,44,0.2107974,-1.683504,0.103573
0,5,0,3,15,39,44,22,0,0,0,3,44,0.2107974,-1.868269,0.09180507
1,11,1,3,16,40,23,19,0,0,1,7,43,0.2060066,-1.708086,0.09951923
0,6,0,3,14,40,44,10,0,0,0,4,44,0.2107974,-1.952331,0.08645105
1,5,1,3,16,40,41,26,0,0,1,3,43,0.2060066,-1.583648,0.1072771
1,7,1,3,14,40,28,23,0,0,1,5,43,0.2060066,-1.655857,0.1027753
0,11,0,3,16,38,44,21,0,0,0,6,44,0.2107974,-1.326497,0.1263112
1,8,1,3,17,38,33,15,0,0,1,6,43,0.2060066,-1.671982,0.1017701
0,6,0,3,16,40,44,24,0,0,0,4,44,0.2107974,-1.31466,0.1270651
0,9,0,4,12,38,44,19,0,0,0,5,44,0.2107974,-2.020096,0.08213505
0,8,0,4,14,40,44,20,0,0,0,4,44,0.2107974,-1.810798,0.09546547
0,6,0,4,17,40,44,19,0,0,0,3,44,0.2107974,-1.524987,0.1136691
3,8,1,3,15,36,12,10,0,0,3,6,41,0.1964249,-1.660211,0.09739948
0,8,0,3,13,40,44,20,0,0,0,6,44,0.2107974,-1.897777,0.0899257
0,8,0,3,13,40,44,15,0,0,0,5,44,0.2107974,-1.710781,0.1018357
0,10,0,4,13,40,44,26,0,0,0,4,44,0.2107974,-1.662574,0.104906
0,14,0,6,16,39,44,12,0,0,0,8,44,0.2107974,-1.883881,0.09081075
0,8,0,3,16,39,44,14,0,0,0,6,44,0.2107974,-1.827096,0.09442745
0,11,0,3,15,40,44,18,0,0,0,6,44,0.2107974,-1.679387,0.1038352
0,11,0,4,15,40,44,13,0,0,0,7,44,0.2107974,-1.699459,0.1025568
1,5,1,3,17,40,28,26,0,0,1,3,43,0.2060066,-1.590658,0.10684
1,8,1,5,13,40,27,12,0,0,1,4,43,0.2060066,-1.997449,0.08147946
1,8,1,3,14,39,22,14,0,0,1,4,43,0.2060066,-1.530542,0.1105878
0,12,0,4,16,40,44,14,0,0,0,6,44,0.2107974,-1.073281,0.1424388
0,7,0,6,15,38,44,23,0,0,0,2,44,0.2107974,-1.55295,0.1118881
0,7,0,4,14,40,44,19,0,0,0,4,44,0.2107974,-1.830699,0.09419799
0,10,0,3,13,40,44,22,0,0,0,6,44,0.2107974,-1.95885,0.08603584
0,7,0,4,15,39,44,15,0,0,0,4,44,0.2107974,-1.503886,0.1150131
0,8,0,4,18,40,44,26,0,0,0,5,44,0.2107974,-1.400266,0.1216128
1,11,1,3,11,39,39,17,0,0,1,7,43,0.2060066,-1.972036,0.08306381
0,9,0,4,14,40,44,23,0,0,0,4,44,0.2107974,-1.610765,0.1082059
0,4,0,3,16,40,44,26,0,0,0,2,44,0.2107974,-1.465114,0.1174825
0,8,0,3,14,40,44,11,0,0,0,6,44,0.2107974,-1.688994,0.1032233
0,8,0,3,16,40,44,19,0,0,0,5,44,0.2107974,-1.497366,0.1154283
0,9,0,4,14,38,44,14,0,0,0,5,44,0.2107974,-1.662917,0.1048842
0,10,0,4,13,39,44,20,0,0,0,5,44,0.2107974,-1.838075,0.09372815
0,7,0,3,16,39,44,24,0,0,0,5,44,0.2107974,-1.290814,0.1285839
1,7,1,4,14,40,27,16,0,0,1,4,43,0.2060066,-1.585576,0.1071569
0,8,0,3,15,40,44,22,0,0,0,5,44,0.2107974,-1.450875,0.1183894
0,10,0,3,14,40,44,12,0,0,0,7,44,0.2107974,-1.807367,0.095684
0,5,0,4,17,37,44,25,0,0,0,2,44,0.2107974,-1.35103,0.1247487
1,8,1,3,17,40,27,23,0,0,1,6,43,0.2060066,-1.550172,0.1093641
0,9,0,5,15,40,44,15,0,0,0,4,44,0.2107974,-2.046344,0.08046329
1,8,1,4,14,37,40,21,0,0,1,5,43,0.2060066,-2.062297,0.07743663
1,9,1,3,12,39,38,17,0,0,1,7,43,0.2060066,-2.074741,0.07666084
0,7,0,3,13,39,44,11,0,0,0,5,44,0.2107974,-1.670466,0.1044034
0,10,0,7,14,40,44,15,0,0,0,4,44,0.2107974,-1.666348,0.1046656
0,8,0,3,15,40,44,24,0,0,0,6,44,0.2107974,-1.492906,0.1157124
1,9,1,3,12,40,28,16,0,0,1,6,43,0.2060066,-1.968881,0.08326049
0,9,0,4,13,39,44,24,0,0,0,6,44,0.2107974,-1.928142,0.0879917
2,15,1,4,14,38,37,15,0,0,2,8,42,0.2012157,-1.605854,0.103267
0,6,0,4,15,40,44,18,0,0,0,3,44,0.2107974,-1.599957,0.1088942
1,7,1,3,14,39,23,15,0,0,1,5,43,0.2060066,-2.025141,0.07975306
0,8,0,3,14,40,44,13,0,0,0,6,44,0.2107974,-1.612823,0.1080747
0,9,0,3,13,40,44,9,0,0,0,6,44,0.2107974,-1.942381,0.08708479
0,10,0,3,14,39,44,9,0,0,0,6,44,0.2107974,-2.001053,0.0833479
1,14,1,5,12,40,26,18,0,0,1,7,43,0.2060066,-2.243346,0.06614948
0,7,0,3,15,40,44,22,0,0,0,4,44,0.2107974,-1.590349,0.1095061
0,6,0,3,15,40,44,23,0,0,0,4,44,0.2107974,-1.366127,0.1237872
2,13,1,4,14,38,25,10,0,0,2,8,42,0.2012157,-1.779978,0.09264642
1,8,1,3,14,40,27,12,0,0,1,6,43,0.2060066,-1.811843,0.0930507
0,9,0,4,14,40,44,11,0,0,0,6,44,0.2107974,-1.662231,0.1049279
0,11,0,4,12,40,44,18,0,0,0,7,44,0.2107974,-1.991103,0.08398164
2,7,1,3,19,37,23,20,0,0,2,4,42,0.2012157,-1.488697,0.110413
0,9,0,3,12,39,44,9,0,0,0,6,44,0.2107974,-1.89709,0.08996941
0,12,0,3,14,40,44,18,0,0,0,6,44,0.2107974,-1.827611,0.09439467
0,11,0,5,16,40,44,21,0,0,0,5,44,0.2107974,-1.733941,0.1003606
0,8,0,3,17,40,44,20,0,0,0,6,44,0.2107974,-1.414677,0.1206949
1,9,1,4,15,40,23,14,0,0,1,6,43,0.2060066,-1.583297,0.107299
0,4,0,3,15,40,44,26,0,0,0,2,44,0.2107974,-1.401982,0.1215035
0,12,0,3,13,40,44,15,0,0,0,8,44,0.2107974,-1.773399,0.09784747
1,10,1,3,16,40,28,11,0,0,1,8,43,0.2060066,-1.50881,0.1119427
0,6,0,4,16,40,44,25,0,0,0,3,44,0.2107974,-1.244151,0.1315559
0,11,0,3,15,40,44,12,0,0,0,8,44,0.2107974,-1.489303,0.1159419
0,9,0,3,15,38,44,18,0,0,0,7,44,0.2107974,-1.766708,0.0982736
0,10,0,4,13,40,44,15,0,0,0,6,44,0.2107974,-1.535452,0.1130026
1,9,1,4,16,39,36,12,0,0,1,6,43,0.2060066,-1.771006,0.09559659
1,7,1,4,16,40,26,25,0,0,1,3,43,0.2060066,-1.435724,0.1164991
0,7,0,3,16,40,44,22,0,0,0,5,44,0.2107974,-1.318263,0.1268357
2,11,1,4,12,39,25,12,0,0,2,8,42,0.2012157,-2.140586,0.07065122
0,13,0,6,14,40,44,18,0,0,0,8,44,0.2107974,-1.810627,0.0954764
0,8,0,3,18,40,44,21,0,0,0,5,44,0.2107974,-1.300764,0.1279502
0,5,0,3,16,40,44,20,0,0,0,3,44,0.2107974,-1.241406,0.1317308
0,11,0,4,15,40,44,21,0,0,0,6,44,0.2107974,-1.701517,0.1024257
0,7,0,4,15,39,44,17,0,0,0,4,44,0.2107974,-1.871014,0.09163024
0,6,0,3,15,39,44,22,0,0,0,4,44,0.2107974,-1.343996,0.1251967
0,7,0,4,15,40,44,19,0,0,0,4,44,0.2107974,-1.551921,0.1119537
0,8,0,3,13,39,44,16,0,0,0,6,44,0.2107974,-1.987157,0.08423295
0,4,0,3,16,40,44,26,0,0,0,2,44,0.2107974,-1.561013,0.1113746
0,7,0,4,16,39,44,19,0,0,0,4,44,0.2107974,-1.447787,0.1185861
2,7,1,3,15,39,28,20,0,0,2,5,42,0.2012157,-1.772991,0.09307255
1,13,1,3,13,39,31,11,0,0,1,8,43,0.2060066,-2.052658,0.07803759
1,6,1,4,15,38,40,22,0,0,1,3,43,0.2060066,-1.839886,0.09130245
0,8,0,3,14,39,44,10,0,0,0,6,44,0.2107974,-1.814401,0.09523601
0,8,0,3,16,40,44,21,0,0,0,5,44,0.2107974,-1.612995,0.1080638
0,8,0,6,16,40,44,25,0,0,0,3,44,0.2107974,-1.584173,0.1098995
