Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Segregating-Sites,Theta,Tajima-D,Tajima-Pi
8,19,2,8,14,35,25,9,0,0,7,9,50,0.1916047,-2.123491,0.07341447
3,15,1,3,17,36,30,20,0,0,3,10,55,0.2107652,-1.845787,0.09835024
2,16,2,6,14,38,56,15,0,0,1,5,56,0.2145973,-2.106673,0.08408384
2,17,1,5,14,36,36,10,0,0,2,10,56,0.2145973,-2.094232,0.08485463
0,13,0,5,17,38,58,15,0,0,0,6,58,0.2222615,-1.980631,0.0954023
8,22,2,4,10,34,24,5,0,0,6,11,50,0.1916047,-2.353328,0.06062204
4,22,2,5,13,36,23,6,0,0,3,16,54,0.2069331,-2.117526,0.08018932
0,13,0,5,16,36,58,12,0,0,0,7,58,0.2222615,-2.072048,0.08954699
2,16,1,3,15,35,39,10,0,0,2,10,56,0.2145973,-2.52969,0.05787694
4,18,1,4,16,38,27,15,0,0,4,11,54,0.2069331,-2.197729,0.07538878
2,11,1,3,16,40,29,11,0,0,2,7,56,0.2145973,-1.915465,0.09592968
1,13,1,6,16,38,32,15,0,0,1,5,57,0.2184294,-1.908559,0.09818796
2,17,1,3,14,39,28,10,0,0,2,11,56,0.2145973,-2.439761,0.06344828
3,20,1,4,13,36,24,8,0,0,3,10,55,0.2107652,-2.391546,0.06511156
0,15,0,4,15,40,58,13,0,0,0,10,58,0.2222615,-2.289509,0.07561866
2,15,1,4,16,39,25,18,0,0,2,10,56,0.2145973,-1.934018,0.09478026
3,16,1,3,14,36,28,11,0,0,3,11,55,0.2107652,-2.120442,0.08162272
0,12,0,5,14,40,58,27,0,0,0,4,58,0.2222615,-2.231871,0.07931034
1,11,1,4,16,39,30,26,0,0,1,5,57,0.2184294,-1.896109,0.09897228
3,15,1,4,14,38,27,17,0,0,3,7,55,0.2107652,-2.209034,0.07622718
2,14,1,2,13,38,37,21,0,0,2,9,56,0.2145973,-2.152948,0.08121704
0,17,0,8,14,39,58,25,0,0,0,8,58,0.2222615,-2.269874,0.07687627
1,15,1,5,13,36,42,12,0,0,1,9,57,0.2184294,-2.389355,0.06789723
5,19,1,3,12,36,17,8,0,0,5,14,53,0.203101,-2.268347,0.06970926
1,11,1,3,14,37,54,18,0,0,1,7,57,0.2184294,-2.179007,0.08114943
2,14,1,5,14,38,33,18,0,0,2,7,56,0.2145973,-2.2121,0.0775524
1,17,1,4,13,38,31,11,0,0,1,10,57,0.2184294,-2.329685,0.07165652
2,18,1,4,16,37,34,7,0,0,2,8,56,0.2145973,-2.09947,0.08453009
0,11,0,4,15,40,58,23,0,0,0,8,58,0.2222615,-1.969863,0.09609195
4,11,1,4,15,40,41,19,0,0,4,7,54,0.2069331,-2.256695,0.07185936
2,21,1,5,12,39,43,9,0,0,2,11,56,0.2145973,-2.381482,0.06705882
0,12,0,3,13,39,58,17,0,0,0,8,58,0.2222615,-2.082816,0.08885734
3,19,2,3,15,35,30,10,0,0,2,12,55,0.2107652,-2.166848,0.07879648
3,19,2,7,15,37,42,12,0,0,2,9,55,0.2107652,-2.592264,0.05288709
3,11,2,3,16,37,52,12,0,0,2,8,55,0.2107652,-2.059161,0.08535497
3,17,3,5,12,35,28,11,0,0,1,11,55,0.2107652,-2.351358,0.06755916
2,19,1,4,14,37,30,17,0,0,2,10,56,0.2145973,-2.090521,0.08508452
1,8,1,3,17,39,56,23,0,0,1,4,57,0.2184294,-1.965224,0.09461799
0,9,0,3,18,38,58,21,0,0,0,5,58,0.2222615,-1.868733,0.1025693
2,18,1,3,13,39,24,11,0,0,2,11,56,0.2145973,-2.359654,0.06841109
6,14,2,3,14,37,23,8,0,0,5,10,52,0.1992689,-2.237812,0.07002028
3,11,2,6,15,37,52,19,0,0,2,5,55,0.2107652,-1.977009,0.09035835
3,7,1,3,16,37,28,28,0,0,3,5,55,0.2107652,-1.975454,0.09045301
1,10,1,3,16,39,46,14,0,0,1,6,57,0.2184294,-1.873787,0.1003786
1,10,1,3,16,37,29,20,0,0,1,5,57,0.2184294,-2.062242,0.08850575
3,14,2,4,17,38,32,12,0,0,2,9,55,0.2107652,-2.001876,0.08884381
4,21,2,6,13,33,29,10,0,0,3,12,54,0.2069331,-2.253758,0.07203516
1,10,1,4,15,35,56,21,0,0,1,5,57,0.2184294,-2.17085,0.08166329
2,25,1,6,15,37,40,9,0,0,2,11,56,0.2145973,-2.520086,0.05847194
1,20,1,4,13,40,29,15,0,0,1,12,57,0.2184294,-2.865215,0.03791751
2,15,1,4,14,40,27,18,0,0,2,8,56,0.2145973,-2.173247,0.07995943
1,21,1,4,14,39,51,7,0,0,1,14,57,0.2184294,-2.360164,0.06973631
3,16,1,4,14,38,45,9,0,0,3,9,55,0.2107652,-2.265209,0.07280595
4,11,2,4,16,36,28,15,0,0,3,7,54,0.2069331,-2.012245,0.08649087
2,13,1,4,16,38,26,13,0,0,2,8,56,0.2145973,-2.137232,0.08219067
2,17,1,3,14,33,35,13,0,0,2,10,56,0.2145973,-2.330624,0.0702096
5,23,2,5,16,34,17,17,0,0,4,10,53,0.203101,-2.079784,0.08079784
1,9,1,4,15,38,30,21,0,0,1,6,57,0.2184294,-2.109678,0.08551724
2,9,1,2,16,39,30,25,0,0,2,7,56,0.2145973,-1.798033,0.1032049
2,10,1,4,15,38,29,19,0,0,2,6,56,0.2145973,-2.19944,0.07833671
6,23,1,6,14,37,24,9,0,0,6,11,52,0.1992689,-2.066662,0.07990534
1,15,1,4,15,38,29,17,0,0,1,7,57,0.2184294,-2.54175,0.05829615
1,14,1,4,14,37,32,14,0,0,1,8,57,0.2184294,-2.290405,0.07413117
2,10,2,3,14,38,55,27,0,0,1,6,56,0.2145973,-2.225633,0.076714
2,19,1,4,12,38,33,8,0,0,2,12,56,0.2145973,-2.321674,0.07076403
2,15,1,5,17,37,32,16,0,0,2,9,56,0.2145973,-2.096633,0.08470588
2,15,1,3,14,38,45,27,0,0,2,8,56,0.2145973,-2.228689,0.07652468
2,12,1,3,18,37,51,20,0,0,2,8,56,0.2145973,-1.838195,0.1007167
2,20,1,4,11,38,35,9,0,0,2,11,56,0.2145973,-2.836585,0.0388641
1,14,1,4,18,38,55,16,0,0,1,6,57,0.2184294,-1.948267,0.09568627
1,22,1,7,12,35,49,11,0,0,1,10,57,0.2184294,-2.627607,0.05288709
1,20,1,3,14,37,54,14,0,0,1,12,57,0.2184294,-2.082633,0.0872211
5,21,3,7,12,39,21,8,0,0,3,9,53,0.203101,-2.333194,0.06589588
3,14,1,6,16,37,29,17,0,0,3,7,55,0.2107652,-2.048281,0.08601758
5,19,2,4,15,38,27,18,0,0,4,10,53,0.203101,-2.197521,0.07387424
3,24,1,6,13,39,28,8,0,0,3,12,55,0.2107652,-2.303842,0.07045301
0,19,0,6,13,39,58,10,0,0,0,11,58,0.2222615,-2.481423,0.06332657
5,18,2,4,14,37,29,10,0,0,4,10,53,0.203101,-2.040232,0.08312373
4,15,2,5,13,37,21,17,0,0,3,7,54,0.2069331,-2.187562,0.0759973
1,14,1,4,15,38,55,11,0,0,1,7,57,0.2184294,-2.188022,0.08058147
2,15,1,5,15,37,52,16,0,0,2,7,56,0.2145973,-2.323639,0.07064233
2,13,1,3,17,37,32,27,0,0,2,9,56,0.2145973,-1.876393,0.09835024
2,13,1,4,15,33,36,17,0,0,2,7,56,0.2145973,-2.155785,0.08104124
3,20,2,6,13,38,28,13,0,0,2,7,55,0.2107652,-2.313834,0.06984449
1,17,1,5,13,37,54,10,0,0,1,9,57,0.2184294,-2.304357,0.0732522
0,18,0,3,13,40,58,13,0,0,0,11,58,0.2222615,-2.271141,0.07679513
0,14,0,5,14,38,58,9,0,0,0,8,58,0.2222615,-2.312944,0.07411765
3,21,1,6,16,36,22,9,0,0,3,7,55,0.2107652,-2.179503,0.07802569
2,12,1,4,15,38,28,10,0,0,2,7,56,0.2145973,-2.037262,0.08838404
2,20,1,4,14,39,51,19,0,0,2,11,56,0.2145973,-2.32604,0.07049358
0,15,0,3,11,39,58,10,0,0,0,12,58,0.2222615,-2.393384,0.06896552
3,12,1,3,19,35,37,26,0,0,3,8,55,0.2107652,-1.704129,0.1069777
2,12,1,3,14,39,30,17,0,0,2,7,56,0.2145973,-2.288715,0.07280595
2,18,1,5,17,38,52,18,0,0,2,9,56,0.2145973,-2.259466,0.07461799
4,17,1,4,16,37,23,10,0,0,4,11,54,0.2069331,-1.933623,0.09119675
2,17,1,4,15,39,29,17,0,0,2,10,56,0.2145973,-2.070876,0.08630156
0,15,0,4,18,39,58,13,0,0,0,8,58,0.2222615,-1.916448,0.09951318
1,15,1,4,15,37,56,27,0,0,1,7,57,0.2184294,-2.160333,0.0823259
2,10,1,4,19,36,34,29,0,0,2,6,56,0.2145973,-1.648951,0.1124408
2,9,1,4,15,34,48,19,0,0,2,4,56,0.2145973,-1.892546,0.09734956
4,19,2,7,14,37,29,7,0,0,3,8,54,0.2069331,-2.253984,0.07202164
4,13,1,3,15,36,22,13,0,0,4,8,54,0.2069331,-2.015634,0.08628803
2,13,1,4,16,39,29,16,0,0,2,9,56,0.2145973,-1.958465,0.09326572
5,18,1,4,12,37,21,17,0,0,5,9,53,0.203101,-2.206949,0.07331981
6,14,1,5,15,35,30,15,0,0,6,7,52,0.1992689,-2.009768,0.08319135
0,19,0,5,13,38,58,12,0,0,0,10,58,0.2222615,-2.423364,0.0670453
4,19,1,5,12,35,17,7,0,0,4,12,54,0.2069331,-2.574346,0.05284652
1,15,1,3,17,38,35,14,0,0,1,10,57,0.2184294,-2.00622,0.09203516
6,13,1,4,15,34,21,12,0,0,6,8,52,0.1992689,-2.000168,0.08374577
1,16,1,4,17,39,32,18,0,0,1,9,57,0.2184294,-1.97939,0.09372549
1,15,1,4,12,37,56,11,0,0,1,8,57,0.2184294,-2.657657,0.05099391
3,10,1,3,19,38,23,18,0,0,3,6,55,0.2107652,-2.139759,0.08044625
2,15,1,4,17,38,38,19,0,0,2,10,56,0.2145973,-2.14007,0.08201487
1,14,1,4,15,38,48,15,0,0,1,7,57,0.2184294,-2.095511,0.08640974
2,18,1,6,15,37,35,11,0,0,2,10,56,0.2145973,-2.30072,0.0720622
0,15,0,4,14,37,58,13,0,0,0,8,58,0.2222615,-2.167478,0.08343475
2,12,1,4,18,38,30,29,0,0,2,6,56,0.2145973,-1.756342,0.1057877
3,13,1,4,16,36,33,17,0,0,3,8,55,0.2107652,-1.883532,0.09605139
0,14,0,4,15,36,58,16,0,0,0,8,58,0.2222615,-2.237994,0.07891819
5,18,2,4,16,38,33,14,0,0,3,9,53,0.203101,-2.1014,0.07952671
5,15,1,5,16,35,38,27,0,0,5,8,53,0.203101,-2.102779,0.07944557
4,10,1,3,15,34,16,14,0,0,4,6,54,0.2069331,-2.277254,0.0706288
3,18,1,6,13,35,23,13,0,0,3,8,55,0.2107652,-2.361571,0.06693712
3,18,1,4,13,37,45,14,0,0,3,10,55,0.2107652,-2.254107,0.07348208
6,16,2,5,13,36,29,16,0,0,4,9,52,0.1992689,-2.274804,0.06788371
2,10,1,3,17,38,46,15,0,0,2,7,56,0.2145973,-1.815713,0.1021095
2,13,1,6,14,39,38,18,0,0,2,5,56,0.2145973,-2.532528,0.05770115
2,11,1,4,19,36,28,25,0,0,2,6,56,0.2145973,-1.965668,0.09281947
1,18,1,4,15,39,29,17,0,0,1,10,57,0.2184294,-2.121053,0.08480054
1,16,1,4,14,39,30,17,0,0,1,9,57,0.2184294,-2.139513,0.08363759
3,23,1,6,15,39,30,7,0,0,3,11,55,0.2107652,-2.285636,0.07156187
0,16,0,4,16,40,58,15,0,0,0,9,58,0.2222615,-1.91307,0.09972955
1,15,1,4,13,36,56,9,0,0,1,11,57,0.2184294,-2.270873,0.07536173
7,15,2,3,14,33,16,13,0,0,6,10,51,0.1954368,-2.219981,0.06954699
1,13,1,5,14,39,57,29,0,0,1,7,57,0.2184294,-2.19811,0.07994591
4,10,1,3,13,35,16,15,0,0,4,7,54,0.2069331,-2.258729,0.07173766
7,22,2,5,16,36,18,15,0,0,6,11,51,0.1954368,-1.821271,0.09215686
3,9,2,3,15,35,53,27,0,0,2,5,55,0.2107652,-1.891526,0.09556457
2,17,2,3,13,39,55,8,0,0,1,11,56,0.2145973,-2.531,0.05779581
3,17,1,3,15,35,40,12,0,0,3,10,55,0.2107652,-2.173731,0.07837728
3,14,1,4,16,37,29,13,0,0,3,8,55,0.2107652,-2.196378,0.07699797
1,12,1,4,16,38,55,15,0,0,1,7,57,0.2184294,-1.981537,0.09359026
4,13,2,5,15,36,30,15,0,0,3,7,54,0.2069331,-2.14057,0.07881001
0,14,0,4,14,39,58,16,0,0,0,9,58,0.2222615,-2.155021,0.08423259
2,18,1,6,15,38,55,27,0,0,2,9,56,0.2145973,-2.092049,0.08498986
1,16,1,4,14,36,40,12,0,0,1,8,57,0.2184294,-2.340846,0.07095335
0,21,0,5,11,37,58,10,0,0,0,10,58,0.2222615,-2.457355,0.06486815
0,18,0,3,13,40,58,9,0,0,0,11,58,0.2222615,-2.483535,0.06319135
5,14,2,3,14,33,30,19,0,0,4,9,53,0.203101,-2.219826,0.07256254
3,20,1,5,14,35,28,16,0,0,3,9,55,0.2107652,-2.119998,0.08164976
3,19,1,5,13,38,32,7,0,0,3,11,55,0.2107652,-2.465039,0.06063556
0,12,0,3,17,38,58,18,0,0,0,7,58,0.2222615,-1.946217,0.09760649
2,18,1,4,14,39,54,11,0,0,2,12,56,0.2145973,-2.488436,0.06043272
4,20,2,9,15,39,29,14,0,0,3,8,54,0.2069331,-2.184851,0.07615957
3,12,1,3,17,35,38,26,0,0,3,9,55,0.2107652,-1.697468,0.1073834
0,15,0,6,14,39,58,18,0,0,0,7,58,0.2222615,-2.404995,0.06822177
0,17,0,7,13,40,58,14,0,0,0,7,58,0.2222615,-2.474667,0.0637593
4,12,1,3,17,36,27,12,0,0,4,8,54,0.2069331,-1.955086,0.0899121
7,17,4,4,13,31,27,15,0,0,4,9,51,0.1954368,-2.094072,0.07668695
1,11,1,3,15,38,29,22,0,0,1,6,57,0.2184294,-2.14402,0.08335362
0,12,0,3,16,39,58,19,0,0,0,7,58,0.2222615,-1.918348,0.09939148
2,16,2,3,15,39,55,15,0,0,1,9,56,0.2145973,-2.453731,0.06258283
0,9,0,4,18,40,58,27,0,0,0,3,58,0.2222615,-1.800328,0.1069506
5,14,1,4,17,36,24,12,0,0,5,8,53,0.203101,-1.748649,0.1002705
1,12,1,3,15,37,29,17,0,0,1,7,57,0.2184294,-2.074047,0.087762
1,11,1,4,17,38,48,18,0,0,1,7,57,0.2184294,-2.374974,0.06880325
2,17,1,4,13,38,29,10,0,0,2,9,56,0.2145973,-2.22607,0.07668695
1,10,1,5,17,39,32,17,0,0,1,5,57,0.2184294,-1.864343,0.1009736
4,15,1,7,15,36,29,14,0,0,4,7,54,0.2069331,-2.087026,0.08201487
2,15,1,6,14,39,28,18,0,0,2,6,56,0.2145973,-2.058871,0.0870453
3,14,1,5,17,39,30,29,0,0,3,7,55,0.2107652,-1.787836,0.1018796
1,12,1,3,13,38,55,18,0,0,1,8,57,0.2184294,-2.393004,0.06766734
1,13,1,4,14,39,34,14,0,0,1,6,57,0.2184294,-2.261858,0.07592968
0,12,0,5,17,35,58,17,0,0,0,6,58,0.2222615,-1.880768,0.1017985
3,16,1,3,14,36,43,10,0,0,3,11,55,0.2107652,-2.116002,0.08189317
3,12,2,6,13,38,30,18,0,0,2,5,55,0.2107652,-2.3014,0.07060176
0,18,0,6,14,37,58,16,0,0,0,9,58,0.2222615,-2.283386,0.07601082
3,23,1,4,12,38,25,10,0,0,3,12,55,0.2107652,-2.346251,0.06787018
5,17,1,4,15,36,20,9,0,0,5,11,53,0.203101,-2.179814,0.07491548
2,15,1,6,15,35,31,12,0,0,2,7,56,0.2145973,-2.317527,0.07102096
3,11,1,3,16,35,24,20,0,0,3,7,55,0.2107652,-1.949476,0.09203516
2,19,1,4,16,39,29,16,0,0,2,11,56,0.2145973,-1.937292,0.09457742
1,13,1,4,14,38,56,24,0,0,1,8,57,0.2184294,-2.106458,0.08572008
3,14,1,3,15,38,28,28,0,0,3,7,55,0.2107652,-1.869766,0.09688979
1,18,1,4,14,38,33,15,0,0,1,10,57,0.2184294,-2.046573,0.0894929
2,15,1,4,16,37,25,13,0,0,2,9,56,0.2145973,-2.120425,0.08323191
0,19,0,7,12,35,58,20,0,0,0,10,58,0.2222615,-2.435187,0.06628803
2,24,1,5,13,37,36,6,0,0,2,13,56,0.2145973,-2.561122,0.05592968
2,13,1,3,14,39,28,9,0,0,2,9,56,0.2145973,-2.428411,0.06415145
