Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-776.7712	-472.0286	-304.7426	18.98055	3.683358	0.01864747	0.01639699	0.230926	0.0236261	0.0588298	0.013607	0.0183253	0.0122058	0.150335	0.0320703	0.0523865	0.00953894	0.0481229	0.00608421	0.0797257	0.263852	0.000364939	0.6643581	21	54.93155	0.08810996	0.436074	0.763495	1.0843	1.71613	0.0424688	0.258944	0.229169	0.153696	0.213457	0.102265	0.6807551	0.9759135
100	-793.419	-479.8271	-313.5919	8.722114	7.658376	0.01954292	0.04375816	0.223986	0.0308535	0.0294604	0.0119933	0.199262	0.00971679	0.0773871	0.0320184	0.0201649	0.0294069	0.0743475	0.0820606	0.0863737	0.0712737	0.0216955	0.6226745	20	51.47281	0.08136396	0.58518	0.848598	1.07743	1.4888	0.0272285	0.261456	0.209906	0.180952	0.185209	0.135249	0.6664326	0.9343397
200	-797.4247	-489.2803	-308.1444	7.310464	2.659131	0.02061447	-0.04625906	0.143374	0.00908577	0.0824688	0.0214687	0.102124	0.0202739	0.149531	0.0494184	0.0355039	0.0334851	0.0301821	0.0150686	0.0630695	0.192185	0.0527609	0.7784386	22	52.8617	0.06690046	0.361043	0.710719	1.08022	1.84801	0.0458865	0.195568	0.176606	0.159273	0.295247	0.12742	0.7321795	1.06318
300	-802.0808	-484.3529	-317.7278	30.5216	2.570055	0.01626274	0.02627873	0.076512	0.046661	0.0967541	0.0314256	0.0315386	0.0195715	0.195565	0.0337928	0.0927257	0.0250654	0.091943	0.0272129	0.0465058	0.183819	0.000908056	0.7564475	16	52.05838	0.08011245	0.352999	0.704552	1.07938	1.86307	0.0485494	0.278581	0.176501	0.253878	0.163064	0.0794269	0.7827262	0.9664267
400	-772.342	-476.1469	-296.195	18.53522	4.732981	0.02292796	0.0117614	0.102338	0.0315691	0.20352	0.00155375	0.0363699	0.0251802	0.114813	0.0456126	0.0377584	0.00583215	0.0312787	0.0473583	0.0384698	0.269401	0.00894489	0.6162782	26	50.9187	0.1165709	0.490595	0.797268	1.08373	1.6284	0.0326265	0.258838	0.173104	0.176989	0.294074	0.0643678	0.6280396	0.9812728
500	-773.4274	-461.31	-312.1174	20.82238	4.193213	0.02396195	0.07148009	0.18848	0.0170026	0.0637022	0.00683695	0.068756	0.00926361	0.142676	0.0378734	0.0439005	0.00640463	0.0720063	0.0123931	0.041771	0.282948	0.00598538	0.5442735	24	53.9773	0.08444111	0.464671	0.781636	1.08432	1.66937	0.0286705	0.216902	0.252497	0.186851	0.223931	0.0911481	0.6157536	0.8839145
600	-796.6243	-483.1789	-313.4455	7.079433	5.838017	0.01613444	0.04551901	0.141009	0.0488559	0.0397589	0.0182693	0.145966	0.0352816	0.14636	0.0458597	0.0727057	0.0141239	0.0475509	0.00516015	0.0751009	0.152148	0.0118495	0.5714581	20	52.30705	0.09489911	0.533554	0.821623	1.08162	1.56321	0.0704509	0.224034	0.136263	0.19545	0.259521	0.114282	0.6169772	0.9262225
700	-774.1891	-482.2613	-291.9278	5.158725	4.360315	0.02162451	0.09206049	0.17183	0.0542763	0.107855	0.0168273	0.00648859	0.00399918	0.164329	0.0447782	0.0130468	0.0176851	0.0332135	0.0118566	0.0464021	0.278846	0.0285662	0.7669685	24	54.88948	0.1000513	0.473124	0.786815	1.08419	1.65587	0.0458657	0.290362	0.165679	0.132956	0.260387	0.104751	0.859029	0.8928319
800	-800.9266	-470.4951	-330.4315	6.765367	4.097241	0.01428802	-0.01233958	0.164	0.0260952	0.0171105	0.0430115	0.121953	0.00364407	0.158533	0.0337432	0.0783531	0.0328755	0.0565065	0.0299296	0.0475542	0.182247	0.00444432	0.7516868	14	51.33773	0.0586353	0.459626	0.778506	1.08437	1.67749	0.0287034	0.198615	0.220864	0.141538	0.280766	0.129512	0.7393472	1.01669
900	-771.4545	-477.1319	-294.3226	4.400833	2.892372	0.02217716	-0.08698301	0.187634	0.00541216	0.0825184	0.0157926	0.196355	0.00187305	0.0751979	0.0271571	0.0623971	0.0382276	0.0651864	0.00214365	0.0440226	0.169232	0.0268502	0.7525931	23	50.26583	0.07985893	0.38076	0.725389	1.08193	1.81192	0.042269	0.25194	0.181004	0.22058	0.206493	0.0977144	0.66561	1.130682
1000	-773.4351	-486.2954	-287.1396	7.030203	3.028816	0.0238391	0.0459661	0.154316	0.00297701	0.119073	0.013452	0.100528	0.00336053	0.0957663	0.0657137	0.0611723	0.0526809	0.0723324	0.0254451	0.0660533	0.143877	0.0232533	0.5741877	28	51.38041	0.1213368	0.391479	0.733111	1.08265	1.79276	0.030257	0.307553	0.159832	0.187919	0.202209	0.11223	0.6201538	0.9258795
1100	-769.8267	-472.7135	-297.1131	4.575321	2.820649	0.02075721	0.03454799	0.197405	0.124796	0.110433	0.0402182	0.0474538	0.00619868	0.0676084	0.0366149	0.0553581	0.00668611	0.0505758	0.00510377	0.0372546	0.196938	0.0173559	0.7168942	20	56.4436	0.1005687	0.374893	0.721088	1.08147	1.82254	0.0296365	0.261353	0.202475	0.214462	0.222481	0.0695921	0.7514422	0.9540244
1200	-791.1865	-477.8886	-313.2979	5.731607	4.141632	0.01561534	0.04624977	0.192856	0.0358766	0.0308992	0.0776786	0.00323737	0.00298969	0.22442	0.0341768	0.0663718	0.00201511	0.0252273	0.0240136	0.0140541	0.259803	0.00638102	0.7161227	24	50.47699	0.05595285	0.461977	0.779969	1.08435	1.6737	0.0244458	0.225305	0.242945	0.0864555	0.312254	0.108594	0.7623724	0.9393344
1300	-775.6969	-474.0786	-301.6183	7.574082	1.507561	0.01251536	-0.0001909968	0.11269	0.0261121	0.0627209	0.0380206	0.027024	0.00201363	0.140953	0.0161041	0.0654115	0.0225191	0.0418805	0.00192282	0.0261152	0.414493	0.00201988	0.6032266	20	51.85267	0.08522251	0.226488	0.58981	1.05086	2.13284	0.0351336	0.248716	0.226303	0.122542	0.332066	0.0352389	0.6030356	1.000317
1400	-782.6867	-479.2697	-303.417	6.42679	4.263293	0.0178753	-0.01106575	0.299735	0.0159743	0.00198305	0.00100798	0.146152	0.00686475	0.17034	0.0251892	0.0307175	0.0374641	0.0615044	0.0195607	0.0252401	0.156902	0.00136468	0.5603353	19	52.37235	0.1152603	0.468266	0.783849	1.08428	1.66361	0.0339406	0.173388	0.180269	0.156311	0.29446	0.161631	0.5492696	1.020146
1500	-779.9499	-471.749	-308.2009	5.104514	3.417503	0.02055774	-0.06219405	0.121775	0.0541209	0.0402308	0.156597	0.0260298	0.00607469	0.136401	0.0458198	0.0819578	0.0237106	0.0323668	0.00945774	0.0728378	0.192532	8.91287e-05	0.8225995	22	55.8987	0.06106821	0.419187	0.752305	1.08392	1.74459	0.0531929	0.223095	0.245676	0.155288	0.261429	0.0613192	0.7604054	1.081791
1600	-777.5562	-477.4314	-300.1248	9.394608	3.159081	0.01589879	0.02557504	0.174242	0.0498246	0.00960704	0.00135103	0.0627403	0.00563478	0.252597	0.0268548	0.0503763	0.0177977	0.076022	0.0120188	0.0301384	0.197509	0.0332877	0.4738406	28	50.08158	0.1504083	0.401206	0.739972	1.0832	1.77563	0.0398751	0.193918	0.194188	0.192839	0.282388	0.0967922	0.4994156	0.9487901
1700	-778.7067	-484.2785	-294.4282	20.89714	2.734707	0.02404208	0.01874348	0.210676	0.0657866	0.0282726	0.0323777	0.0145197	0.0167916	0.155983	0.0309947	0.0964133	0.0156265	0.0514272	0.058818	0.0736244	0.144991	0.00369815	0.718998	23	50.76097	0.08715953	0.367637	0.715694	1.08085	1.83582	0.0305314	0.230638	0.24867	0.202088	0.221017	0.0670553	0.7377414	0.9745934
1800	-778.4129	-474.7699	-303.643	21.15413	2.954028	0.02051047	0.04464695	0.121151	0.0280797	0.0358211	0.0173887	0.0712282	0.0103315	0.071135	0.0122341	0.209565	0.00386348	0.0477328	0.0140363	0.0672277	0.254632	0.0355728	0.7166267	21	51.45504	0.1018119	0.385674	0.72895	1.08228	1.8031	0.0417019	0.228393	0.233113	0.197969	0.263915	0.0349084	0.7612737	0.9413523
1900	-776.844	-472.8104	-304.0337	4.222472	3.729018	0.01686659	0.09185633	0.261479	0.00362002	0.073395	0.0101167	0.0821728	0.00575501	0.19322	0.0475924	0.0517119	0.0285679	0.0301227	0.0112884	0.0654112	0.126722	0.00882621	1.019309	20	51.62702	0.08503939	0.438827	0.765284	1.08434	1.71155	0.0253793	0.231288	0.34422	0.134847	0.181596	0.0826699	1.111165	0.9173333
2000	-786.994	-483.1413	-303.8527	7.236139	4.024373	0.01981362	-0.0534443	0.14284	0.0238057	0.0430081	0.0729117	0.164658	0.00878923	0.142391	0.0808562	0.0371601	0.00378538	0.0382162	0.00133171	0.00997375	0.199722	0.0305514	0.7889517	19	51.23383	0.06429511	0.455696	0.776048	1.0844	1.68386	0.0587718	0.247973	0.18378	0.156141	0.218389	0.134945	0.7355074	1.072663
2100	-783.8677	-485.7234	-298.1443	4.060239	3.222706	0.01872939	0.00776298	0.320114	0.0205503	0.00429756	0.00337791	0.0612824	0.0221147	0.131979	0.0366267	0.0327831	0.0755242	0.032119	0.0127757	0.0478073	0.182073	0.0165742	0.9424302	22	51.47082	0.09614597	0.405789	0.743158	1.08341	1.76764	0.0285719	0.239579	0.190535	0.142435	0.296217	0.102663	0.9501932	0.9918301
2200	-784.3103	-478.5125	-305.7977	15.84797	4.979233	0.01873847	0.03797594	0.163095	0.125037	0.012076	0.00303197	0.0929111	0.00220759	0.0917144	0.0282156	0.0481763	0.0210525	0.0642037	0.0150467	0.044196	0.287732	0.00130346	0.7779344	18	53.15792	0.07381338	0.501213	0.803461	1.08334	1.61199	0.0382127	0.265462	0.28015	0.181521	0.168986	0.0656681	0.8159103	0.9534557
