Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates[61]	branch_rates[62]	branch_rates[63]	branch_rates[64]	branch_rates[65]	branch_rates[66]	branch_rates[67]	branch_rates[68]	branch_rates[69]	branch_rates[70]	branch_rates[71]	branch_rates[72]	branch_rates[73]	branch_rates[74]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-766.0309	-682.7408	-83.29017	7	3.957179	0.0303368	0.0850249	0.273933	0.0245068	0.0479817	0.0313709	0.0337091	0.200367	0.0574984	0.0541057	0.0304892	0.0913869	0.000467235	0.222266	0.431475	0.248683	0.129563	0.0743977	0.0719454	0.101715	0.181519	0.15985	0.0297628	0.0255132	0.0476611	0.00896133	0.0105183	0.119072	0.0388538	0.0962403	0.0390022	0.128916	0.0720913	0.00996202	0.0652336	0.0359922	0.00404821	0.0619877	0.0178184	0.215975	0.0533752	0.101102	0.0194427	0.085228	0.0034285	0.00937314	0.0199383	0.0518148	0.0443334	0.00441023	0.274886	0.00207645	0.0782515	0.00773578	0.0345141	0.00431433	0.24516	0.193053	0.0370321	0.0204793	0.191581	0.167303	0.0302041	0.0665022	0.00839491	0.44709	0.01638	0.000189362	0.0249835	0.0498	0.0300995	0.0066366	0.0800148	0.0613695	0.06394405	-0.08322828	0.246761	0.00417799	0.167718	0.00913084	0.018102	0.0310545	0.0942737	0.0301489	0.0710193	0.00676838	0.0111695	0.0258889	0.00656257	0.274276	0.00294783	0.7104457	6	58.56835	0.05595344	0.451994	0.773715	1.08441	1.68989	0.0307869	0.158898	0.14258	0.186883	0.334057	0.146796	0.6272174	1.132694
100	-779.3264	-693.6175	-85.70884	8.361169	5.880769	0.00574314	0.129172	0.0627805	0.0528092	0.0204211	0.208044	0.129374	0.286946	0.0871139	0.0143912	0.0384351	0.0871672	0.325796	0.0584654	0.139929	0.0276661	0.12632	0.0734289	0.095865	0.0433926	0.0258878	0.119623	0.0260469	0.0555964	0.0788331	0.0980384	0.11133	0.288949	0.0890807	0.199887	0.00576946	0.0135727	0.0258764	0.0151331	0.0650851	0.0018815	0.0844153	0.0351477	0.0311302	0.1221	0.047386	0.028074	0.134416	0.0322724	0.10991	0.00719238	0.0551423	0.000737762	0.0856733	0.0195157	0.35555	0.0208167	0.0224813	0.114535	0.135953	0.0250268	0.218787	0.177469	0.167433	0.0247859	0.0535766	0.0261338	0.0749644	0.0385578	0.0455955	0.128093	0.0981167	0.00574838	0.0844152	0.00800836	0.0049492	0.0701421	0.143824	0.0188194	0.09277626	-0.02809394	0.108721	0.00545202	0.344784	0.0551295	0.0278968	0.00926594	0.0911031	0.0304102	0.0201573	0.00801574	0.0362938	0.0102904	0.0151548	0.219585	0.0177401	0.537364	5	55.59224	0.04993229	0.535	0.822412	1.08152	1.56106	0.0335331	0.176185	0.116417	0.304485	0.186913	0.182467	0.5092701	1.055165
200	-723.4118	-663.8741	-59.53763	11.49274	6.090803	0.20139	0.0495248	0.0353596	0.0152915	0.0661314	0.00151064	0.0839531	0.0426317	0.0453751	0.157487	0.0439827	0.0785959	0.00513881	0.0528927	0.253195	0.0292897	0.0320825	0.0129612	0.00463017	0.0226281	0.0788868	0.0118398	0.0125311	0.068423	0.166396	0.0440726	0.00434946	0.019204	0.122608	0.00403867	0.108205	0.00146044	0.0505004	0.0300004	0.0823641	0.0139542	0.0283898	0.14751	0.0165497	0.00644824	0.0802862	0.0210566	0.00458791	0.0240503	0.00272669	0.0921875	0.00860047	0.0589559	0.0275946	0.0602922	0.166968	0.0228736	0.0268771	0.00166297	0.0161451	0.160413	0.0109311	0.0299842	0.0138547	0.0199177	0.0317582	0.00429089	0.00920407	0.0219794	0.00536472	0.00341089	0.0761292	0.0276172	0.0181317	0.0618142	0.0249312	0.00756636	0.0419236	0.0218165	0.04913363	0.03886439	0.169958	0.0106308	0.235487	0.0605623	0.0929993	0.00416302	0.124881	0.0237264	0.0610645	0.00631709	0.0383753	0.000619954	0.0308829	0.137934	0.00239927	0.2738926	9	56.7132	0.04151466	0.541914	0.826154	1.08105	1.55088	0.038783	0.189245	0.155923	0.220969	0.270868	0.124212	0.312757	0.8757362
300	-758.1489	-687.1457	-71.00316	9.537824	7.162801	0.0257197	0.20459	0.212203	0.0511154	0.104454	0.036859	0.137262	0.148758	0.0891748	0.0189739	0.102079	0.081302	0.0461492	0.117646	0.100057	0.187951	0.0269232	0.0834568	0.0964916	0.126181	0.0686097	0.0207908	0.0303778	0.0421884	0.132062	0.0812399	0.00371586	0.048709	0.0789726	0.0615954	0.0571844	0.0333972	0.228898	0.00422773	0.0508668	0.000128533	0.141316	0.0123406	0.0340977	0.115013	0.0391379	0.108677	0.0275963	0.0374368	0.0142783	0.0118649	0.105391	0.191106	0.0213017	0.00776879	0.0932579	0.00699656	0.0393787	0.0415965	0.0605965	0.0606559	0.0221929	0.203024	0.000362577	0.195429	0.089995	0.0766235	0.0238856	0.0960808	0.0113524	0.0359882	0.0432576	0.00765356	0.105604	0.0592883	0.045938	0.0349116	0.0201596	0.0128309	0.08111595	-0.009853581	0.25834	0.00141307	0.0848025	0.114316	0.0149794	0.0067359	0.157173	0.0370034	0.0317656	0.00113644	0.0156937	0.0048854	0.0384361	0.225811	0.00750784	0.4353202	9	57.7526	0.07848767	0.572877	0.842382	1.07857	1.50617	0.0309407	0.169823	0.125042	0.232198	0.255249	0.186747	0.4254666	1.023159
400	-717.9373	-671.2185	-46.71881	13.75672	4.180524	0.0123742	0.0249118	0.0708876	0.0338953	0.0539648	0.0209199	0.0116333	0.0141738	0.0639119	0.0631556	0.0953417	0.00226651	0.0184505	0.00278718	0.243507	0.0673579	0.0328386	0.0355246	0.0082027	0.0566212	0.00430394	0.00557237	0.0087922	0.0312921	0.163698	0.0750016	0.0144674	0.103053	0.0984174	0.0173838	0.0832032	0.0364407	0.00971402	0.0422967	0.12503	0.0052665	0.0165578	0.140256	0.00401129	0.11874	0.122731	0.0308361	0.00677883	0.0687471	0.0553326	0.0742207	0.00812655	0.0335845	0.12434	0.000696468	0.0428857	0.0659774	0.0160466	0.0450277	0.000159299	0.079445	0.00579917	0.0466411	0.0514223	0.0177154	0.0339558	0.0412553	0.00110037	0.0382714	0.0081107	0.00904216	0.0320894	0.0625954	0.0174195	0.0291686	0.0662716	0.00163441	0.0681662	0.0375311	0.04644447	0.03124721	0.114265	0.0373341	0.215018	0.0720788	0.0893586	0.00325989	0.145928	0.042192	0.10208	0.0068977	0.0232849	0.000436937	0.0394805	0.0993905	0.00899449	0.3289227	11	57.48573	0.06689478	0.464012	0.781229	1.08433	1.67043	0.0669348	0.170453	0.179077	0.223269	0.253143	0.107124	0.3601699	0.9132431
500	-726.6051	-670.0343	-56.57086	15.24992	6.597854	0.00471305	0.291463	0.0162079	0.0641529	0.0511041	0.0961423	0.0184325	0.0416334	0.0512558	0.0333258	0.115985	0.0297985	0.0202845	0.0814565	0.000772904	0.0277792	0.0726047	0.0882216	0.0140013	0.0309665	0.00441676	0.0351149	0.0602907	0.00753615	0.0402256	0.0972844	0.0104075	0.00475377	0.00394236	0.0765818	0.0186594	0.0534897	0.114132	0.00990063	0.109042	0.043103	0.102511	0.0798616	0.00211	0.0147198	0.0531101	0.04363	0.359908	0.0153879	0.0109773	0.0459888	0.0897515	0.166682	0.0674651	0.00270065	0.104736	0.000502737	0.0187141	0.0108174	0.0215113	0.0159163	0.140712	0.0259195	0.08031	0.0106599	0.00339589	0.0277096	0.0616631	0.00264046	0.0343261	0.0460863	0.0648468	0.00672296	0.0338009	0.00600088	0.0437265	0.0115649	0.000873164	0.00484338	0.05195613	-0.01234791	0.126819	0.00739128	0.162949	0.107524	0.0788678	0.00634815	0.103484	0.0246745	0.121983	0.0202854	0.0317448	0.00411361	0.0306404	0.164938	0.00823579	0.4565691	6	60.65712	0.07387194	0.557389	0.834371	1.07989	1.52835	0.034811	0.217343	0.176116	0.221111	0.245471	0.105148	0.4442212	1.027797
600	-796.2146	-687.7132	-108.5014	11.92367	6.091168	0.0142745	0.261477	0.249947	0.0621186	0.13521	0.239621	0.0195893	0.0683421	0.276643	0.575767	0.0194384	0.16031	0.148696	0.235719	0.131608	0.259762	0.244284	0.45485	0.0101263	0.0644582	0.172261	0.0258584	0.0246697	0.0503468	0.25033	0.152348	0.0152363	0.0296605	0.247849	0.0610252	0.261151	0.48403	0.4193	0.0409697	0.273279	0.173337	0.141345	0.235473	0.0359675	0.278564	0.29308	0.138506	0.100114	0.108748	0.0200654	0.0148591	0.00812537	0.0119254	0.0461757	0.00534115	0.143529	0.0190265	0.00389564	0.19962	0.00544048	0.0235126	0.123293	0.0052205	0.0772445	0.0332702	0.72522	0.0273183	0.0384053	0.13893	0.221383	0.0863548	0.327112	0.00170489	0.351033	0.0464236	0.111141	0.0546342	0.151244	0.0186843	0.1365596	0.01084463	0.366785	0.0196487	0.195994	0.0448688	0.0139477	0.0118433	0.0407979	0.0114716	0.130349	0.00344408	0.0126963	0.000382833	0.0130938	0.129525	0.00515165	0.3770601	10	54.02047	0.1213472	0.541926	0.82616	1.08105	1.55086	0.025643	0.23426	0.151063	0.282637	0.201476	0.104921	0.3879047	0.9720431
700	-737.9559	-678.5192	-59.43669	15.88335	2.799556	0.0794605	0.112818	0.13584	0.0548925	0.0900099	0.299397	0.0209127	0.155671	0.0108114	0.0829702	0.0443798	0.192993	0.071364	0.165495	0.0802719	0.00562895	0.0537929	0.104938	0.017025	0.0195848	0.102873	0.126247	0.0131507	0.0676557	0.0731517	0.100889	0.0291323	0.00827426	0.020249	0.0659903	0.0358673	0.0801677	0.0907622	0.0275461	0.0398595	0.099912	0.0184633	0.110363	0.0102071	0.00837517	0.0770395	0.00117267	0.00381323	0.0512572	0.0372398	0.0522889	0.0022408	0.19972	0.0797193	0.00686767	0.325752	0.0035409	0.00939776	0.0768414	0.0143224	0.0229055	0.0469209	0.00418423	0.105767	0.0366498	0.0782388	0.0411781	0.0771164	0.0658157	0.0118286	0.00535879	0.0474591	0.0261756	0.00874187	0.120885	0.0465891	0.0250544	0.0809877	0.0131511	0.07067823	0.006468087	0.248666	0.0194152	0.0385671	0.0289594	0.158786	0.00187008	0.119133	0.0321649	0.0981035	0.00714174	0.0233623	8.24301e-05	0.0283649	0.195299	8.37381e-05	0.3861488	5	57.73531	0.06482157	0.373135	0.719789	1.08133	1.82575	0.0378206	0.174812	0.221622	0.238342	0.173226	0.154177	0.3926169	0.9835257
800	-717.4884	-664.9556	-52.53281	15.02967	6.933222	0.0374877	0.00650988	0.00957913	0.0288632	0.0178439	0.0486119	0.125366	0.00639187	0.174367	0.0210179	0.0306563	0.0481361	0.119029	0.00821952	0.0485949	0.10666	0.0790279	0.0123617	0.0106451	0.0121903	0.0241265	0.036976	0.0554774	0.0315276	0.0230056	0.0536197	0.00163791	0.0379428	0.0292651	0.0338797	0.016776	0.0115806	0.106357	0.00174818	0.14091	0.0179286	0.0203812	0.00295529	0.0102973	0.0781628	0.0296371	0.030488	0.0972229	0.00330103	0.121741	0.0970435	0.0536796	0.0361375	0.0202342	0.0169099	0.0143546	0.00386737	0.0290286	0.0416878	0.000401696	0.00324061	0.0233591	0.00320798	0.0308009	0.074736	0.0466037	0.00843835	0.00273959	0.00327925	0.00140629	0.0420846	0.000969248	0.0396834	4.99265e-05	0.00162095	0.123923	0.0162141	0.120262	0.00296627	0.03450571	0.03424851	0.192211	0.0173759	0.289716	0.0458484	0.00709795	0.00368864	0.0673942	0.00810717	0.118677	0.000913091	0.00892778	0.012324	0.0474615	0.173976	0.00628135	0.3215421	7	65.42938	0.05021515	0.566786	0.839256	1.07911	1.51485	0.0289124	0.189328	0.186227	0.243444	0.268688	0.0833998	0.3557906	0.9037397
900	-735.856	-677.1278	-58.72816	13.32024	10.99887	0.00826764	0.277569	0.0454317	0.161275	0.0327748	0.0206037	0.0531331	0.0497928	0.0949464	0.0115952	0.0229744	0.0667406	0.0554497	0.212575	0.0117686	0.0192323	0.0116341	0.02159	0.0595614	0.0036359	0.0219292	0.0128239	0.0332066	0.0544151	0.00234958	0.0912368	0.00411933	0.0383258	0.0141171	0.0554309	0.0157989	0.153487	0.121909	0.0641815	0.0385143	0.0130672	0.0859447	0.0432617	0.0170279	0.029495	0.04057	0.0747765	0.0326026	0.159528	0.0544342	0.0800169	0.1231	0.0242648	0.225806	0.00164539	0.123732	0.0196571	0.0159863	0.00811375	0.0152179	0.00264595	0.0460273	0.0171097	0.0174445	0.22272	0.0884106	0.00100963	0.128956	0.0328798	0.0173893	0.0171519	0.137878	0.00345077	0.0809137	0.0307816	0.00551102	0.010572	0.0990835	0.00122289	0.05311541	0.02313689	0.194838	0.0496669	0.127519	0.0162787	0.0410916	0.0176547	0.17512	0.0389487	0.120418	0.00416281	0.0373114	0.00321468	0.0433395	0.127497	0.00293987	0.3795184	7	54.99473	0.06908371	0.646928	0.877964	1.07038	1.40472	0.0688622	0.170892	0.136667	0.205833	0.326172	0.0915742	0.4026553	0.9425392
