Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-67.19555	-82.04863	14.85308	3.868271	0.7648378	0.08906961	0.0728587	0.00926723	0.046529	0.028387	0.0542671	0.00483126	0.0121064	0.102241	0.0212565	0.023908	0.216049	0.00319257	0.0217124	0.03098	0.353745	0.0715276	0.1132763	3.868271	0.0880578	0.392583	0.946715	2.57265	0.0618763	0.367671	0.0254893	0.129654	0.386469	0.0288402	0.186135	0.6085707
100	-69.65937	-84.74649	15.08713	7.680686	0.5761782	0.016638	0.004307877	0.250407	0.00389657	0.00235702	0.0788045	0.185957	0.00629044	0.0318441	0.00907036	0.0453361	0.0204113	0.116007	0.117325	0.0233529	0.0627197	0.0462213	0.03537492	7.680686	0.0482349	0.298768	0.868661	2.78434	0.00675468	0.469767	0.00588284	0.112983	0.340667	0.0639454	0.03968279	0.8914422
200	-67.48065	-83.86129	16.38064	5.351895	0.8153793	0.01528049	0.04637029	0.151916	0.024456	0.000921507	0.0713313	0.0318194	0.106735	0.185248	3.77249e-05	0.0381013	0.111298	0.0583584	0.0215855	0.0317144	0.118367	0.0481101	0.006666462	5.351895	0.0988269	0.413253	0.961127	2.52679	0.00523302	0.487106	0.0244005	0.0651925	0.377022	0.0410458	0.05303676	0.1256951
300	-67.17127	-79.49779	12.32652	10.01208	0.4128352	0.05113882	0.06343444	0.0660301	0.109319	0.0255686	0.0641432	0.048956	0.139684	0.0209893	0.00072044	0.259148	0.126225	0.0150367	0.0552838	0.00293739	0.056633	0.00932603	0.07612758	10.01208	0.0186088	0.191277	0.744804	3.04531	0.0372095	0.454375	0.00414339	0.123618	0.34616	0.0344944	0.139562	0.5454749
400	-77.45085	-88.57523	11.12438	7.962689	0.8216559	0.174058	0.002171344	0.0783637	0.0556172	0.0490061	0.0607901	0.0417574	0.0798354	0.00300809	0.000997207	0.012308	0.116338	0.248342	0.0426763	0.0865339	0.115818	0.00860854	0.1922619	7.962689	0.100158	0.415709	0.962779	2.52135	0.00680717	0.434249	0.0342894	0.125921	0.286881	0.111852	0.1944332	0.9888324
500	-71.35558	-83.79434	12.43876	5.592615	3.234274	0.02604556	0.1573182	0.0474294	0.104649	0.0346002	0.0719458	0.090126	0.0531444	0.100979	0.0107734	0.0347408	0.039048	0.0811914	0.126003	0.00740504	0.152317	0.0456477	0.02698549	5.592615	0.406611	0.743726	1.08345	1.76621	0.0673348	0.269492	0.0059994	0.0780865	0.467994	0.111093	0.1843037	0.1464186
600	-70.73734	-82.45909	11.72176	29.56323	3.182611	0.007338936	0.03739959	0.130228	0.0524822	0.0761185	0.0319482	0.0520607	0.0335397	0.0137119	0.00222922	0.0346382	0.0415824	0.0188848	0.198196	0.00194069	0.262985	0.0494543	0.0005315384	29.56323	0.402914	0.741162	1.08328	1.77264	0.00184417	0.432275	0.00628656	0.0777931	0.431284	0.0505173	0.03793113	0.01401325
700	-71.50203	-82.60271	11.10068	21.01235	1.586352	0.1016658	-0.01457524	0.0191063	0.0200502	0.027423	0.00485705	0.0316938	0.0694614	0.0151133	0.00116581	0.0605537	0.0544764	0.0492208	0.376194	0.0018988	0.192994	0.0757911	0.07049072	21.01235	0.238359	0.602326	1.05511	2.1042	0.0615175	0.366191	0.0158125	0.239068	0.285568	0.0318435	0.05591548	1.260666
800	-62.88129	-78.487	15.60571	1.493686	0.8256493	0.263941	0.08722238	0.0777381	0.0124607	0.0130965	0.0139061	0.237888	0.167008	0.0479005	0.00704877	0.0102003	0.0457935	0.0116593	0.01635	0.0134047	0.27957	0.045976	0.06438432	1.493686	0.101004	0.417259	0.963816	2.51792	0.0179208	0.424459	0.00173159	0.113715	0.373697	0.0684766	0.1516067	0.4246799
900	-71.14217	-82.37234	11.23017	39.23051	1.112349	0.006803706	0.0230183	0.108004	0.199832	0.124865	0.0522252	0.0854959	0.0362308	0.0553314	0.00372846	0.0194827	0.0239262	0.0263599	0.025751	0.00796815	0.206892	0.0239058	0.01258481	39.23051	0.15881	0.508099	1.01638	2.31671	0.0375462	0.363758	0.00165262	0.105947	0.408979	0.0821169	0.03560311	0.353475
1000	-66.3756	-82.88082	16.50522	1.763932	0.7688641	0.0971461	0.1383431	0.0398467	0.0149548	0.0853872	0.15282	0.0435196	0.0711388	0.13902	0.000387243	0.115843	0.0272075	0.0533667	0.0299568	0.00291326	0.125642	0.0979966	0.1095229	1.763932	0.0889183	0.39429	0.94794	2.56885	0.111061	0.37947	0.0254616	0.116864	0.324606	0.0425378	0.247866	0.4418633
1100	-67.43393	-81.88007	14.44614	3.220861	1.067291	0.07201044	0.2778582	0.145748	0.0365837	0.114298	0.0319431	0.0332765	0.062862	0.108188	0.0167823	0.0563688	0.10664	0.147668	0.0683279	0.0239009	0.0469929	0.000418997	0.1071609	3.220861	0.150182	0.496084	1.01031	2.34342	0.0422644	0.396834	0.0122415	0.139365	0.335331	0.0739642	0.3850191	0.2783262
1200	-67.10334	-80.38486	13.28152	21.01626	1.612175	0.02161901	0.03401862	0.197709	0.0845031	0.0844838	0.040591	0.021711	0.00492982	0.0827134	0.00140794	0.0209838	0.0108156	0.00330885	0.0909955	0.0387684	0.285905	0.0311739	0.01986036	21.01626	0.242143	0.606222	1.05638	2.09525	0.0182443	0.460521	0.00977095	0.0429371	0.459379	0.00914747	0.05387898	0.3686106
1300	-74.09483	-83.55434	9.459506	39.92917	1.69854	0.01248624	0.02989872	0.0384744	0.00335975	0.0753537	0.348235	0.0264672	0.027777	0.0630297	0.0207315	0.0266389	0.0042941	0.0973792	0.0816407	0.055069	0.126024	0.00552606	0.009350209	39.92917	0.254429	0.618581	1.06023	2.06676	0.0397182	0.506746	0.0143922	0.10678	0.270471	0.0618926	0.03924893	0.2382284
1400	-70.08683	-83.92669	13.83985	26.48326	0.1668807	0.04812772	0.03765574	0.0686895	0.404184	0.0673635	0.0437165	0.000358502	0.0348875	0.0484705	0.000660788	0.0180546	0.0623425	0.0987282	0.00945396	0.041809	0.0922128	0.00906844	0.01544848	26.48326	0.000134848	0.0171125	0.291961	3.69079	0.0138462	0.38197	0.0106414	0.0844517	0.443858	0.0652324	0.05310422	0.2909088
1500	-74.99694	-87.16187	12.16493	20.86359	0.1703666	0.08766131	0.03585532	0.0407829	0.0611537	0.013661	0.100243	0.10588	0.0252519	0.0270924	0.014001	0.0807091	0.091205	0.254263	0.0624576	0.0370304	0.0452424	0.0410254	0.06323889	20.86359	0.000159751	0.0186157	0.302072	3.67915	0.00887182	0.527682	0.0151918	0.100241	0.266939	0.0810742	0.09909421	0.6381694
1600	-68.21348	-82.27489	14.0614	12.43814	1.366265	0.009691093	0.04320852	0.0503423	0.171764	0.0206828	0.0381218	0.133641	0.00675301	0.0701673	0.0243107	0.0556147	0.00141775	0.0311955	0.00386717	0.0131548	0.344339	0.034628	0.02140314	12.43814	0.203904	0.564669	1.0415	2.18993	0.0318849	0.468496	0.00435981	0.0882793	0.399851	0.00712997	0.06461166	0.3312581
1700	-68.21732	-83.87151	15.65419	9.399116	0.4594016	0.05674046	0.08694688	0.0917013	0.0530557	0.125149	0.0402213	0.0338429	0.0802239	0.0439436	0.0101649	0.0145697	0.153479	0.0541387	0.0117268	0.0651583	0.199907	0.0227185	0.02294361	9.399116	0.026133	0.224588	0.788322	2.96096	0.0724228	0.41761	0.0271996	0.0880405	0.333759	0.0609682	0.1098905	0.2087861
1800	-69.21978	-77.76579	8.546013	90.47676	2.587024	0.01717194	0.01516492	0.0285755	0.050943	0.0461317	0.264818	0.00363549	0.0396297	0.0584804	0.00112313	0.0652935	0.097389	0.0859691	0.0848767	0.00202349	0.168296	0.00281513	0.01136106	90.47676	0.354555	0.705754	1.07955	1.86014	0.028866	0.362135	0.0122707	0.103038	0.441599	0.0520916	0.02652598	0.4282992
1900	-65.75006	-81.65554	15.90548	9.004801	0.602008	0.07901239	0.09637043	0.0291958	0.0883702	0.0507714	0.025432	0.28694	0.0230149	0.0739027	0.00149688	0.109665	0.0745247	0.0685333	0.0382393	0.00249241	0.0990744	0.028347	0.002357352	9.004801	0.0535225	0.313386	0.88234	2.75075	0.0204553	0.556264	0.000300928	0.0495671	0.274636	0.0987769	0.09872778	0.0238773
2000	-72.08784	-82.63014	10.5423	52.76761	0.4587011	0.01433314	0.004790991	0.10712	0.00837369	0.0204714	0.0587113	0.0127019	0.0501267	0.0196257	0.000495474	0.225261	0.135726	0.0129137	0.010585	0.00152418	0.304104	0.0322601	0.0006490965	52.76761	0.026013	0.224102	0.787726	2.96216	0.0644156	0.440976	0.00215722	0.115546	0.352734	0.024171	0.005440087	0.1193173
2100	-73.80455	-83.80255	9.998002	12.09087	2.246087	0.04527479	0.1653914	0.174247	0.0487256	0.131298	0.035846	0.0237473	0.0528994	0.0294146	0.00435367	0.0703031	0.10359	0.0668893	0.020364	0.00851998	0.206121	0.0236809	0.0698891	12.09087	0.320981	0.678867	1.07508	1.92507	0.0416052	0.430828	0.0187984	0.0719981	0.432971	0.00379873	0.2352805	0.2970458
2200	-69.11529	-82.55475	13.43946	27.271	0.3786736	0.01316229	0.0368592	0.0630831	0.0674056	0.0628493	0.112362	0.00843463	0.0193392	0.086489	0.0187603	0.157879	0.0909777	0.0614107	0.0288188	0.0234477	0.182707	0.0160357	0.0121743	27.271	0.0137618	0.165654	0.707132	3.11345	0.060208	0.471129	0.0101649	0.12789	0.300076	0.0305321	0.0490335	0.2482853
2300	-66.24629	-80.65995	14.41366	8.168664	1.117193	0.05342893	-0.000222564	0.0498567	0.0197211	0.0284457	0.144602	0.0123457	0.0630327	0.124344	0.0012337	0.0891255	0.232299	0.0013913	0.038547	0.00608039	0.177685	0.0112905	0.08439601	8.168664	0.159726	0.509349	1.017	2.31393	0.0346044	0.382052	0.00401718	0.190634	0.318201	0.0704917	0.08417345	1.002644
2400	-67.74483	-81.18134	13.43651	11.636	1.390108	0.08825396	0.05149744	0.00048015	0.0280896	0.0886095	0.11897	0.0340165	0.0804811	0.0300148	0.00325007	0.0213136	0.190194	0.19929	0.00991314	0.0106316	0.16993	0.0148159	0.0481573	11.636	0.207836	0.569181	1.04326	2.17972	0.0506965	0.322684	0.0035441	0.143087	0.416908	0.0630806	0.09965474	0.4832415
2500	-66.09115	-81.35659	15.26544	9.800387	0.6504222	0.03603622	0.03189548	0.122101	0.0347459	0.0105312	0.00801598	0.0122375	0.172998	0.000478259	0.000721347	0.144797	0.0346689	0.0737174	0.0609942	0.00352904	0.25882	0.0616445	0.004732345	9.800387	0.0636469	0.339168	0.905014	2.69217	0.0513958	0.430519	0.0155226	0.114992	0.341776	0.0457947	0.03662782	0.1292008
2600	-66.3555	-81.80133	15.44583	9.261801	0.5525008	0.04628257	0.09395504	0.16917	0.0248462	0.0690851	0.00820383	0.0188286	0.0105661	0.0935365	0.00851776	0.15792	0.0533565	0.0584725	0.105441	0.0785047	0.115661	0.0278901	0.03347808	9.261801	0.043484	0.284815	0.855007	2.81669	0.0501891	0.374811	0.0195379	0.150661	0.370262	0.0345382	0.1274331	0.262711
2700	-65.67206	-79.62476	13.95269	8.955868	0.8116267	0.03140283	0.1007528	0.138999	0.0128486	0.108405	0.090778	0.0355102	0.00270058	0.0867246	0.00462796	0.00963556	0.12737	0.224211	0.049114	0.00669386	0.056333	0.0460484	0.07972623	8.955868	0.0980303	0.411773	0.960125	2.53007	0.0255176	0.5244	0.00646967	0.0675684	0.308961	0.0670838	0.1804791	0.4417478
2800	-74.33753	-79.94885	5.611318	95.69234	1.196596	0.003130839	0.02438488	0.0639636	0.0281042	0.0785687	0.160036	0.0878572	0.0372435	0.0459965	0.00387899	0.0399894	0.14479	0.0796879	0.0284574	0.00192065	0.126868	0.0726377	0.01218741	95.69234	0.174436	0.528801	1.02623	2.27054	0.0423332	0.401366	0.0103034	0.139072	0.304899	0.102026	0.03657229	0.3332416
2900	-67.68011	-84.52025	16.84013	5.143191	0.7615223	0.05915851	0.145967	0.124424	0.0769932	0.0167706	0.120143	0.0241309	0.0105811	0.233022	0.00529247	0.170836	0.0313413	0.0931974	0.00101109	0.0305713	0.0399139	0.021772	0.003472402	5.143191	0.087349	0.391169	0.945695	2.57579	0.0530402	0.420931	0.00500254	0.186746	0.316943	0.0173378	0.1494394	0.02323619
3000	-70.79963	-82.75565	11.95602	11.97396	1.648926	0.02071415	0.01718965	0.0244654	0.00281253	0.0184814	0.21548	0.00477429	0.0136838	0.131926	0.0414054	0.135825	0.0444202	0.0496112	0.030381	0.0400107	0.237129	0.0095949	0.1048461	11.97396	0.247439	0.611604	1.05809	2.08287	0.0638746	0.360565	0.0123774	0.100953	0.382986	0.079244	0.1220357	0.8591425
3100	-65.61069	-79.24237	13.63168	25.19198	0.5506825	0.01357424	0.02737853	0.0662381	0.0633265	0.0107759	0.0010435	0.0696714	0.250702	0.041635	0.000894625	0.145673	0.0695065	0.0230404	0.0862712	0.00450074	0.163334	0.00338684	0.004619024	25.19198	0.0431235	0.283721	0.85391	2.81925	0.0163065	0.351068	0.00107164	0.120259	0.454846	0.0564485	0.03199755	0.1443555
3200	-69.53176	-83.37246	13.8407	6.203732	0.90741	0.2215478	0.03927452	0.044058	0.0122728	0.160259	0.0173281	0.00721815	0.0394775	0.0228032	0.00936612	0.0649578	0.0585681	0.136422	0.0609308	0.00272823	0.101631	0.261978	0.04755582	6.203732	0.11813	0.447036	0.982788	2.45205	0.0286061	0.517519	0.00217723	0.0532262	0.338247	0.0602245	0.08683033	0.5476867
3300	-65.51265	-81.77279	16.26014	4.330481	0.6405468	0.04457985	0.0508619	0.0309834	0.164483	0.0260119	0.00719082	0.159017	0.0245603	0.0352427	0.0187687	0.137252	0.0124107	0.0596023	0.0349536	0.00240223	0.241908	0.0452129	0.08204072	4.330481	0.0615641	0.334074	0.900674	2.70369	0.0412604	0.345713	0.00387344	0.144205	0.404669	0.0602796	0.1329026	0.6172995
